pitch_cur,pitch_gyro,pitch_rel,pitch_rel_set
753,-0.002,-0.19,-0.174
749,-0.001,-0.19,-0.174
745,0.0,-0.19,-0.174
743,-0.001,-0.19,-0.174
740,0.0,-0.19,-0.174
738,-0.001,-0.19,-0.174
735,-0.002,-0.19,-0.174
731,0.0,-0.19,-0.174
728,0.0,-0.19,-0.174
725,0.0,-0.19,-0.174
723,-0.002,-0.19,-0.174
720,0.0,-0.19,-0.174
717,-0.001,-0.19,-0.174
714,0.0,-0.19,-0.174
711,0.0,-0.19,-0.174
708,0.0,-0.19,-0.174
705,0.0,-0.19,-0.174
702,0.0,-0.19,-0.174
700,0.0,-0.19,-0.174
697,0.0,-0.19,-0.174
694,0.0,-0.19,-0.174
692,-0.001,-0.19,-0.174
688,0.0,-0.19,-0.174
685,0.0,-0.19,-0.174
683,0.0,-0.19,-0.174
680,0.0,-0.19,-0.174
677,0.0,-0.19,-0.174
674,0.0,-0.19,-0.174
671,0.0,-0.19,-0.174
669,0.0,-0.19,-0.174
666,0.0,-0.19,-0.174
663,0.0,-0.19,-0.174
660,0.0,-0.19,-0.174
657,0.0,-0.19,-0.174
655,0.0,-0.19,-0.174
652,0.0,-0.19,-0.174
649,0.0,-0.19,-0.174
646,0.0,-0.19,-0.174
644,-0.001,-0.19,-0.174
641,0.0,-0.19,-0.174
638,0.0,-0.19,-0.174
635,0.0,-0.19,-0.174
632,0.0,-0.19,-0.174
629,0.0,-0.19,-0.174
627,0.0,-0.19,-0.174
624,0.0,-0.19,-0.174
621,0.0,-0.19,-0.174
618,0.0,-0.19,-0.174
616,0.0,-0.19,-0.174
613,0.0,-0.19,-0.174
610,0.0,-0.19,-0.174
607,0.0,-0.19,-0.174
604,0.0,-0.19,-0.174
602,0.0,-0.19,-0.174
599,0.0,-0.19,-0.174
596,0.0,-0.19,-0.174
593,0.0,-0.19,-0.174
591,0.0,-0.19,-0.174
588,0.0,-0.19,-0.174
585,0.0,-0.19,-0.174
582,0.0,-0.19,-0.174
579,0.0,-0.19,-0.174
577,0.0,-0.19,-0.174
574,0.0,-0.19,-0.174
571,0.0,-0.19,-0.174
568,0.0,-0.19,-0.174
565,0.001,-0.19,-0.174
562,0.0,-0.19,-0.174
560,0.0,-0.19,-0.174
557,0.0,-0.19,-0.174
555,0.0,-0.19,-0.174
552,0.0,-0.19,-0.174
549,0.0,-0.19,-0.174
546,0.0,-0.19,-0.174
543,0.0,-0.19,-0.174
541,0.0,-0.19,-0.174
538,0.0,-0.19,-0.174
535,0.0,-0.19,-0.174
532,0.0,-0.19,-0.174
530,0.0,-0.19,-0.174
527,0.0,-0.19,-0.174
524,0.0,-0.19,-0.174
521,0.0,-0.19,-0.174
518,0.0,-0.19,-0.174
516,0.0,-0.19,-0.174
513,0.0,-0.19,-0.174
510,0.0,-0.19,-0.174
507,0.0,-0.19,-0.174
504,0.0,-0.19,-0.174
502,0.0,-0.19,-0.174
499,0.0,-0.19,-0.174
496,0.0,-0.19,-0.174
494,0.0,-0.19,-0.174
491,0.0,-0.19,-0.174
486,0.004,-0.19,-0.174
484,0.003,-0.19,-0.174
482,0.002,-0.19,-0.174
480,0.0,-0.19,-0.174
477,0.001,-0.19,-0.174
475,0.001,-0.19,-0.174
471,0.002,-0.19,-0.174
468,0.004,-0.19,-0.174
467,0.001,-0.19,-0.174
464,0.002,-0.19,-0.174
461,0.004,-0.19,-0.174
460,0.001,-0.19,-0.174
458,0.0,-0.19,-0.174
455,0.0,-0.19,-0.174
450,0.004,-0.19,-0.174
449,0.003,-0.19,-0.174
445,0.005,-0.19,-0.174
443,0.005,-0.19,-0.174
487,-0.033,-0.191,-0.174
438,0.006,-0.19,-0.174
483,-0.035,-0.191,-0.174
480,-0.032,-0.191,-0.174
432,0.004,-0.19,-0.174
429,0.007,-0.19,-0.174
426,0.008,-0.19,-0.174
422,0.012,-0.19,-0.174
423,0.007,-0.19,-0.174
466,-0.03,-0.191,-0.174
417,0.01,-0.19,-0.174
416,0.009,-0.19,-0.174
462,-0.032,-0.191,-0.174
410,0.012,-0.19,-0.174
410,0.008,-0.19,-0.174
406,0.014,-0.19,-0.174
407,0.008,-0.19,-0.174
404,0.009,-0.19,-0.174
401,0.01,-0.19,-0.174
397,0.016,-0.19,-0.174
442,-0.022,-0.191,-0.174
441,-0.023,-0.191,-0.174
396,0.011,-0.19,-0.174
394,0.01,-0.19,-0.174
393,0.009,-0.19,-0.174
437,-0.027,-0.191,-0.174
388,0.012,-0.19,-0.174
433,-0.026,-0.191,-0.174
