fric1_rpm,fric2_rpm,fric_set,shoot_mode,trigger_cur
0,0,0.0,0,0
-3,0,0.0,0,0
0,0,0.0,0,0
-3,0,0.0,0,0
0,2,0.0,0,0
0,0,0.0,0,0
-3,-5,0.0,0,0
0,0,0.0,0,0
0,-3,0.0,0,0
0,0,0.0,0,0
0,-3,0.0,0,0
0,0,0.0,0,0
-3,0,0.0,0,0
0,0,0.0,0,0
0,0,0.0,0,0
-3,0,0.0,0,0
-3,0,0.0,0,0
0,-3,0.0,0,0
0,0,0.0,0,0
0,0,0.0,0,0
0,0,0.0,0,0
0,0,0.0,0,0
0,0,0.0,0,0
0,0,0.0,0,0
0,0,0.0,0,0
0,-3,0.0,0,0
-3,-3,0.0,0,0
0,-3,0.0,0,0
0,0,0.0,0,0
0,-3,0.0,0,0
0,-3,0.0,0,0
2,0,0.0,0,0
0,-3,0.0,0,0
0,0,0.0,0,0
0,0,0.0,0,0
0,0,0.0,0,0
0,-3,0.0,0,0
0,0,0.0,0,0
-3,0,0.0,0,0
0,0,0.0,0,0
0,0,0.0,0,0
-3,0,0.0,0,0
-3,0,0.0,0,0
0,0,0.0,0,0
0,0,0.0,0,0
0,0,0.0,0,0
659,-658,4900.0,1,0
1559,-1453,4900.0,1,0
2419,-2284,4900.0,1,0
3243,-3083,4900.0,1,0
4151,-3943,4900.0,1,0
4635,-4592,4900.0,1,0
4806,-4780,4900.0,2,4740
4875,-4824,4900.0,2,2339
4856,-4876,4900.0,2,1378
4884,-4889,4900.0,2,1530
4879,-4847,4900.0,2,1680
4869,-4878,4900.0,2,1781
4903,-4910,4900.0,2,1672
4875,-4878,4900.0,2,1567
4875,-4887,4900.0,2,1648
4871,-4916,4900.0,2,1910
4909,-4849,4900.0,2,4532
4859,-4889,4900.0,2,5157
4900,-4891,4900.0,2,5306
4869,-4876,4900.0,2,5233
4844,-4910,4900.0,2,5453
4903,-4847,4900.0,2,5592
4854,-4878,4900.0,2,5711
4879,-4883,4900.0,2,5718
4888,-4868,4900.0,2,5831
4854,-4893,4900.0,2,5763
4854,-4920,4900.0,2,5772
4926,-4872,4900.0,2,5772
4865,-4887,4900.0,2,5479
4875,-4924,4900.0,2,2062
4712,-4646,4900.0,2,1469
4787,-4740,4900.0,2,2812
4852,-4837,4900.0,2,1628
4844,-4880,4900.0,2,1542
4903,-4870,4900.0,2,1536
4865,-4885,4900.0,2,2201
4854,-4906,4900.0,2,4953
4871,-4843,4900.0,2,4977
4917,-4878,4900.0,2,1207
4622,-4623,4900.0,2,1209
4800,-4809,4900.0,2,1797
4829,-4872,4900.0,2,1577
4896,-4864,4900.0,2,1527
4863,-4885,4900.0,2,1653
4848,-4901,4900.0,2,4957
4898,-4843,4900.0,2,5431
4854,-4880,4900.0,2,5433
4879,-4857,4900.0,2,4594
4886,-4887,4900.0,2,911
4674,-4703,4900.0,2,1348
4854,-4860,4900.0,2,1644
4850,-4883,4900.0,2,1559
4833,-4899,4900.0,2,1524
4898,-4841,4900.0,2,1670
4852,-4874,4900.0,2,4554
4877,-4864,4900.0,2,3294
4877,-4857,4900.0,2,593
4758,-4753,4900.0,2,1432
4825,-4876,4900.0,2,1531
4875,-4889,4900.0,2,1345
4898,-4868,4900.0,2,1453
4903,-4906,4900.0,2,3870
4854,-4853,4900.0,2,5734
4877,-4889,4900.0,2,5655
4892,-4901,4900.0,2,5427
4856,-4851,4900.0,2,1836
4697,-4730,4900.0,2,726
4848,-4820,4900.0,2,1445
4877,-4870,4900.0,2,1352
4865,-4901,4900.0,2,1341
4896,-4845,4900.0,2,1707
4859,-4893,4900.0,2,5064
4863,-4908,4900.0,2,2738
4706,-4732,4900.0,2,476
4771,-4736,4900.0,2,1293
4867,-4849,4900.0,2,1500
4884,-4908,4900.0,2,1322
4867,-4855,4900.0,2,1394
4898,-4887,4900.0,2,3201
4856,-4914,4900.0,2,1834
4614,-4621,4900.0,2,814
4735,-4805,4900.0,2,1279
4840,-4853,4900.0,2,1294
4886,-4864,4900.0,2,1310
4896,-4914,4900.0,2,1801
4871,-4862,4900.0,2,4425
4879,-4889,4900.0,2,3182
4882,-4918,4900.0,2,880
4700,-4711,4900.0,2,1657
4806,-4799,4900.0,2,1714
4844,-4862,4900.0,2,1718
4903,-4891,4900.0,2,1637
4836,-4918,4900.0,2,2671
4875,-4866,4900.0,2,6103
4875,-4887,4900.0,2,5878
4865,-4918,4900.0,2,6099
4863,-4845,4900.0,2,6099
4892,-4910,4900.0,2,6208
4875,-4874,4900.0,2,6303
4875,-4885,4900.0,2,6397
4903,-4912,4900.0,2,6489
4875,-4849,4900.0,2,6526
4882,-4889,4900.0,2,6461
4884,-4885,4900.0,2,6367
4861,-4878,4900.0,2,6244
4903,-4883,4900.0,2,2770
4865,-4922,4900.0,2,2664
4691,-4732,4900.0,2,4874
4856,-4839,4900.0,2,4088
4861,-4839,4900.0,2,2840
4865,-4887,4900.0,2,2498
4896,-4885,4900.0,2,852
4865,-4876,4900.0,2,2962
4898,-4910,4900.0,2,3909
4871,-4845,4900.0,2,832
4674,-4684,4900.0,2,1639
4783,-4820,4900.0,2,1564
4859,-4837,4900.0,2,1566
4877,-4887,4900.0,2,1747
4909,-4887,4900.0,2,5029
4861,-4878,4900.0,2,6097
4886,-4912,4900.0,2,4389
4879,-4847,4900.0,2,817
4700,-4686,4900.0,2,1360
4783,-4820,4900.0,2,1570
4850,-4868,4900.0,2,1410
4884,-4845,4900.0,2,1612
4861,-4883,4900.0,2,4167
4907,-4895,4900.0,2,2094
4633,-4581,4900.0,2,853
4823,-4814,4900.0,2,1620
4882,-4864,4900.0,2,1535
4840,-4845,4900.0,2,1437
4856,-4883,4900.0,2,2771
4894,-4857,4900.0,2,3656
4702,-4707,4900.0,2,844
4750,-4757,4900.0,2,1416
4825,-4868,4900.0,2,1374
4909,-4895,4900.0,2,1301
4863,-4853,4900.0,2,1478
4869,-4924,4900.0,2,4970
4911,-4874,4900.0,2,5863
4848,-4904,4900.0,2,2370
4697,-4667,4900.0,2,429
4808,-4793,4900.0,2,1317
4827,-4874,4900.0,2,1344
4900,-4899,4900.0,2,1432
4869,-4853,4900.0,2,2825
4869,-4922,4900.0,2,6164
4919,-4874,4900.0,2,3779
4647,-4619,4900.0,2,75
4813,-4776,4900.0,2,1208
4836,-4864,4900.0,2,1398
4890,-4912,4900.0,2,1261
4892,-4843,4900.0,2,1762
4867,-4853,4900.0,2,4016
4859,-4916,4900.0,2,1198
4754,-4751,4900.0,2,1597
4836,-4878,4900.0,2,1535
4898,-4843,4900.0,2,1449
4854,-4885,4900.0,2,1530
4894,-4914,4900.0,2,2818
4871,-4851,4900.0,2,5623
4836,-4908,4900.0,2,2315
4900,-4866,4900.0,2,809
4775,-4730,4900.0,2,1772
4836,-4820,4900.0,2,1608
4905,-4874,4900.0,2,1494
4856,-4885,4900.0,2,1590
4892,-4908,4900.0,2,4064
4873,-4862,4900.0,2,1796
4670,-4711,4900.0,2,1004
4766,-4795,4900.0,2,1723
4850,-4860,4900.0,2,1389
4884,-4845,4900.0,2,1588
4859,-4885,4900.0,2,2397
4898,-4860,4900.0,2,5571
4892,-4872,4900.0,2,5667
4873,-4885,4900.0,2,3948
4790,-4837,4900.0,2,675
4754,-4736,4900.0,2,1311
4842,-4841,4900.0,2,1586
4886,-4847,4900.0,2,1471
4859,-4885,4900.0,2,1606
4892,-4853,4900.0,2,3885
4869,-4880,4900.0,2,3485
4873,-4893,4900.0,2,752
4679,-4696,4900.0,2,1371
4844,-4826,4900.0,2,1519
4848,-4857,4900.0,2,1420
4900,-4918,4900.0,2,1538
4861,-4857,4900.0,2,3746
4888,-4901,4900.0,2,1939
4622,-4648,4900.0,2,860
4813,-4782,4900.0,2,1491
4813,-4880,4900.0,2,1232
4861,-4895,4900.0,2,1300
4884,-4866,4900.0,2,1593
4861,-4924,4900.0,2,4039
4892,-4834,4900.0,2,880
4746,-4742,4900.0,2,979
4827,-4811,4900.0,2,1360
4896,-4874,4900.0,2,1234
