dbus_toe,fric1_rpm,fric2_rpm,fric_set,shoot_mode
0,4886,-4872,4900.0,2
0,4882,-4887,4900.0,2
0,4856,-4839,4900.0,2
0,4913,-4904,4900.0,2
0,4865,-4901,4900.0,2
0,4882,-4904,4900.0,2
0,4884,-4841,4900.0,2
0,4869,-4878,4900.0,2
0,4900,-4857,4900.0,2
0,4877,-4885,4900.0,2
0,4873,-4897,4900.0,2
0,4894,-4853,4900.0,2
0,4865,-4887,4900.0,2
0,4861,-4862,4900.0,2
0,4900,-4870,4900.0,2
0,4871,-4883,4900.0,2
0,4842,-4851,4900.0,2
0,4905,-4899,4900.0,2
0,4856,-4885,4900.0,2
0,4879,-4901,4900.0,2
0,4626,-4585,4900.0,2
0,4785,-4751,4900.0,2
0,4833,-4853,4900.0,2
0,4871,-4874,4900.0,2
0,4838,-4847,4900.0,2
0,4903,-4897,4900.0,2
0,4850,-4885,4900.0,2
0,4875,-4866,4900.0,2
0,4900,-4883,4900.0,2
0,4856,-4843,4900.0,2
0,4907,-4895,4900.0,2
0,4865,-4904,4900.0,2
0,4854,-4868,4900.0,2
0,4898,-4908,4900.0,2
0,4856,-4878,4900.0,2
0,4890,-4864,4900.0,2
0,4882,-4878,4900.0,2
0,4859,-4897,4900.0,2
0,4911,-4855,4900.0,2
0,4936,-4887,4900.0,2
0,4865,-4874,4900.0,2
0,4888,-4860,4900.0,2
0,4886,-4880,4900.0,2
0,4838,-4851,4900.0,2
0,4900,-4893,4900.0,2
0,4854,-4895,4900.0,2
0,4873,-4860,4900.0,2
0,4909,-4849,4900.0,2
0,4859,-4893,4900.0,2
0,4903,-4883,4900.0,2
0,4869,-4883,4900.0,2
0,4869,-4908,4900.0,2
0,4875,-4843,4900.0,2
0,4919,-4878,4900.0,2
0,4848,-4870,4900.0,2
0,4886,-4876,4900.0,2
0,4877,-4895,4900.0,2
0,4856,-4860,4900.0,2
0,4928,-4887,4900.0,2
0,4865,-4887,4900.0,2
0,4879,-4920,4900.0,2
0,4896,-4880,4900.0,2
0,4838,-4908,4900.0,2
0,4861,-4874,4900.0,2
0,4913,-4883,4900.0,2
0,4875,-4912,4900.0,2
0,4869,-4849,4900.0,2
0,4905,-4889,4900.0,2
0,4838,-4885,4900.0,2
0,4894,-4878,4900.0,2
0,4869,-4910,4900.0,2
0,4869,-4845,4900.0,2
0,4921,-4880,4900.0,2
0,4859,-4878,4900.0,2
0,4875,-4870,4900.0,2
0,4888,-4866,4900.0,2
0,4850,-4920,4900.0,2
0,4871,-4868,4900.0,2
0,4900,-4889,4900.0,2
0,4859,-4920,4900.0,2
0,4867,-4841,4900.0,2
0,4894,-4908,4900.0,2
0,4863,-4878,4900.0,2
0,4903,-4883,4900.0,2
0,4884,-4914,4900.0,2
0,4867,-4849,4900.0,2
0,4909,-4889,4900.0,2
0,4838,-4895,4900.0,2
0,4877,-4872,4900.0,2
0,4865,-4874,4900.0,2
0,4905,-4924,4900.0,2
0,4869,-4851,4900.0,2
0,4898,-4904,4900.0,2
0,4873,-4912,4900.0,2
0,4877,-4860,4900.0,2
0,4903,-4918,4900.0,2
0,4875,-4874,4900.0,2
0,4890,-4889,4900.0,2
0,4875,-4922,4900.0,2
0,4863,-4839,4900.0,2
0,4903,-4908,4900.0,2
0,4863,-4883,4900.0,2
0,4865,-4883,4900.0,2
0,4854,-4893,4900.0,2
0,4896,-4908,4900.0,2
0,4859,-4845,4900.0,2
0,4888,-4901,4900.0,2
0,4882,-4901,4900.0,2
0,4854,-4868,4900.0,2
0,4911,-4922,4900.0,2
0,4863,-4855,4900.0,2
0,4879,-4901,4900.0,2
0,4882,-4914,4900.0,2
0,4873,-4853,4900.0,2
0,4838,-4918,4900.0,2
0,4900,-4906,4900.0,2
0,4856,-4866,4900.0,2
0,4867,-4880,4900.0,2
0,4917,-4893,4900.0,2
0,4859,-4841,4900.0,2
0,4896,-4912,4900.0,2
0,4873,-4893,4900.0,2
0,4840,-4887,4900.0,2
0,4905,-4906,4900.0,2
0,4852,-4845,4900.0,2
0,4879,-4897,4900.0,2
0,4892,-4908,4900.0,2
0,4888,-4864,4900.0,2
0,4850,-4924,4900.0,2
0,4921,-4887,4900.0,2
0,4867,-4851,4900.0,2
0,4877,-4887,4900.0,2
0,4907,-4893,4900.0,2
0,4842,-4853,4900.0,2
0,4892,-4904,4900.0,2
0,4867,-4872,4900.0,2
0,4861,-4878,4900.0,2
0,4930,-4889,4900.0,2
0,4865,-4841,4900.0,2
0,4840,-4906,4900.0,2
0,4879,-4899,4900.0,2
0,4873,-4880,4900.0,2
0,4865,-4908,4900.0,2
0,4921,-4847,4900.0,2
0,4867,-4857,4900.0,2
0,4871,-4891,4900.0,2
0,4898,-4901,4900.0,2
0,4844,-4855,4900.0,2
0,4907,-4887,4900.0,2
0,4867,-4851,4900.0,2
0,4871,-4880,4900.0,2
0,4919,-4893,4900.0,2
1,4850,-4853,4900.0,2
1,4850,-4891,0.0,0
1,4852,-4862,0.0,0
1,4850,-4814,0.0,0
1,4819,-4832,0.0,0
1,4781,-4803,0.0,0
1,4769,-4814,0.0,0
1,4775,-4780,0.0,0
1,4741,-4791,0.0,0
1,4754,-4770,0.0,0
1,4723,-4715,0.0,0
1,4704,-4711,0.0,0
1,4672,-4682,0.0,0
1,4656,-4698,0.0,0
1,4660,-4690,0.0,0
1,4630,-4678,0.0,0
1,4610,-4659,0.0,0
1,4570,-4659,0.0,0
1,4599,-4613,0.0,0
1,4547,-4606,0.0,0
1,4553,-4588,0.0,0
1,4536,-4554,0.0,0
1,4507,-4602,0.0,0
1,4497,-4533,0.0,0
1,4476,-4558,0.0,0
1,4469,-4514,0.0,0
1,4463,-4504,0.0,0
1,4423,-4483,0.0,0
1,4411,-4495,0.0,0
1,4396,-4447,0.0,0
1,4402,-4481,0.0,0
1,4365,-4420,0.0,0
1,4348,-4426,0.0,0
1,4340,-4395,0.0,0
1,4340,-4393,0.0,0
1,4317,-4366,0.0,0
1,4296,-4374,0.0,0
1,4279,-4336,0.0,0
1,4245,-4332,0.0,0
1,4279,-4311,0.0,0
1,4233,-4292,0.0,0
1,4204,-4284,0.0,0
1,4199,-4261,0.0,0
1,4189,-4251,0.0,0
1,4199,-4244,0.0,0
1,4137,-4215,0.0,0
1,4160,-4209,0.0,0
1,4137,-4186,0.0,0
1,4086,-4190,0.0,0
1,4097,-4167,0.0,0
1,4061,-4161,0.0,0
1,4078,-4136,0.0,0
1,4028,-4098,0.0,0
1,4003,-4119,0.0,0
1,4007,-4077,0.0,0
1,3994,-4094,0.0,0
1,3950,-4058,0.0,0
1,3959,-4069,0.0,0
1,3963,-4018,0.0,0
1,3940,-4027,0.0,0
1,3904,-3999,0.0,0
1,3877,-3987,0.0,0
1,3869,-3991,0.0,0
1,3877,-3987,0.0,0
1,3873,-3924,0.0,0
1,3856,-3939,0.0,0
1,3831,-3945,0.0,0
1,3833,-3912,0.0,0
1,3833,-3901,0.0,0
1,3789,-3882,0.0,0
1,3743,-3834,0.0,0
1,3743,-3855,0.0,0
1,3749,-3843,0.0,0
1,3735,-3834,0.0,0
1,3662,-3817,0.0,0
1,3718,-3769,0.0,0
1,3699,-3744,0.0,0
1,3657,-3740,0.0,0
1,3630,-3723,0.0,0
1,3634,-3736,0.0,0
1,3643,-3736,0.0,0
1,3574,-3671,0.0,0
1,3611,-3719,0.0,0
1,3523,-3644,0.0,0
1,3536,-3667,0.0,0
1,3574,-3598,0.0,0
1,3536,-3633,0.0,0
1,3480,-3587,0.0,0
1,3457,-3629,0.0,0
1,3500,-3579,0.0,0
1,3477,-3533,0.0,0
1,3442,-3573,0.0,0
1,3415,-3539,0.0,0
1,3410,-3522,0.0,0
1,3385,-3550,0.0,0
1,3379,-3512,0.0,0
1,3396,-3460,0.0,0
1,3392,-3447,0.0,0
1,3354,-3418,0.0,0
1,3316,-3409,0.0,0
1,3289,-3399,0.0,0
1,3325,-3399,0.0,0
1,3304,-3376,0.0,0
1,3249,-3388,0.0,0
1,3203,-3382,0.0,0
1,3268,-3359,0.0,0
1,3164,-3303,0.0,0
1,3243,-3296,0.0,0
1,3170,-3271,0.0,0
1,3231,-3319,0.0,0
1,3141,-3292,0.0,0
1,3141,-3217,0.0,0
1,3184,-3278,0.0,0
1,3094,-3196,0.0,0
1,3078,-3236,0.0,0
1,3115,-3152,0.0,0
1,3038,-3206,0.0,0
1,3019,-3139,0.0,0
1,3036,-3167,0.0,0
1,3051,-3173,0.0,0
1,3051,-3106,0.0,0
1,3040,-3112,0.0,0
1,3028,-3160,0.0,0
1,3005,-3033,0.0,0
1,2967,-3075,0.0,0
1,2929,-3106,0.0,0
1,2887,-3106,0.0,0
1,2896,-3068,0.0,0
1,2856,-3052,0.0,0
1,2896,-3037,0.0,0
1,2898,-3026,0.0,0
1,2843,-3012,0.0,0
1,2825,-3016,0.0,0
1,2850,-2999,0.0,0
1,2816,-2939,0.0,0
1,2856,-2859,0.0,0
1,2772,-2876,0.0,0
1,2799,-2916,0.0,0
1,2724,-2911,0.0,0
1,2776,-2888,0.0,0
1,2703,-2794,0.0,0
1,2735,-2861,0.0,0
1,2741,-2842,0.0,0
1,2668,-2809,0.0,0
1,2674,-2792,0.0,0
