pitch_cur,pitch_rel,pitch_rel_set
-133,-0.174,-0.174
-180,-0.174,-0.174
-180,-0.174,-0.174
-181,-0.174,-0.174
-135,-0.174,-0.174
-179,-0.174,-0.174
-178,-0.174,-0.174
-133,-0.174,-0.174
-180,-0.174,-0.174
-133,-0.174,-0.174
-178,-0.174,-0.174
-130,-0.174,-0.174
-134,-0.174,-0.174
-181,-0.174,-0.174
-180,-0.174,-0.174
-130,-0.174,-0.174
-134,-0.174,-0.174
-135,-0.174,-0.174
-181,-0.174,-0.174
-181,-0.174,-0.174
-134,-0.174,-0.174
-132,-0.174,-0.174
-131,-0.174,-0.174
-133,-0.174,-0.174
-132,-0.174,-0.174
-133,-0.174,-0.174
-134,-0.174,-0.174
-179,-0.174,-0.174
-129,-0.174,-0.174
-128,-0.174,-0.174
-130,-0.174,-0.174
-130,-0.174,-0.174
-131,-0.174,-0.174
-174,-0.174,-0.174
-130,-0.174,-0.174
-129,-0.174,-0.174
-130,-0.174,-0.174
-130,-0.174,-0.174
-130,-0.174,-0.174
-128,-0.174,-0.174
-126,-0.174,-0.174
-173,-0.174,-0.174
-176,-0.174,-0.174
-128,-0.174,-0.174
-129,-0.174,-0.174
-126,-0.174,-0.174
-127,-0.174,-0.174
-126,-0.174,-0.174
-172,-0.174,-0.174
-124,-0.174,-0.174
-124,-0.174,-0.174
-125,-0.174,-0.174
-125,-0.174,-0.174
-126,-0.174,-0.174
-124,-0.174,-0.174
-121,-0.174,-0.174
-122,-0.174,-0.174
-169,-0.174,-0.174
-168,-0.174,-0.174
-120,-0.174,-0.174
-164,-0.174,-0.174
-122,-0.174,-0.174
-123,-0.174,-0.174
-167,-0.174,-0.174
-164,-0.174,-0.174
-118,-0.174,-0.174
-122,-0.174,-0.174
-169,-0.174,-0.174
-166,-0.174,-0.174
-120,-0.174,-0.174
-164,-0.174,-0.174
-119,-0.174,-0.174
-116,-0.174,-0.174
-118,-0.174,-0.174
-163,-0.174,-0.174
-116,-0.174,-0.174
-119,-0.174,-0.174
-117,-0.174,-0.174
-116,-0.174,-0.174
-117,-0.174,-0.174
-119,-0.174,-0.174
-120,-0.174,-0.174
-116,-0.174,-0.174
-116,-0.174,-0.174
-113,-0.174,-0.174
-162,-0.174,-0.174
-117,-0.174,-0.174
-164,-0.174,-0.174
-116,-0.174,-0.174
-118,-0.174,-0.174
-161,-0.174,-0.174
-116,-0.174,-0.174
-163,-0.174,-0.174
-116,-0.174,-0.174
-114,-0.174,-0.174
-117,-0.174,-0.174
-113,-0.174,-0.174
-118,-0.174,-0.174
-118,-0.174,-0.174
-116,-0.174,-0.174
-115,-0.174,-0.174
-115,-0.174,-0.174
-118,-0.174,-0.174
-117,-0.174,-0.174
-162,-0.174,-0.174
-164,-0.174,-0.174
-165,-0.174,-0.174
-165,-0.174,-0.174
-121,-0.174,-0.174
-163,-0.174,-0.174
-163,-0.174,-0.174
-165,-0.174,-0.174
-120,-0.174,-0.174
-167,-0.174,-0.174
-162,-0.174,-0.174
-115,-0.174,-0.174
-165,-0.174,-0.174
-122,-0.174,-0.174
-119,-0.174,-0.174
-118,-0.174,-0.174
-120,-0.174,-0.174
-119,-0.174,-0.174
-118,-0.174,-0.174
-165,-0.174,-0.174
-118,-0.174,-0.174
-164,-0.174,-0.174
-163,-0.174,-0.174
-118,-0.174,-0.174
-120,-0.174,-0.174
-120,-0.174,-0.174
-118,-0.174,-0.174
-119,-0.174,-0.174
-118,-0.174,-0.174
-116,-0.174,-0.174
-115,-0.174,-0.174
-115,-0.174,-0.174
-114,-0.174,-0.174
-116,-0.174,-0.174
-115,-0.174,-0.174
-163,-0.174,-0.174
-114,-0.174,-0.174
-162,-0.174,-0.174
-161,-0.174,-0.174
-162,-0.174,-0.174
-160,-0.174,-0.174
-113,-0.174,-0.174
-117,-0.174,-0.174
-116,-0.174,-0.174
-159,-0.174,-0.174
