pitch_cur,pitch_mode,pitch_rel,pitch_rel_set
-120,2,0.19,0.189
-73,2,0.189,0.189
-74,2,0.189,0.189
-118,2,0.19,0.189
-117,2,0.19,0.189
-117,2,0.19,0.189
-116,2,0.19,0.189
-116,2,0.19,0.189
-113,2,0.19,0.189
-115,2,0.19,0.189
-118,2,0.19,0.189
-118,2,0.19,0.189
-119,2,0.19,0.189
-69,2,0.189,0.189
-119,2,0.19,0.189
-70,2,0.189,0.189
-115,2,0.19,0.189
-69,2,0.189,0.189
-114,2,0.19,0.189
-69,2,0.189,0.189
-70,2,0.189,0.189
-70,2,0.189,0.189
-114,2,0.19,0.189
-114,2,0.19,0.189
-115,2,0.19,0.189
-112,2,0.19,0.189
-113,2,0.19,0.189
-67,2,0.189,0.189
-115,2,0.19,0.189
-115,2,0.19,0.189
-113,2,0.19,0.189
-68,2,0.189,0.189
-69,2,0.189,0.189
-115,2,0.19,0.189
-115,2,0.19,0.189
-114,2,0.19,0.189
-70,2,0.189,0.189
-70,2,0.189,0.189
-114,2,0.19,0.189
-114,2,0.19,0.189
-115,2,0.19,0.189
-70,2,0.189,0.189
-71,2,0.189,0.189
-112,2,0.19,0.189
-69,2,0.189,0.189
-67,2,0.189,0.189
-69,2,0.189,0.189
-114,2,0.19,0.189
-67,2,0.189,0.189
-114,2,0.19,0.189
-114,2,0.19,0.189
-112,2,0.19,0.189
-112,2,0.19,0.189
-69,2,0.189,0.189
-116,2,0.19,0.189
-113,2,0.19,0.189
-114,2,0.19,0.189
-114,2,0.19,0.189
-69,2,0.189,0.189
-116,2,0.19,0.189
-68,2,0.189,0.189
-68,2,0.189,0.189
-116,2,0.19,0.189
-69,2,0.189,0.189
-70,2,0.189,0.189
-70,2,0.189,0.189
-115,2,0.19,0.189
-68,2,0.189,0.189
-116,2,0.19,0.189
-115,2,0.19,0.189
-70,2,0.189,0.189
-72,2,0.189,0.189
-117,2,0.19,0.189
-71,2,0.189,0.189
-115,2,0.19,0.189
-116,2,0.19,0.189
-69,2,0.189,0.189
-70,2,0.189,0.189
-116,2,0.19,0.189
-115,2,0.19,0.189
-118,2,0.19,0.189
-118,2,0.19,0.189
-119,2,0.19,0.189
-119,2,0.19,0.189
-71,2,0.189,0.189
-116,2,0.19,0.189
-74,2,0.189,0.189
-74,2,0.189,0.189
-118,2,0.19,0.189
-72,2,0.189,0.189
-119,2,0.19,0.189
-72,2,0.189,0.189
-118,2,0.19,0.189
-116,2,0.19,0.189
-71,2,0.189,0.189
-116,2,0.19,0.189
-72,2,0.189,0.189
-70,2,0.189,0.189
-114,2,0.19,0.189
-116,2,0.19,0.189
-71,2,0.189,0.189
-72,2,0.189,0.189
-71,2,0.189,0.189
-72,2,0.189,0.189
-117,2,0.19,0.189
-118,2,0.19,0.189
-120,2,0.19,0.189
-118,2,0.19,0.189
-71,2,0.189,0.189
-115,2,0.19,0.189
-70,2,0.189,0.189
-117,2,0.19,0.189
-116,2,0.19,0.189
-71,2,0.189,0.189
-70,2,0.189,0.189
-118,2,0.19,0.189
-72,2,0.189,0.189
-116,2,0.19,0.189
-119,2,0.19,0.189
-114,2,0.19,0.189
-115,2,0.19,0.189
-69,2,0.189,0.189
-69,2,0.189,0.189
-115,2,0.19,0.189
-70,2,0.189,0.189
-71,2,0.189,0.189
-115,2,0.19,0.189
-67,2,0.189,0.189
-70,2,0.189,0.189
-119,2,0.19,0.189
-118,2,0.19,0.189
-116,2,0.19,0.189
-69,2,0.189,0.189
-117,2,0.19,0.189
-119,2,0.19,0.189
-73,2,0.189,0.189
-119,2,0.19,0.189
-120,2,0.19,0.189
-119,2,0.19,0.189
-73,2,0.189,0.189
-119,2,0.19,0.189
-78,2,0.189,0.189
-121,2,0.19,0.189
-75,2,0.189,0.189
-116,2,0.19,0.189
-117,2,0.19,0.189
-72,2,0.189,0.189
-118,2,0.19,0.189
-72,2,0.189,0.189
-118,2,0.19,0.189
-119,2,0.19,0.189
-118,2,0.19,0.189
