pitch_cur,pitch_mode,pitch_rel,pitch_rel_set,rc_ch1,rc_ch3
6284,2,-0.229,-0.196,0,0
6287,2,-0.229,-0.196,0,0
6289,2,-0.229,-0.196,0,0
6291,2,-0.229,-0.196,0,0
6293,2,-0.229,-0.196,0,0
6295,2,-0.229,-0.196,0,0
6297,2,-0.229,-0.196,0,0
6298,2,-0.229,-0.196,0,0
6301,2,-0.229,-0.196,0,0
6303,2,-0.229,-0.196,0,0
6304,2,-0.229,-0.196,0,0
6307,2,-0.229,-0.196,0,0
6309,2,-0.229,-0.196,0,0
6311,2,-0.229,-0.196,0,0
6313,2,-0.229,-0.196,0,0
6314,2,-0.229,-0.196,0,0
6317,2,-0.229,-0.196,0,0
6319,2,-0.229,-0.196,0,0
6321,2,-0.229,-0.196,0,0
6322,2,-0.229,-0.196,0,0
6325,2,-0.229,-0.196,0,0
6327,2,-0.229,-0.196,0,0
6329,2,-0.229,-0.196,0,0
6331,2,-0.229,-0.196,0,0
6333,2,-0.229,-0.196,0,0
6335,2,-0.229,-0.196,0,0
6337,2,-0.229,-0.196,0,0
6339,2,-0.229,-0.196,0,0
6341,2,-0.229,-0.196,0,0
6342,2,-0.229,-0.196,0,0
6344,2,-0.229,-0.196,0,0
6346,2,-0.229,-0.196,0,0
6348,2,-0.229,-0.196,0,0
6350,2,-0.229,-0.196,0,0
6352,2,-0.229,-0.196,0,0
6354,2,-0.229,-0.196,0,0
6356,2,-0.229,-0.196,0,0
6359,2,-0.229,-0.196,0,0
6359,2,-0.229,-0.196,0,0
6362,2,-0.229,-0.196,0,0
6364,2,-0.229,-0.196,0,0
6366,2,-0.229,-0.196,0,0
6368,2,-0.229,-0.196,0,0
6370,2,-0.229,-0.196,0,0
6372,2,-0.229,-0.196,0,0
6374,2,-0.229,-0.196,0,0
6376,2,-0.229,-0.196,0,0
6378,2,-0.229,-0.196,0,0
6379,2,-0.229,-0.196,0,0
6382,2,-0.229,-0.196,0,0
6383,2,-0.229,-0.196,0,0
6386,2,-0.229,-0.196,0,0
6388,2,-0.229,-0.196,0,0
6390,2,-0.229,-0.196,0,0
6392,2,-0.229,-0.196,0,0
6393,2,-0.229,-0.196,0,0
6396,2,-0.229,-0.196,0,0
6398,2,-0.229,-0.196,0,0
6400,2,-0.229,-0.196,0,0
6402,2,-0.229,-0.196,0,0
6404,2,-0.229,-0.196,0,0
6406,2,-0.229,-0.196,0,0
6406,2,-0.229,-0.196,0,0
6409,2,-0.229,-0.196,0,0
6412,2,-0.229,-0.196,0,0
6414,2,-0.229,-0.196,0,0
6416,2,-0.229,-0.196,0,0
6418,2,-0.229,-0.196,0,0
6420,2,-0.229,-0.196,0,0
6422,2,-0.229,-0.196,0,0
6422,2,-0.229,-0.196,0,0
6425,2,-0.229,-0.196,0,0
6427,2,-0.229,-0.196,0,0
6429,2,-0.229,-0.196,0,0
6431,2,-0.229,-0.196,0,0
6434,2,-0.229,-0.196,0,0
6436,2,-0.229,-0.196,0,0
6438,2,-0.229,-0.196,0,0
6440,2,-0.229,-0.196,0,0
6442,2,-0.229,-0.196,0,0
6444,2,-0.229,-0.196,0,0
6445,2,-0.229,-0.196,0,0
6447,2,-0.229,-0.196,0,0
6449,2,-0.229,-0.196,0,0
6451,2,-0.229,-0.196,0,0
6453,2,-0.229,-0.196,0,0
6455,2,-0.229,-0.196,0,0
6457,2,-0.229,-0.196,0,0
6459,2,-0.229,-0.196,0,0
6461,2,-0.229,-0.196,0,0
6463,2,-0.229,-0.196,0,0
6465,2,-0.229,-0.196,0,0
6467,2,-0.229,-0.196,0,0
6469,2,-0.229,-0.196,0,0
6471,2,-0.229,-0.196,0,0
6473,2,-0.229,-0.196,0,0
6475,2,-0.229,-0.196,0,0
6477,2,-0.229,-0.196,0,0
6479,2,-0.229,-0.196,0,0
