pitch_cur,pitch_rel,pitch_rel_set,rc_ch3
8292,0.19,0.189,-660
8293,0.19,0.189,-660
8292,0.19,0.189,-660
8289,0.19,0.189,-660
8243,0.19,0.189,-660
8291,0.19,0.189,-660
8290,0.19,0.189,-660
8243,0.19,0.189,-660
8288,0.19,0.189,-660
8288,0.19,0.189,-660
8289,0.19,0.189,-660
8289,0.19,0.189,-660
8290,0.19,0.189,-660
8287,0.19,0.189,-660
8286,0.19,0.189,-660
8285,0.19,0.189,-660
8284,0.19,0.189,-660
8285,0.19,0.189,-660
8238,0.19,0.189,-660
8287,0.19,0.189,-660
8285,0.19,0.189,-660
8286,0.19,0.189,-660
8286,0.19,0.189,-660
8288,0.19,0.189,-660
8240,0.19,0.189,-660
8285,0.19,0.189,-660
8283,0.19,0.189,-660
8284,0.19,0.189,-660
8238,0.19,0.189,-660
8240,0.19,0.189,-660
8239,0.19,0.189,-660
8285,0.19,0.189,-660
8284,0.19,0.189,-660
8282,0.19,0.189,-660
8283,0.19,0.189,-660
8285,0.19,0.189,-660
8236,0.19,0.189,-660
8283,0.19,0.189,-660
8281,0.19,0.189,-660
8280,0.19,0.189,-660
8281,0.19,0.189,-660
8281,0.19,0.189,-660
8281,0.19,0.189,-660
8281,0.19,0.189,-660
8234,0.19,0.189,-660
8283,0.19,0.189,-660
8282,0.19,0.189,-660
8281,0.19,0.189,-660
8281,0.19,0.189,-660
8281,0.19,0.189,-660
8235,0.19,0.189,-660
8233,0.19,0.189,-660
8282,0.19,0.189,-660
8281,0.19,0.189,-660
8233,0.19,0.189,-660
8236,0.19,0.189,-660
8282,0.19,0.189,-660
8280,0.19,0.189,-660
8280,0.19,0.189,-660
8280,0.19,0.189,-660
8279,0.19,0.189,-660
8279,0.19,0.189,-660
8279,0.19,0.189,-660
8279,0.19,0.189,-660
8280,0.19,0.189,-660
8280,0.19,0.189,-660
8234,0.19,0.189,-660
8280,0.19,0.189,-660
8279,0.19,0.189,-660
8280,0.19,0.189,-660
8280,0.19,0.189,-660
8279,0.19,0.189,-660
8280,0.19,0.189,-660
8279,0.19,0.189,-660
8280,0.19,0.189,-660
8233,0.19,0.189,-660
8235,0.19,0.189,-660
8281,0.19,0.189,-660
8280,0.19,0.189,-660
8282,0.19,0.189,-660
8281,0.19,0.189,-660
8235,0.19,0.189,-660
8280,0.19,0.189,-660
8281,0.19,0.189,-660
8279,0.19,0.189,-660
8280,0.19,0.189,-660
8234,0.19,0.189,-660
8282,0.19,0.189,-660
8232,0.19,0.189,-660
8281,0.19,0.189,-660
8279,0.19,0.189,-660
8278,0.19,0.189,-660
8278,0.19,0.189,-660
8279,0.19,0.189,-660
8279,0.19,0.189,-660
8281,0.19,0.189,-660
8279,0.19,0.189,-660
8282,0.19,0.189,-660
8234,0.19,0.189,-660
8235,0.19,0.189,-660
8282,0.19,0.189,-660
8282,0.19,0.189,-660
8279,0.19,0.189,-660
8279,0.19,0.189,-660
8233,0.19,0.189,-660
8279,0.19,0.189,-660
8278,0.19,0.189,-660
8280,0.19,0.189,-660
