ff_b_hat,ff_k_hat,pitch_cur,pitch_rel,pitch_rel_set,rc_ch3
3102,3102.207,3006,-0.186,-0.193,0
3101,3101.206,3004,-0.186,-0.193,0
3100,3100.205,3004,-0.186,-0.193,0
3099,3099.204,3001,-0.186,-0.193,0
3098,3098.203,2998,-0.186,-0.193,0
3097,3097.203,2997,-0.186,-0.193,0
3096,3096.202,2995,-0.186,-0.193,0
3095,3095.201,2992,-0.186,-0.193,0
3094,3094.2,2991,-0.186,-0.193,0
3093,3093.199,2990,-0.186,-0.193,0
3092,3092.198,2987,-0.186,-0.193,0
3091,3091.197,2984,-0.186,-0.193,0
3090,3090.196,2982,-0.186,-0.193,0
3089,3089.195,2981,-0.186,-0.193,0
3088,3088.194,2980,-0.186,-0.193,0
3087,3087.193,2978,-0.186,-0.193,0
3086,3086.192,2974,-0.186,-0.193,0
3085,3085.191,2974,-0.186,-0.193,0
3084,3084.19,2972,-0.186,-0.193,0
3083,3083.189,2969,-0.186,-0.193,5
3082,3082.188,2963,-0.186,-0.194,15
3081,3081.187,2950,-0.186,-0.194,43
3080,3080.186,2932,-0.186,-0.195,62
3079,3079.185,2920,-0.186,-0.196,99
3078,3078.184,2917,-0.186,-0.196,118
3077,3077.183,2915,-0.186,-0.196,138
3076,3076.182,2914,-0.186,-0.196,179
3075,3075.181,2914,-0.186,-0.196,203
3074,3074.18,2911,-0.186,-0.196,262
3073,3073.179,2908,-0.186,-0.196,296
3072,3072.178,2905,-0.186,-0.196,378
3071,3071.177,2903,-0.186,-0.196,424
3070,3070.176,2901,-0.186,-0.196,471
3069,3069.175,2902,-0.186,-0.196,563
3068,3068.174,2899,-0.186,-0.196,605
3067,3067.173,2896,-0.186,-0.196,656
3066,3066.172,2894,-0.186,-0.196,660
3065,3065.171,2891,-0.186,-0.196,660
3064,3064.17,2889,-0.186,-0.196,660
3063,3063.169,2887,-0.186,-0.196,660
3062,3062.168,2885,-0.186,-0.196,660
3061,3061.167,2883,-0.186,-0.196,660
3060,3060.166,2881,-0.186,-0.196,660
3059,3059.165,2881,-0.186,-0.196,660
3058,3058.164,2878,-0.186,-0.196,660
3057,3057.163,2875,-0.186,-0.196,660
3056,3056.162,2875,-0.186,-0.196,660
3055,3055.161,2872,-0.186,-0.196,660
3054,3054.161,2872,-0.186,-0.196,660
3053,3053.16,2869,-0.186,-0.196,660
3052,3052.159,2866,-0.186,-0.196,660
3051,3051.158,2863,-0.186,-0.196,660
3050,3050.157,2861,-0.186,-0.196,660
3049,3049.156,2860,-0.186,-0.196,660
3048,3048.155,2858,-0.186,-0.196,660
3047,3047.154,2855,-0.186,-0.196,660
3046,3046.153,2853,-0.186,-0.196,660
3045,3045.152,2852,-0.186,-0.196,660
3044,3044.151,2850,-0.186,-0.196,660
3043,3043.15,2847,-0.186,-0.196,660
3042,3042.149,2846,-0.186,-0.196,638
3041,3041.148,2844,-0.186,-0.196,580
3040,3040.147,2841,-0.186,-0.196,541
3039,3039.146,2839,-0.186,-0.196,437
3038,3038.145,2837,-0.186,-0.196,376
3037,3037.144,2835,-0.186,-0.196,248
3036,3036.143,2833,-0.186,-0.196,181
3035,3035.142,2833,-0.186,-0.196,114
3034,3034.141,2830,-0.186,-0.196,0
3033,3033.14,2835,-0.186,-0.195,-35
3032,3032.139,2869,-0.186,-0.193,-149
3031,3031.138,2933,-0.186,-0.19,-202
3030,3030.137,3024,-0.186,-0.185,-300
3029,3029.136,3163,-0.186,-0.179,-346
3028,3028.135,3359,-0.186,-0.171,-392
3027,3027.134,3620,-0.186,-0.162,-475
3026,3026.133,3945,-0.186,-0.152,-508
3025,3025.132,4335,-0.186,-0.142,-558
3024,3024.131,4793,-0.186,-0.13,-584
3023,3023.13,5320,-0.186,-0.118,-635
3022,3022.129,5921,-0.186,-0.105,-650
3022,3022.93,6594,-0.186,-0.092,-659
3023,3023.931,7331,-0.186,-0.079,-660
3024,3024.932,8132,-0.186,-0.066,-660
3025,3025.933,8999,-0.186,-0.053,-660
3026,3026.934,9928,-0.186,-0.039,-660
3027,3027.935,10921,-0.186,-0.026,-660
3028,3028.936,11976,-0.186,-0.013,-660
3029,3029.937,12578,-0.186,0.0,-660
3030,3030.938,12791,-0.185,0.012,-660
3031,3031.939,13028,-0.184,0.026,-660
3032,3032.94,13234,-0.183,0.039,-660
3033,3033.941,13492,-0.182,0.052,-660
3034,3034.942,13669,-0.18,0.065,-660
3035,3035.943,13900,-0.178,0.078,-660
3036,3036.944,14087,-0.176,0.092,-660
3037,3037.945,14326,-0.174,0.105,-660
3038,3038.946,14526,-0.172,0.118,-660
3039,3039.947,14736,-0.17,0.131,-660
3040,3040.948,14920,-0.167,0.144,-660
3041,3041.548,15081,-0.163,0.158,-660
3041,3041.548,15174,-0.158,0.171,-660
3041,3041.548,15301,-0.152,0.184,-660
3041,3041.548,15265,-0.146,0.189,-660
3041,3041.548,15046,-0.138,0.189,-660
3042,3042.449,14797,-0.128,0.189,-660
3043,3043.0,14514,-0.116,0.189,-660
3043,3043.0,14264,-0.105,0.189,-660
3043,3043.0,14016,-0.092,0.189,-660
3043,3043.0,13787,-0.08,0.189,-660
3043,3043.0,13519,-0.067,0.189,-660
3043,3043.0,13295,-0.055,0.189,-660
3043,3043.0,13026,-0.042,0.189,-660
3043,3043.0,12740,-0.028,0.189,-660
3043,3043.0,12431,-0.013,0.189,-660
3043,3043.0,12145,0.0,0.189,-660
3043,3043.0,11900,0.014,0.189,-660
3043,3043.0,11671,0.027,0.189,-660
3043,3043.0,11494,0.039,0.189,-660
3043,3043.0,11246,0.051,0.189,-660
3043,3043.0,11144,0.06,0.189,-660
3043,3043.0,10935,0.071,0.189,-660
3043,3043.6,10789,0.08,0.189,-660
3044,3044.601,10694,0.088,0.189,-660
3045,3045.602,10600,0.095,0.189,-660
3046,3046.603,10555,0.1,0.189,-660
3047,3047.604,10507,0.105,0.189,-660
3048,3048.605,10473,0.108,0.189,-660
3049,3049.606,10444,0.111,0.189,-660
3050,3050.607,10426,0.114,0.189,-660
3051,3051.608,10466,0.115,0.189,-660
3052,3052.609,10435,0.116,0.189,-649
3053,3053.61,10511,0.115,0.189,-602
3054,3054.611,10475,0.116,0.189,-482
3055,3055.612,10518,0.115,0.189,-427
3056,3056.613,10559,0.115,0.189,-329
3057,3057.614,10515,0.115,0.189,-279
3058,3058.615,10518,0.115,0.189,-227
3059,3059.616,10523,0.115,0.189,-117
3060,3060.617,10528,0.115,0.189,-69
3061,3061.618,10528,0.115,0.189,-4
3062,3062.619,10526,0.115,0.189,0
3063,3063.62,10515,0.115,0.189,93
3064,3064.621,10474,0.115,0.186,147
3065,3065.622,10407,0.115,0.183,203
3066,3066.623,10306,0.115,0.177,305
3067,3067.624,10182,0.115,0.171,348
3068,3068.625,10072,0.115,0.163,418
3069,3069.626,9895,0.115,0.155,445
3070,3070.627,9718,0.115,0.146,489
3071,3071.628,9528,0.115,0.136,509
3072,3072.629,9370,0.114,0.125,529
3073,3073.63,9144,0.114,0.114,566
3074,3074.63,8930,0.113,0.103,585
3075,3075.631,8646,0.112,0.091,624
3076,3076.632,8305,0.111,0.078,642
3077,3077.633,7846,0.111,0.065,660
3078,3078.634,7366,0.111,0.052,660
3079,3079.635,6826,0.11,0.038,660
3080,3080.636,6303,0.108,0.025,660
3080,3080.285,5827,0.103,0.012,660
3079,3079.284,5310,0.098,0.0,660
3078,3078.283,4933,0.088,-0.013,660
3077,3077.432,4554,0.078,-0.027,660
3077,3077.432,4358,0.062,-0.04,660
3077,3077.432,4263,0.044,-0.053,660
3077,3077.432,4243,0.023,-0.066,660
3077,3077.432,4404,0.0,-0.079,660
3077,3077.432,4743,-0.029,-0.093,660
3077,3077.432,5162,-0.059,-0.106,660
3077,3077.432,5818,-0.092,-0.119,660
3077,3077.432,6620,-0.128,-0.132,660
3077,3077.432,7469,-0.164,-0.145,660
3077,3077.432,8236,-0.197,-0.159,660
3077,3077.432,7836,-0.205,-0.172,660
3078,3078.033,7325,-0.204,-0.185,660
3079,3079.034,7023,-0.202,-0.196,660
3080,3080.035,6923,-0.2,-0.196,660
3081,3081.036,6930,-0.199,-0.196,660
3082,3082.037,6961,-0.199,-0.196,660
3083,3083.038,6984,-0.199,-0.196,660
3084,3084.039,6958,-0.198,-0.196,660
3085,3085.04,7022,-0.199,-0.196,660
3086,3086.041,7040,-0.199,-0.196,660
3087,3087.042,7058,-0.199,-0.196,660
3088,3088.043,7077,-0.199,-0.196,660
3089,3089.044,7095,-0.199,-0.196,660
3090,3090.045,7113,-0.199,-0.196,622
3091,3091.046,7132,-0.199,-0.196,585
3092,3092.047,7150,-0.199,-0.196,481
3093,3093.048,7167,-0.199,-0.196,415
3094,3094.049,7185,-0.199,-0.196,259
3095,3095.05,7203,-0.199,-0.196,175
3096,3096.051,7221,-0.199,-0.196,100
3097,3097.052,7239,-0.199,-0.196,-9
3098,3098.053,7276,-0.199,-0.195,-82
3099,3099.054,7365,-0.199,-0.192,-230
3100,3100.055,7516,-0.199,-0.186,-299
3101,3101.056,7729,-0.199,-0.179,-420
3102,3102.057,8014,-0.199,-0.171,-468
3103,3103.057,8367,-0.199,-0.161,-507
3104,3104.058,8787,-0.199,-0.15,-567
3105,3105.059,9321,-0.2,-0.138,-591
3106,3106.06,9838,-0.199,-0.126,-639
3107,3107.061,10467,-0.199,-0.113,-652
3108,3108.062,11050,-0.199,-0.1,-660
3109,3109.063,11274,-0.198,-0.087,-660
3110,3110.064,11481,-0.197,-0.073,-660
3111,3111.065,11736,-0.196,-0.06,-660
3112,3112.066,11829,-0.192,-0.047,-660
3113,3113.067,12047,-0.19,-0.034,-660
3114,3114.068,12311,-0.188,-0.021,-660
3115,3115.069,12553,-0.187,-0.007,-660
3116,3116.07,12822,-0.186,0.005,-660
3117,3117.071,13101,-0.186,0.018,-660
3118,3118.072,13365,-0.186,0.031,-660
3119,3119.073,13623,-0.186,0.044,-660
3120,3120.074,13845,-0.185,0.058,-660
3121,3121.075,14006,-0.183,0.071,-660
3122,3122.076,14198,-0.181,0.084,-660
3123,3123.077,14409,-0.178,0.097,-660
3124,3124.078,14600,-0.175,0.11,-660
3125,3125.079,14754,-0.171,0.124,-660
3126,3126.08,14898,-0.167,0.137,-660
3126,3126.831,15056,-0.162,0.15,-660
3126,3126.831,15152,-0.156,0.163,-660
3126,3126.831,15275,-0.15,0.176,-660
3126,3126.831,15257,-0.141,0.189,-660
3126,3126.831,15047,-0.131,0.189,-660
3127,3127.131,14723,-0.119,0.189,-660
3127,3127.131,14453,-0.107,0.189,-660
3127,3127.131,14186,-0.094,0.189,-660
3127,3127.131,13903,-0.08,0.189,-660
3127,3127.131,13593,-0.065,0.189,-660
3127,3127.131,13336,-0.052,0.189,-660
3127,3127.131,13049,-0.037,0.189,-660
3127,3127.131,12652,-0.02,0.189,-660
3127,3127.131,12295,-0.003,0.189,-660
3127,3127.131,12039,0.011,0.189,-660
3127,3127.131,11766,0.026,0.189,-660
3127,3127.131,11502,0.041,0.189,-660
3127,3127.131,11307,0.054,0.189,-660
3127,3127.131,11043,0.068,0.189,-660
3127,3127.131,10810,0.081,0.189,-660
3127,3127.131,10594,0.093,0.189,-660
3127,3127.131,10464,0.103,0.189,-660
3127,3127.431,10326,0.112,0.189,-660
3128,3128.432,10225,0.12,0.189,-660
3129,3129.433,10124,0.127,0.189,-660
3130,3130.434,10077,0.132,0.189,-660
3131,3131.435,10041,0.137,0.189,-660
3132,3132.436,9998,0.141,0.189,-660
3133,3133.437,9979,0.144,0.189,-660
3134,3134.438,9965,0.146,0.189,-660
3135,3135.439,9968,0.148,0.189,-660
3136,3136.44,10020,0.148,0.189,-660
3137,3137.441,10044,0.148,0.189,-660
3138,3138.442,10046,0.148,0.189,-660
