ff_b_hat,pitch_cur,pitch_rel,pitch_rel_set,rc_ch3
556,-2569,-0.189,-0.196,0
546,-2579,-0.189,-0.196,0
536,-2589,-0.189,-0.196,0
526,-2599,-0.189,-0.196,0
516,-2609,-0.189,-0.196,0
506,-2619,-0.189,-0.196,0
496,-2629,-0.189,-0.196,0
486,-2639,-0.189,-0.196,0
476,-2649,-0.189,-0.196,0
466,-2659,-0.189,-0.196,0
456,-2669,-0.189,-0.196,0
446,-2679,-0.189,-0.196,0
436,-2689,-0.189,-0.196,0
426,-2699,-0.189,-0.196,0
416,-2709,-0.189,-0.196,0
406,-2719,-0.189,-0.196,0
396,-2729,-0.189,-0.196,0
386,-2739,-0.189,-0.196,0
376,-2749,-0.189,-0.196,0
366,-2759,-0.189,-0.196,-2
356,-2767,-0.189,-0.195,-13
346,-2769,-0.189,-0.195,-28
336,-2757,-0.189,-0.194,-78
326,-2728,-0.189,-0.192,-119
316,-2676,-0.189,-0.189,-191
306,-2586,-0.189,-0.184,-276
296,-2428,-0.189,-0.177,-405
286,-2199,-0.189,-0.169,-460
276,-1903,-0.189,-0.159,-497
266,-1541,-0.189,-0.149,-546
256,-1116,-0.189,-0.138,-564
246,-630,-0.189,-0.126,-585
236,-82,-0.189,-0.114,-591
233,410,-0.187,-0.102,-595
243,887,-0.182,-0.091,-596
253,1574,-0.181,-0.079,-596
263,2140,-0.176,-0.067,-596
273,2772,-0.171,-0.055,-596
283,3285,-0.164,-0.043,-587
293,3735,-0.154,-0.031,-583
295,4001,-0.139,-0.02,-577
295,4091,-0.12,-0.008,-575
295,3990,-0.096,0.002,-574
295,3753,-0.069,0.014,-572
295,3395,-0.04,0.025,-570
295,2933,-0.009,0.037,-568
295,2381,0.021,0.048,-567
295,1902,0.049,0.059,-566
295,1432,0.075,0.071,-566
295,1015,0.098,0.082,-565
295,785,0.115,0.093,-562
295,561,0.13,0.104,-561
295,414,0.141,0.116,-558
296,363,0.15,0.127,-556
306,459,0.154,0.138,-551
316,599,0.158,0.149,-549
326,919,0.157,0.16,-547
336,1201,0.157,0.171,-544
346,1481,0.158,0.182,-543
356,1716,0.159,0.189,-540
366,1856,0.16,0.189,-539
376,2031,0.16,0.189,-538
386,2153,0.161,0.189,-537
396,2313,0.161,0.189,-536
406,2425,0.161,0.189,-532
416,2543,0.162,0.189,-527
426,2660,0.163,0.189,-508
436,2776,0.164,0.189,-490
446,2884,0.164,0.189,-414
456,2988,0.165,0.189,-335
466,3045,0.167,0.189,-240
476,3151,0.167,0.189,-67
486,3201,0.169,0.189,0
496,3274,0.17,0.188,133
506,3198,0.172,0.185,206
516,3152,0.173,0.18,344
526,3065,0.173,0.172,397
536,2895,0.173,0.164,451
546,2647,0.173,0.154,521
556,2373,0.172,0.143,549
566,1988,0.172,0.132,599
576,1619,0.171,0.119,620
586,1126,0.17,0.107,658
595,567,0.169,0.094,660
585,6,0.167,0.08,660
575,-539,0.163,0.067,660
565,-1041,0.157,0.054,660
555,-1696,0.152,0.041,660
545,-2185,0.144,0.028,660
535,-2711,0.134,0.014,660
527,-3151,0.123,0.001,660
527,-3476,0.108,-0.011,660
527,-3738,0.092,-0.024,660
527,-3636,0.067,-0.037,660
527,-3246,0.04,-0.051,660
527,-2928,0.013,-0.064,660
527,-2431,-0.017,-0.077,660
527,-2055,-0.047,-0.09,660
527,-1634,-0.076,-0.103,660
527,-1296,-0.102,-0.117,660
527,-1165,-0.122,-0.13,660
527,-905,-0.142,-0.143,660
527,-779,-0.158,-0.156,660
527,-698,-0.172,-0.169,660
527,-788,-0.181,-0.183,660
524,-915,-0.189,-0.196,660
514,-1025,-0.191,-0.196,660
