bullet_cnt,fric1_rpm,fric2_rpm,local_heat,shoot_mode,trigger_cur,trigger_ecd_fdb,trigger_ecd_set,trigger_spd,trigger_spd_set
43,4873,-4922,0.0,5,-1090,13387335,13372675,0.0,-15.0
43,4907,-4851,0.0,5,-1090,13387335,13372675,0.0,-15.0
43,4898,-4887,0.0,5,-1090,13387335,13372675,0.0,-15.0
43,4923,-4922,0.0,5,-1090,13387335,13372675,0.0,-15.0
43,4869,-4849,0.0,5,-1090,13387335,13372675,0.0,-15.0
43,4848,-4843,0.0,5,-1090,13387335,13372675,0.0,-15.0
43,4923,-4864,0.0,5,-1090,13387335,13372675,0.0,-15.0
43,4900,-4860,0.0,5,-1090,13387335,13372675,0.0,-15.0
43,4894,-4870,0.0,5,-370,13387342,13372675,0.003,15.0
43,4894,-4904,0.0,5,883,13387476,13372675,0.109,15.0
43,4890,-4920,0.0,5,1086,13387987,13372675,0.519,15.0
43,4848,-4885,0.0,5,1082,13389479,13372675,1.309,15.0
43,4865,-4908,0.0,5,1078,13391992,13372675,1.945,15.0
43,4875,-4922,0.0,5,1081,13393887,13372675,1.385,15.0
43,4888,-4883,0.0,5,1084,13395397,13372675,0.995,15.0
43,4865,-4908,0.0,5,1088,13395979,13372675,0.272,15.0
43,4879,-4885,0.0,5,1090,13396047,13372675,-0.006,15.0
43,4888,-4887,0.0,5,1089,13396046,13372675,0.0,15.0
43,4854,-4885,0.0,5,1090,13396046,13372675,0.0,15.0
43,4877,-4878,0.0,5,1090,13396046,13372675,0.0,15.0
43,4890,-4895,0.0,5,1090,13396046,13372675,0.0,15.0
43,4892,-4906,0.0,5,1090,13396046,13372675,0.0,15.0
43,4884,-4874,0.0,5,1090,13396046,13372675,0.0,15.0
43,4884,-4872,0.0,5,1090,13396046,13372675,0.0,15.0
43,4850,-4849,0.0,5,1090,13396046,13372675,0.0,15.0
43,4879,-4845,0.0,5,1090,13396046,13372675,0.0,15.0
43,4877,-4853,0.0,5,1090,13396046,13372675,0.0,15.0
