bullet_cnt,local_heat,shoot_mode,trigger_cur,trigger_spd,trigger_spd_set
127,0.0,2,4030,-0.066,5.0
127,0.0,2,4453,0.0,5.0
127,0.0,2,4887,0.004,5.0
127,0.0,2,5314,0.038,5.0
127,0.0,2,5750,0.014,5.0
127,0.0,2,5992,0.035,5.0
127,0.0,2,5998,0.008,5.0
127,0.0,2,5995,0.02,5.0
127,0.0,2,5995,0.02,5.0
127,0.0,2,5998,0.005,5.0
127,0.0,2,5998,0.007,5.0
127,0.0,2,5982,0.087,5.0
127,0.0,2,5970,0.146,5.0
127,0.0,2,5957,0.21,5.0
127,0.0,2,5506,2.467,5.0
127,0.0,2,3940,9.569,5.0
127,0.0,2,2896,12.04,5.0
127,0.0,2,2250,12.16,5.0
127,0.0,2,1262,13.648,5.0
127,0.0,2,1471,9.535,5.0
127,0.0,2,1883,6.284,5.0
127,0.0,2,1424,7.612,5.0
127,0.0,2,1529,6.154,5.0
127,0.0,2,2694,1.346,5.0
127,0.0,2,2158,4.781,5.0
127,0.0,2,1800,6.325,5.0
127,0.0,2,1659,6.389,5.0
127,0.0,2,1733,5.681,5.0
127,0.0,2,2631,1.396,5.0
127,0.0,2,3340,-0.025,5.0
127,0.0,2,3755,0.0,5.0
127,0.0,2,4171,0.015,5.0
127,0.0,2,4578,0.071,5.0
127,0.0,2,4915,0.381,5.0
127,0.0,2,4928,2.119,5.0
127,0.0,2,4654,4.122,5.0
127,0.0,2,4006,7.268,5.0
127,0.0,2,2739,11.555,5.0
127,0.0,2,2255,11.158,5.0
127,0.0,2,1349,12.603,5.0
127,0.0,2,1736,7.82,5.0
127,0.0,2,1336,8.597,5.0
127,0.0,2,1250,7.606,5.0
127,0.0,2,1276,6.353,5.0
127,0.0,2,2808,-0.125,5.0
127,0.0,2,3222,0.0,5.0
127,0.0,2,3657,0.0,5.0
127,0.0,2,4090,0.007,5.0
127,0.0,2,4455,0.254,5.0
127,0.0,2,4886,0.151,5.0
127,0.0,2,5244,0.369,5.0
127,0.0,2,4553,5.151,5.0
127,0.0,2,3477,9.335,5.0
