bullet_cnt,local_heat,shoot_mode,trigger_cur,trigger_ecd_fdb,trigger_ecd_set,trigger_spd
153,0.0,2,4228,25185640,25185640,0.01
153,0.0,2,4636,25185708,25185708,0.057
153,0.0,2,5057,25185768,25185768,0.034
153,0.0,2,5472,25185844,25185844,0.039
153,0.0,2,5889,25185916,25185916,0.029
153,0.0,2,5945,25186186,25186186,0.272
153,0.0,2,5982,25186444,25186444,0.087
153,0.0,2,5996,25186472,25186472,0.019
153,0.0,2,5994,25186508,25186508,0.026
153,0.0,2,5992,25186576,25186576,0.039
153,0.0,2,5982,25186662,25186662,0.087
153,0.0,2,5929,25187108,25187108,0.352
153,0.0,2,4362,25203754,25203754,7.949
153,0.0,2,2765,25212614,25212614,13.334
153,0.0,2,2341,25229966,25229966,11.817
153,0.0,2,1147,25248990,25248990,14.209
153,0.0,2,1338,25264428,25264428,9.89
153,0.0,2,829,25278868,25278868,10.245
153,0.0,2,555,25292116,25292116,9.474
153,0.0,2,1599,25298680,25298680,3.458
153,0.0,2,1359,25305004,25305004,4.969
153,0.0,2,1307,25311816,25311816,5.187
153,0.0,2,1267,25319056,25319056,5.274
153,0.0,2,1218,25326148,25326148,5.38
153,0.0,2,1609,25331552,25331552,3.448
153,0.0,2,2662,25331652,25331652,-0.09
153,0.0,2,3066,25331652,25331652,0.001
153,0.0,2,3486,25331652,25331652,0.0
153,0.0,2,3890,25331660,25331660,0.007
153,0.0,2,4283,25331716,25331716,0.056
153,0.0,2,4672,25331934,25331934,0.152
153,0.0,2,5072,25332092,25332092,0.129
153,0.0,2,5507,25332162,25332162,0.023
153,0.0,2,5896,25332316,25332316,0.146
153,0.0,2,5944,25332732,25332732,0.277
153,0.0,2,5997,25332756,25332756,0.01
153,0.0,2,5996,25332776,25332776,0.016
153,0.0,2,5998,25332796,25332796,0.008
153,0.0,2,5998,25332812,25332812,0.007
153,0.0,2,5998,25332820,25332820,0.007
153,0.0,2,5998,25332828,25332828,0.005
153,0.0,2,5999,25332832,25332832,0.003
153,0.0,2,5998,25332844,25332844,0.005
153,0.0,2,5998,25332856,25332856,0.007
153,0.0,2,5993,25332900,25332900,0.033
153,0.0,2,5996,25332952,25332952,0.016
153,0.0,2,5998,25332968,25332968,0.008
153,0.0,2,5997,25332986,25332986,0.014
153,0.0,2,5997,25333008,25333008,0.011
153,0.0,2,5998,25333024,25333024,0.008
153,0.0,2,3732,25333020,25333020,-0.008
153,0.0,2,3313,25333008,25333008,-0.011
153,0.0,2,2881,25332988,25332988,-0.021
153,0.0,2,2457,25332928,25332928,-0.06
153,0.0,2,2023,25332878,25332878,-0.044
153,0.0,2,1591,25332808,25332808,-0.033
153,0.0,2,1179,25332696,25332696,-0.122
153,0.0,2,738,25332632,25332632,-0.064
153,0.0,2,342,25332424,25332424,-0.213
153,0.0,2,-82,25332280,25332280,-0.131
153,0.0,2,-492,25332112,25332112,-0.118
153,0.0,2,-920,25332064,25332064,-0.056
153,0.0,2,-1152,25331258,25331258,-0.862
153,0.0,2,-1080,25328242,25328242,-2.595
153,0.0,2,-1270,25324660,25324660,-2.63
153,0.0,2,-1323,25320396,25320396,-3.235
153,0.0,2,-1302,25315430,25315430,-3.931
153,0.0,2,102,25312212,25312212,-1.303
153,0.0,2,81,25313140,25313140,0.725
153,0.0,2,565,25313564,25313564,0.203
153,0.0,2,1004,25313652,25313652,0.087
153,0.0,2,1187,25314782,25314782,1.071
153,0.0,2,1122,25317968,25317968,2.692
153,0.0,2,1336,25313528,25313528,2.616
153,0.0,2,1479,25317384,25317384,2.896
153,0.0,2,1595,25321692,25321692,3.159
153,0.0,2,2179,25324572,25324572,1.119
153,0.0,2,2821,25324560,25324560,-0.022
153,0.0,2,3252,25324560,25324560,0.0
153,0.0,2,3686,25324562,25324562,0.001
153,0.0,2,4106,25324572,25324572,0.002
153,0.0,2,4519,25324612,25324612,0.031
153,0.0,2,4924,25324656,25324656,0.016
153,0.0,2,5299,25324864,25324864,0.204
153,0.0,2,5731,25325020,25325020,0.077
153,0.0,2,5983,25325138,25325138,0.083
153,0.0,2,5995,25325176,25325176,0.022
153,0.0,2,5964,25325380,25325380,0.179
153,0.0,2,5951,25325668,25325668,0.241
153,0.0,2,5987,25325768,25325768,0.06
153,0.0,2,5964,25325982,25325982,0.178
153,0.0,2,5631,25327796,25327796,1.844
153,0.0,2,3662,25340404,25340404,10.759
153,0.0,2,2418,25358176,25358176,13.741
153,0.0,2,1633,25377324,25377324,13.999
153,0.0,2,855,25396636,25396636,13.864
153,0.0,2,799,25411804,25411804,11.122
153,0.0,2,561,25425308,25425308,9.917
153,0.0,2,1051,25435154,25435154,5.845
153,0.0,2,2578,25435166,25435166,-0.144
153,0.0,2,2988,25435160,25435160,-0.007
153,0.0,2,3407,25435160,25435160,0.0
153,0.0,2,3827,25435160,25435160,0.0
