rc_ch0,rc_ch1,rc_ch2,rc_ch3,rc_s0,vt03_toe
0,0,0,0,3,0
0,0,0,0,3,0
0,0,0,0,3,0
0,0,0,0,3,0
0,0,0,0,3,0
0,0,0,0,3,0
0,0,0,0,3,0
0,0,0,0,3,0
0,0,0,0,3,0
0,0,0,0,3,0
0,0,0,0,3,0
0,0,0,0,3,0
0,0,0,-139,3,0
0,0,0,-219,3,0
0,0,0,-398,3,0
0,0,0,-458,3,0
0,0,0,-660,3,0
0,0,0,-660,3,0
0,0,0,-660,3,0
0,0,0,-660,3,0
0,0,0,-660,3,0
0,0,0,-660,3,0
0,0,0,-660,3,0
0,0,0,-660,3,0
0,0,0,-660,3,0
0,0,0,-660,3,0
0,0,0,-660,3,0
0,0,0,-660,3,0
0,0,0,-660,3,0
0,0,0,-660,3,0
0,0,0,-660,3,0
0,0,0,-660,3,0
0,0,0,-660,3,0
0,0,0,-660,3,0
0,0,0,-660,3,0
0,0,0,-660,3,0
0,0,0,-660,3,0
0,0,0,-660,3,0
0,0,0,-660,3,0
0,0,0,-660,3,0
0,0,0,-660,3,0
0,0,0,-660,3,0
0,0,0,-660,3,0
0,0,0,-660,3,0
0,0,0,-660,3,0
0,0,0,-415,3,0
0,0,0,-156,3,0
0,0,0,-156,3,0
0,0,0,224,3,0
0,0,0,559,3,0
0,0,0,559,3,0
0,0,0,660,3,0
0,0,0,660,3,0
0,0,0,660,3,0
0,0,0,660,3,0
0,0,0,660,3,0
0,0,0,660,3,0
0,0,0,660,3,0
0,0,0,660,3,0
0,0,0,660,3,0
0,0,0,660,3,0
0,0,0,660,3,0
0,0,0,660,3,0
0,0,0,660,3,0
0,0,0,660,3,0
0,0,0,660,3,0
0,0,0,660,3,0
0,0,0,660,3,0
0,0,0,660,3,0
0,0,0,660,3,0
0,0,0,600,3,0
0,0,0,600,3,0
0,0,0,57,3,0
0,0,0,0,3,0
0,0,0,0,3,0
0,0,0,-45,3,0
0,0,0,-135,3,0
0,0,0,-210,3,0
0,0,0,-227,3,0
0,0,-85,-229,3,0
0,0,-342,-187,3,0
0,0,-500,-131,3,0
0,0,-648,-78,3,0
0,0,-648,-78,3,0
0,0,-660,0,3,0
0,0,-660,0,3,0
0,0,-660,0,3,0
0,0,-660,0,3,0
0,0,-660,0,3,0
0,0,-660,0,3,0
0,0,-660,0,3,0
0,0,-660,0,3,0
0,0,-660,0,3,0
0,0,-660,0,3,0
0,0,-660,0,3,0
0,0,-660,0,3,0
0,0,-60,0,3,0
0,0,0,0,3,0
0,0,185,0,3,0
0,0,660,0,3,0
0,0,660,0,3,0
0,0,660,0,3,0
0,0,660,0,3,0
0,0,660,0,3,0
0,0,660,0,3,0
0,0,660,0,3,0
0,0,660,0,3,0
0,0,660,0,3,0
0,0,660,0,3,0
0,0,660,0,3,0
0,0,660,0,3,0
0,0,660,0,3,0
0,0,660,0,3,0
0,0,660,0,3,0
0,0,660,0,3,0
0,0,660,0,3,0
0,0,660,0,3,0
0,0,660,0,3,0
0,0,660,0,3,0
0,0,660,0,3,0
0,0,660,0,3,0
0,0,660,0,3,0
0,0,660,0,3,0
0,0,660,0,3,0
0,0,310,0,3,0
0,0,0,0,3,0
0,0,0,0,3,0
0,0,-362,0,3,0
0,0,-563,0,3,0
0,0,-660,0,3,0
0,0,-660,0,3,0
0,0,-660,0,3,0
0,0,-660,0,3,0
0,0,-660,0,3,0
0,0,-660,0,3,0
0,0,-660,0,3,0
0,0,-660,0,3,0
0,0,-660,0,3,0
0,0,-660,0,3,0
0,0,-660,0,3,0
0,0,-660,0,3,0
0,0,-660,0,3,0
0,0,-660,0,3,0
0,0,-660,0,3,0
0,0,-660,0,3,0
0,0,-553,0,3,0
0,0,0,0,3,0
0,0,0,0,3,0
0,0,134,0,3,0
0,0,298,0,3,0
0,0,616,0,3,0
0,0,616,0,3,0
0,0,660,0,3,0
0,0,660,0,3,0
0,0,660,0,3,0
0,0,660,0,3,0
0,0,660,0,3,0
0,0,660,0,3,0
0,0,363,0,3,0
0,0,0,0,3,0
0,0,0,0,3,0
0,0,-25,0,3,0
0,0,-128,0,3,0
0,0,-336,0,3,0
0,0,-394,0,3,0
0,0,-473,0,3,0
0,0,-473,0,3,0
0,0,-445,-85,3,0
0,0,-272,-276,3,0
0,0,-112,-425,3,0
0,0,0,-660,3,0
0,0,0,-660,3,0
0,0,0,-660,3,0
0,0,0,-660,3,0
0,0,0,-660,3,0
0,0,0,-660,3,0
0,0,0,-660,3,0
0,0,0,-660,3,0
0,0,0,-660,3,0
0,0,0,-660,3,0
0,0,0,-660,3,0
0,0,0,-660,3,0
0,0,0,-660,3,0
0,0,0,-660,3,0
0,0,0,-660,3,0
0,0,0,-660,3,0
0,0,0,-660,3,0
0,0,0,-660,3,0
0,0,0,-660,3,0
0,0,0,-660,3,0
0,0,0,-660,3,0
0,0,0,-660,3,0
0,0,0,-660,3,0
0,0,0,-660,3,0
0,0,0,-660,3,0
0,0,0,-660,3,0
0,0,0,-660,3,0
0,0,0,-20,3,0
0,0,0,0,3,0
0,0,0,54,3,0
0,0,0,285,3,0
