event_bits,evt_cmd_burst_toggle,evt_cmd_high_freq_toggle,evt_cmd_reverse_trigger,evt_cmd_shoot_toggle,evt_cmd_vt03_trigger,evt_dial_neg,evt_dial_pos,evt_fn1_cur,evt_fn2_cur,evt_pause_cur,evt_s0_not_down,evt_trigger_cur,evt_vt03_online,fric1_rpm,fric2_rpm,fric_set,high_freq,key_v,rc_s0,rc_s1,seq,shoot_mode,tick_ms,trigger_cur,trigger_spd_set,vt03_toe
256,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,1,0,2,2,29430,0,588643,0,0.0,0
256,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-3,0.0,1,0,2,2,29431,0,588663,0,0.0,0
256,0,0,0,0,0,0,0,0,0,0,0,0,1,-3,0,0.0,1,0,2,2,29432,0,588683,0,0.0,0
256,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,1,0,2,2,29433,0,588703,0,0.0,0
256,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,1,0,2,2,29434,0,588723,0,0.0,0
256,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,1,0,2,2,29435,0,588743,0,0.0,0
256,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,1,0,2,2,29436,0,588763,0,0.0,0
256,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-3,0.0,1,0,2,2,29437,0,588783,0,0.0,0
256,0,0,0,0,0,0,0,0,0,0,0,0,1,-3,-3,0.0,1,0,2,2,29438,0,588803,0,0.0,0
256,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,1,0,2,2,29439,0,588823,0,0.0,0
256,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-5,0.0,1,0,2,2,29440,0,588843,0,0.0,0
256,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,1,0,2,2,29441,0,588863,0,0.0,0
256,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0.0,1,0,2,2,29442,0,588883,0,0.0,0
256,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-3,0.0,1,0,2,2,29443,0,588903,0,0.0,0
256,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,1,0,2,2,29444,0,588923,0,0.0,0
256,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,1,0,2,2,29445,0,588943,0,0.0,0
256,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,1,0,2,2,29446,0,588963,0,0.0,0
256,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,1,0,2,2,29447,0,588983,0,0.0,0
256,0,0,0,0,0,0,0,0,0,0,0,0,1,-3,0,0.0,1,0,2,2,29448,0,589003,0,0.0,0
256,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,1,0,2,2,29449,0,589023,0,0.0,0
256,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,1,0,2,2,29450,0,589043,0,0.0,0
256,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,1,0,2,2,29451,0,589063,0,0.0,0
256,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,1,0,2,2,29452,0,589083,0,0.0,0
256,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,1,0,2,2,29453,0,589103,0,0.0,0
256,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,1,0,2,2,29454,0,589123,0,0.0,0
256,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-3,0.0,1,0,2,2,29455,0,589143,0,0.0,0
256,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,1,0,2,2,29456,0,589163,0,0.0,0
256,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-3,0.0,1,0,2,2,29457,0,589183,0,0.0,0
256,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-3,0.0,1,0,2,2,29458,0,589203,0,0.0,0
256,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,1,0,2,2,29459,0,589223,0,0.0,0
256,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,1,0,2,2,29460,0,589243,0,0.0,0
256,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,1,0,2,2,29461,0,589263,0,0.0,0
256,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,1,0,2,2,29462,0,589283,0,0.0,0
256,0,0,0,0,0,0,0,0,0,0,0,0,1,-3,0,0.0,1,0,2,2,29463,0,589303,0,0.0,0
256,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,1,0,2,2,29464,0,589323,0,0.0,0
256,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-3,0.0,1,0,2,2,29465,0,589343,0,0.0,0
256,0,0,0,0,0,0,0,0,0,0,0,0,1,-3,0,0.0,1,0,2,2,29466,0,589363,0,0.0,0
256,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-5,0.0,1,0,2,2,29467,0,589383,0,0.0,0
256,0,0,0,0,0,0,0,0,0,0,0,0,1,-3,0,0.0,1,0,2,2,29468,0,589403,0,0.0,0
256,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,1,0,2,2,29469,0,589423,0,0.0,0
256,0,0,0,0,0,0,0,0,0,0,0,0,1,-3,0,0.0,1,0,2,2,29470,0,589443,0,0.0,0
256,0,0,0,0,0,0,0,0,0,0,0,0,1,-3,-3,0.0,1,0,2,2,29471,0,589463,0,0.0,0
256,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,1,0,2,2,29472,0,589483,0,0.0,0
256,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-3,0.0,1,0,2,2,29473,0,589503,0,0.0,0
256,0,0,0,0,0,0,0,0,0,0,0,0,1,-3,0,0.0,1,0,2,2,29474,0,589523,0,0.0,0
256,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,1,0,2,2,29475,0,589543,0,0.0,0
256,0,0,0,0,0,0,0,0,0,0,0,0,1,-3,0,0.0,1,0,2,2,29476,0,589563,0,0.0,0
256,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,1,0,2,2,29477,0,589583,0,0.0,0
256,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0.0,1,0,2,2,29478,0,589603,0,0.0,0
256,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,1,0,2,2,29479,0,589623,0,0.0,0
256,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0.0,1,0,2,2,29480,0,589643,0,0.0,0
256,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-5,0.0,1,0,2,2,29481,0,589663,0,0.0,0
256,0,0,0,0,0,0,0,0,0,0,0,0,1,-3,0,0.0,1,0,2,2,29482,0,589683,0,0.0,0
256,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,1,0,2,2,29483,0,589703,0,0.0,0
256,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,1,0,2,2,29484,0,589723,0,0.0,0
256,0,0,0,0,0,0,0,0,0,0,0,0,1,-3,0,0.0,1,0,2,2,29485,0,589743,0,0.0,0
256,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,1,0,2,2,29486,0,589763,0,0.0,0
256,0,0,0,0,0,0,0,0,0,0,0,0,1,-3,0,0.0,1,0,2,2,29487,0,589783,0,0.0,0
256,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,1,0,2,2,29488,0,589803,0,0.0,0
256,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-3,0.0,1,0,2,2,29489,0,589823,0,0.0,0
256,0,0,0,0,0,0,0,0,0,0,0,0,1,-3,0,0.0,1,0,2,2,29490,0,589843,0,0.0,0
256,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,1,0,2,2,29491,0,589863,0,0.0,0
256,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,1,0,2,2,29492,0,589883,0,0.0,0
256,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,1,0,2,2,29493,0,589903,0,0.0,0
256,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-3,0.0,1,0,2,2,29494,0,589923,0,0.0,0
256,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,1,0,2,2,29495,0,589943,0,0.0,0
256,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-3,0.0,1,0,2,2,29496,0,589963,0,0.0,0
256,0,0,0,0,0,0,0,0,0,0,0,0,1,-3,-3,0.0,1,0,2,2,29497,0,589983,0,0.0,0
256,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,1,0,2,2,29498,0,590003,0,0.0,0
256,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,1,0,2,2,29499,0,590023,0,0.0,0
256,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,1,0,2,2,29500,0,590043,0,0.0,0
256,0,0,0,0,0,0,0,0,0,0,0,0,1,-3,0,0.0,1,0,2,2,29501,0,590063,0,0.0,0
256,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,1,0,2,2,29502,0,590083,0,0.0,0
256,0,0,0,0,0,0,0,0,0,0,0,0,1,-3,0,0.0,1,0,2,2,29503,0,590103,0,0.0,0
256,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0.0,1,0,2,2,29504,0,590123,0,0.0,0
256,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-3,0.0,1,0,2,2,29505,0,590143,0,0.0,0
256,0,0,0,0,0,0,0,0,0,0,0,0,1,-3,0,0.0,1,0,2,2,29506,0,590163,0,0.0,0
256,0,0,0,0,0,0,0,0,0,0,0,0,1,-3,-3,0.0,1,0,2,2,29507,0,590183,0,0.0,0
256,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,1,0,2,2,29508,0,590203,0,0.0,0
256,0,0,0,0,0,0,0,0,0,0,0,0,1,-5,-3,0.0,1,0,2,2,29509,0,590223,0,0.0,0
256,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,1,0,2,2,29510,0,590243,0,0.0,0
256,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-3,0.0,1,0,2,2,29511,0,590263,0,0.0,0
256,0,0,0,0,0,0,0,0,0,0,0,0,1,-5,0,0.0,1,0,2,2,29512,0,590283,0,0.0,0
256,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,1,0,2,2,29513,0,590303,0,0.0,0
256,0,0,0,0,0,0,0,0,0,0,0,0,1,-3,0,0.0,1,0,2,2,29514,0,590323,0,0.0,0
256,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,1,0,2,2,29515,0,590343,0,0.0,0
256,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,1,0,2,2,29516,0,590363,0,0.0,0
256,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,1,0,2,2,29517,0,590383,0,0.0,0
256,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0.0,1,0,2,2,29518,0,590403,0,0.0,0
256,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,1,0,2,2,29519,0,590423,0,0.0,0
256,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,1,0,2,2,29520,0,590443,0,0.0,0
256,0,0,0,0,0,0,0,0,0,0,0,0,1,-3,0,0.0,1,0,2,2,29521,0,590463,0,0.0,0
256,0,0,0,0,0,0,0,0,0,0,0,0,1,-3,-3,0.0,1,0,2,2,29522,0,590483,0,0.0,0
256,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,1,0,2,2,29523,0,590503,0,0.0,0
256,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,1,0,2,2,29524,0,590523,0,0.0,0
256,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,1,0,2,2,29525,0,590543,0,0.0,0
256,0,0,0,0,0,0,0,0,0,0,0,0,1,-5,0,0.0,1,0,2,2,29526,0,590563,0,0.0,0
256,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,1,0,2,2,29527,0,590583,0,0.0,0
256,0,0,0,0,0,0,0,0,0,0,0,0,1,-3,-3,0.0,1,0,2,2,29528,0,590603,0,0.0,0
256,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0.0,1,0,2,2,29529,0,590623,0,0.0,0
256,0,0,0,0,0,0,0,0,0,0,0,0,1,-3,0,0.0,1,0,2,2,29530,0,590643,0,0.0,0
256,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,1,0,2,2,29531,0,590663,0,0.0,0
256,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,1,0,2,2,29532,0,590683,0,0.0,0
