event_bits,evt_cmd_shoot_toggle,evt_fn1_cur,evt_s0_not_down,evt_vt03_online,fric_set,high_freq,rc_s0,rc_s1,seq,shoot_mode,tick_ms,trigger_cur,trigger_spd_set,vt03_toe
1048832,0,0,1,1,447100.0,0,3,2,50871,1,1017463,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,50872,1,1017483,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,50873,1,1017503,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,50874,1,1017523,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,50875,1,1017543,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,50876,1,1017563,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,50877,1,1017583,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,50878,1,1017603,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,50879,1,1017623,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,50880,1,1017643,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,50881,1,1017663,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,50882,1,1017683,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,50883,1,1017703,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,50884,1,1017723,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,50885,1,1017743,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,50886,1,1017763,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,50887,1,1017783,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,50888,1,1017803,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,50889,1,1017823,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,50890,1,1017843,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,50891,1,1017863,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,50892,1,1017883,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,50893,1,1017903,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,50894,1,1017923,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,50895,1,1017943,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,50896,1,1017963,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,50897,1,1017983,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,50898,1,1018003,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,50899,1,1018023,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,50900,1,1018043,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,50901,1,1018063,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,50902,1,1018083,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,50903,1,1018103,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,50904,1,1018123,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,50905,1,1018143,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,50906,1,1018163,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,50907,1,1018183,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,50908,1,1018203,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,50909,1,1018223,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,50910,1,1018243,0,0.0,0
