event_bits,evt_cmd_burst_toggle,evt_fn2_cur,evt_s0_not_down,evt_vt03_online,fric_set,high_freq,rc_s0,rc_s1,seq,shoot_mode,tick_ms,trigger_cur,trigger_spd_set,vt03_toe
1048832,0,0,1,1,0.0,1,3,2,59226,0,1184563,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59227,0,1184583,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59228,0,1184603,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59229,0,1184623,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59230,0,1184643,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59231,0,1184663,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59232,0,1184683,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59233,0,1184703,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59234,0,1184723,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59235,0,1184743,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59236,0,1184763,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59237,0,1184783,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59238,0,1184803,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59239,0,1184823,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59240,0,1184843,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59241,0,1184863,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59242,0,1184883,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59243,0,1184903,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59244,0,1184923,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59245,0,1184943,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59246,0,1184963,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59247,0,1184983,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59248,0,1185003,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59249,0,1185023,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59250,0,1185043,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59251,0,1185063,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59252,0,1185083,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59253,0,1185103,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59254,0,1185123,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59255,0,1185143,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59256,0,1185163,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59257,0,1185183,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59258,0,1185203,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59259,0,1185223,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59260,0,1185243,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59261,0,1185263,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59262,0,1185283,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59263,0,1185303,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59264,0,1185323,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59265,0,1185343,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59266,0,1185363,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59267,0,1185383,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59268,0,1185403,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59269,0,1185423,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59270,0,1185443,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59271,0,1185463,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59272,0,1185483,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59273,0,1185503,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59274,0,1185523,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59275,0,1185543,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59276,0,1185563,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59277,0,1185583,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59278,0,1185603,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59279,0,1185623,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59280,0,1185643,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59281,0,1185663,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59282,0,1185683,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59283,0,1185703,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59284,0,1185723,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59285,0,1185743,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59286,0,1185763,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59287,0,1185783,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59288,0,1185803,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59289,0,1185823,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59290,0,1185843,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59291,0,1185863,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59292,0,1185883,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59293,0,1185903,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59294,0,1185923,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59295,0,1185943,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59296,0,1185963,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59297,0,1185983,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59298,0,1186003,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59299,0,1186023,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59300,0,1186043,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59301,0,1186063,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59302,0,1186083,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59303,0,1186103,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59304,0,1186123,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59305,0,1186143,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59306,0,1186163,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59307,0,1186183,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59308,0,1186203,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59309,0,1186223,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59310,0,1186243,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59311,0,1186263,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59312,0,1186283,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59313,0,1186303,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59314,0,1186323,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59315,0,1186343,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59316,0,1186363,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59317,0,1186383,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59318,0,1186403,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59319,0,1186423,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59320,0,1186443,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59321,0,1186463,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59322,0,1186483,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59323,0,1186503,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59324,0,1186523,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59325,0,1186543,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59326,0,1186563,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59327,0,1186583,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59328,0,1186603,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59329,0,1186623,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59330,0,1186643,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59331,0,1186663,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59332,0,1186683,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59333,0,1186703,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59334,0,1186723,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59335,0,1186743,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59336,0,1186763,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59337,0,1186783,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59338,0,1186803,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59339,0,1186823,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59340,0,1186843,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59341,0,1186863,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59342,0,1186883,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59343,0,1186903,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59344,0,1186923,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59345,0,1186943,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59346,0,1186963,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59347,0,1186983,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59348,0,1187003,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59349,0,1187023,0,0.0,0
1049856,0,1,1,1,0.0,1,3,2,59350,0,1187043,0,0.0,0
1049856,0,1,1,1,0.0,1,3,2,59351,0,1187063,0,0.0,0
1049856,0,1,1,1,0.0,1,3,2,59352,0,1187083,0,0.0,0
1049856,0,1,1,1,0.0,1,3,2,59353,0,1187103,0,0.0,0
1049856,0,1,1,1,0.0,1,3,2,59354,0,1187123,0,0.0,0
1049856,0,1,1,1,0.0,1,3,2,59355,0,1187143,0,0.0,0
1049856,0,1,1,1,0.0,1,3,2,59356,0,1187163,0,0.0,0
1049856,0,1,1,1,0.0,1,3,2,59357,0,1187183,0,0.0,0
1049856,0,1,1,1,0.0,1,3,2,59358,0,1187203,0,0.0,0
1049856,0,1,1,1,0.0,1,3,2,59359,0,1187223,0,0.0,0
1049856,0,1,1,1,0.0,1,3,2,59360,0,1187243,0,0.0,0
1049856,0,1,1,1,0.0,1,3,2,59361,0,1187263,0,0.0,0
1049856,0,1,1,1,0.0,1,3,2,59362,0,1187283,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59363,0,1187303,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59364,0,1187323,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59365,0,1187343,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59366,0,1187363,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59367,0,1187383,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59368,0,1187403,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59369,0,1187423,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59370,0,1187443,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59371,0,1187463,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59372,0,1187483,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59373,0,1187503,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59374,0,1187523,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59375,0,1187543,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59376,0,1187563,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59377,0,1187583,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59378,0,1187603,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59379,0,1187623,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59380,0,1187643,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59381,0,1187663,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59382,0,1187683,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59383,0,1187703,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59384,0,1187723,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59385,0,1187743,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59386,0,1187763,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59387,0,1187783,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59388,0,1187803,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59389,0,1187823,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59390,0,1187843,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59391,0,1187863,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59392,0,1187883,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59393,0,1187903,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59394,0,1187923,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59395,0,1187943,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59396,0,1187963,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59397,0,1187983,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59398,0,1188003,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59399,0,1188023,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59400,0,1188043,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59401,0,1188063,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59402,0,1188083,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59403,0,1188103,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59404,0,1188123,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59405,0,1188143,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59406,0,1188163,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59407,0,1188183,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59408,0,1188203,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59409,0,1188223,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59410,0,1188243,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59411,0,1188263,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59412,0,1188283,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59413,0,1188303,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59414,0,1188323,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59415,0,1188343,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59416,0,1188363,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59417,0,1188383,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59418,0,1188403,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59419,0,1188423,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59420,0,1188443,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59421,0,1188463,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59422,0,1188483,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59423,0,1188503,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59424,0,1188523,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59425,0,1188543,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59426,0,1188563,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59427,0,1188583,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59428,0,1188603,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59429,0,1188623,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59430,0,1188643,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59431,0,1188663,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59432,0,1188683,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59433,0,1188703,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59434,0,1188723,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59435,0,1188743,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59436,0,1188763,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59437,0,1188783,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59438,0,1188803,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59439,0,1188823,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59440,0,1188843,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59441,0,1188863,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59442,0,1188883,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59443,0,1188903,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59444,0,1188923,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59445,0,1188943,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59446,0,1188963,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59447,0,1188983,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59448,0,1189003,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59449,0,1189023,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59450,0,1189043,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59451,0,1189063,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59452,0,1189083,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59453,0,1189103,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59454,0,1189123,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59455,0,1189143,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59456,0,1189163,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59457,0,1189183,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59458,0,1189203,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59459,0,1189223,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59460,0,1189243,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59461,0,1189263,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59462,0,1189283,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59463,0,1189303,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59464,0,1189323,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59465,0,1189343,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59466,0,1189363,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59467,0,1189383,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59468,0,1189403,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59469,0,1189423,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59470,0,1189443,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59471,0,1189463,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59472,0,1189483,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59473,0,1189503,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59474,0,1189523,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59475,0,1189543,0,0.0,0
