event_bits,evt_cmd_reverse_trigger,evt_fn2_cur,evt_s0_not_down,evt_vt03_online,fric_set,high_freq,rc_s0,rc_s1,seq,shoot_mode,tick_ms,trigger_cur,trigger_spd_set,vt03_toe
1048832,0,0,1,1,0.0,1,3,2,63093,0,1261903,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63094,0,1261923,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63095,0,1261943,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63096,0,1261963,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63097,0,1261983,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63098,0,1262003,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63099,0,1262023,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63100,0,1262043,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63101,0,1262063,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63102,0,1262083,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63103,0,1262103,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63104,0,1262123,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63105,0,1262143,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63106,0,1262163,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63107,0,1262183,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63108,0,1262203,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63109,0,1262223,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63110,0,1262243,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63111,0,1262263,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63112,0,1262283,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63113,0,1262303,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63114,0,1262323,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63115,0,1262343,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63116,0,1262363,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63117,0,1262383,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63118,0,1262403,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63119,0,1262423,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63120,0,1262443,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63121,0,1262463,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63122,0,1262483,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63123,0,1262503,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63124,0,1262523,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63125,0,1262543,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63126,0,1262563,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63127,0,1262583,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63128,0,1262603,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63129,0,1262623,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63130,0,1262643,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63131,0,1262663,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63132,0,1262683,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63133,0,1262703,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63134,0,1262723,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63135,0,1262743,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63136,0,1262763,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63137,0,1262783,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63138,0,1262803,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63139,0,1262823,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63140,0,1262843,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63141,0,1262863,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63142,0,1262883,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63143,0,1262903,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63144,0,1262923,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63145,0,1262943,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63146,0,1262963,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63147,0,1262983,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63148,0,1263003,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63149,0,1263023,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63150,0,1263043,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63151,0,1263063,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63152,0,1263083,0,0.0,0
