event_bits,evt_dial_neg,evt_dial_pos,evt_s0_not_down,evt_vt03_online,fric1_rpm,fric2_rpm,fric_set,high_freq,rc_ch3,rc_s0,rc_s1,seq,shoot_mode,tick_ms,trigger_cur,trigger_spd_set,vt03_toe
1048832,0,0,1,1,0,0,0.0,1,0,3,2,70792,0,1415883,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,0,3,2,70793,0,1415903,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,0,3,2,70794,0,1415923,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,0,3,2,70795,0,1415943,0,0.0,0
1048832,0,0,1,1,0,-5,0.0,1,0,3,2,70796,0,1415963,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,0,3,2,70797,0,1415983,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,0,3,2,70798,0,1416003,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,0,3,2,70799,0,1416023,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,0,3,2,70800,0,1416043,0,0.0,0
1048832,0,0,1,1,0,-3,0.0,1,0,3,2,70801,0,1416063,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,0,3,2,70802,0,1416083,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,0,3,2,70803,0,1416103,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,0,3,2,70804,0,1416123,0,0.0,0
1048832,0,0,1,1,0,-3,0.0,1,0,3,2,70805,0,1416143,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,0,3,2,70806,0,1416163,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,0,3,2,70807,0,1416183,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,0,3,2,70808,0,1416203,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,0,3,2,70809,0,1416223,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,0,3,2,70810,0,1416243,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,0,3,2,70811,0,1416263,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,0,3,2,70812,0,1416283,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,0,3,2,70813,0,1416303,0,0.0,0
1048832,0,0,1,1,0,-3,0.0,1,0,3,2,70814,0,1416323,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,0,3,2,70815,0,1416343,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,0,3,2,70816,0,1416363,0,0.0,0
1048832,0,0,1,1,0,-3,0.0,1,0,3,2,70817,0,1416383,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,0,3,2,70818,0,1416403,0,0.0,0
1048832,0,0,1,1,0,-3,0.0,1,0,3,2,70819,0,1416423,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,0,3,2,70820,0,1416443,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,0,3,2,70821,0,1416463,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,0,3,2,70822,0,1416483,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,0,3,2,70823,0,1416503,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,0,3,2,70824,0,1416523,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,0,3,2,70825,0,1416543,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,0,3,2,70826,0,1416563,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,0,3,2,70827,0,1416583,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,0,3,2,70828,0,1416603,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,0,3,2,70829,0,1416623,0,0.0,0
1048832,0,0,1,1,0,-3,0.0,1,0,3,2,70830,0,1416643,0,0.0,0
1048832,0,0,1,1,0,-7,0.0,1,0,3,2,70831,0,1416663,0,0.0,0
1048832,0,0,1,1,0,-3,0.0,1,0,3,2,70832,0,1416683,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,0,3,2,70833,0,1416703,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,0,3,2,70834,0,1416723,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,0,3,2,70835,0,1416743,0,0.0,0
1048832,0,0,1,1,0,-3,0.0,1,0,3,2,70836,0,1416763,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,0,3,2,70837,0,1416783,0,0.0,0
1048832,0,0,1,1,0,-5,0.0,1,0,3,2,70838,0,1416803,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,0,3,2,70839,0,1416823,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,0,3,2,70840,0,1416843,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,0,3,2,70841,0,1416863,0,0.0,0
1048832,0,0,1,1,0,-3,0.0,1,0,3,2,70842,0,1416883,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,0,3,2,70843,0,1416903,0,0.0,0
1048832,0,0,1,1,0,-3,0.0,1,0,3,2,70844,0,1416923,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,0,3,2,70845,0,1416943,0,0.0,0
1048832,0,0,1,1,0,-3,0.0,1,0,3,2,70846,0,1416963,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,0,3,2,70847,0,1416983,0,0.0,0
1048832,0,0,1,1,0,-3,0.0,1,0,3,2,70848,0,1417003,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,0,3,2,70849,0,1417023,0,0.0,0
1048832,0,0,1,1,0,-3,0.0,1,0,3,2,70850,0,1417043,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,0,3,2,70851,0,1417063,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,0,3,2,70852,0,1417083,0,0.0,0
1048832,0,0,1,1,0,-3,0.0,1,0,3,2,70853,0,1417103,0,0.0,0
1048832,0,0,1,1,0,-3,0.0,1,0,3,2,70854,0,1417123,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,0,3,2,70855,0,1417143,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,0,3,2,70856,0,1417163,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,0,3,2,70857,0,1417183,0,0.0,0
1048832,0,0,1,1,0,-3,0.0,1,0,3,2,70858,0,1417203,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,0,3,2,70859,0,1417223,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,0,3,2,70860,0,1417243,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,0,3,2,70861,0,1417263,0,0.0,0
1048832,0,0,1,1,0,-3,0.0,1,0,3,2,70862,0,1417283,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,0,3,2,70863,0,1417303,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,0,3,2,70864,0,1417323,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,0,3,2,70865,0,1417343,0,0.0,0
1048832,0,0,1,1,0,-3,0.0,1,0,3,2,70866,0,1417363,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,0,3,2,70867,0,1417383,0,0.0,0
