event_bits,evt_cmd_shoot_toggle,evt_cmd_vt03_trigger,evt_fn1_cur,evt_s0_not_down,evt_trigger_cur,evt_vt03_online,fric1_rpm,fric2_rpm,fric_set,high_freq,rc_s0,rc_s1,seq,shoot_mode,tick_ms,trigger_cur,trigger_spd_set,vt03_toe
1048832,0,0,0,1,0,1,0,0,0.0,1,3,2,84174,0,1683523,0,0.0,0
1048832,0,0,0,1,0,1,0,0,0.0,1,3,2,84175,0,1683543,0,0.0,0
1048832,0,0,0,1,0,1,-5,0,0.0,1,3,2,84176,0,1683563,0,0.0,0
1048832,0,0,0,1,0,1,0,0,0.0,1,3,2,84177,0,1683583,0,0.0,0
1048832,0,0,0,1,0,1,0,0,0.0,1,3,2,84178,0,1683603,0,0.0,0
1048832,0,0,0,1,0,1,0,0,0.0,1,3,2,84179,0,1683623,0,0.0,0
1048832,0,0,0,1,0,1,0,0,0.0,1,3,2,84180,0,1683643,0,0.0,0
1048832,0,0,0,1,0,1,0,-3,0.0,1,3,2,84181,0,1683663,0,0.0,0
1048832,0,0,0,1,0,1,0,0,0.0,1,3,2,84182,0,1683683,0,0.0,0
1048832,0,0,0,1,0,1,0,-3,0.0,1,3,2,84183,0,1683703,0,0.0,0
1048832,0,0,0,1,0,1,0,0,0.0,1,3,2,84184,0,1683723,0,0.0,0
1048832,0,0,0,1,0,1,-3,-3,0.0,1,3,2,84185,0,1683743,0,0.0,0
1048832,0,0,0,1,0,1,0,0,0.0,1,3,2,84186,0,1683763,0,0.0,0
1048832,0,0,0,1,0,1,0,-3,0.0,1,3,2,84187,0,1683783,0,0.0,0
1048832,0,0,0,1,0,1,0,-3,0.0,1,3,2,84188,0,1683803,0,0.0,0
1048832,0,0,0,1,0,1,0,-3,0.0,1,3,2,84189,0,1683823,0,0.0,0
1048832,0,0,0,1,0,1,-3,0,0.0,1,3,2,84190,0,1683843,0,0.0,0
1048832,0,0,0,1,0,1,0,0,0.0,1,3,2,84191,0,1683863,0,0.0,0
1048832,0,0,0,1,0,1,0,0,0.0,1,3,2,84192,0,1683883,0,0.0,0
1048832,0,0,0,1,0,1,0,0,0.0,1,3,2,84193,0,1683903,0,0.0,0
1048832,0,0,0,1,0,1,0,0,0.0,1,3,2,84194,0,1683923,0,0.0,0
1048832,0,0,0,1,0,1,0,0,0.0,1,3,2,84195,0,1683943,0,0.0,0
1048832,0,0,0,1,0,1,-3,-3,0.0,1,3,2,84196,0,1683963,0,0.0,0
1048832,0,0,0,1,0,1,2,0,0.0,1,3,2,84197,0,1683983,0,0.0,0
1048832,0,0,0,1,0,1,0,0,0.0,1,3,2,84198,0,1684003,0,0.0,0
1048832,0,0,0,1,0,1,-3,0,0.0,1,3,2,84199,0,1684023,0,0.0,0
1048832,0,0,0,1,0,1,0,-3,0.0,1,3,2,84200,0,1684043,0,0.0,0
1048832,0,0,0,1,0,1,0,0,0.0,1,3,2,84201,0,1684063,0,0.0,0
1048832,0,0,0,1,0,1,0,0,0.0,1,3,2,84202,0,1684083,0,0.0,0
1048832,0,0,0,1,0,1,-3,0,0.0,1,3,2,84203,0,1684103,0,0.0,0
1048832,0,0,0,1,0,1,0,0,0.0,1,3,2,84204,0,1684123,0,0.0,0
1048832,0,0,0,1,0,1,0,0,0.0,1,3,2,84205,0,1684143,0,0.0,0
1048832,0,0,0,1,0,1,-7,0,0.0,1,3,2,84206,0,1684163,0,0.0,0
