event_bits,evt_cmd_shoot_toggle,evt_cmd_vt03_trigger,evt_fn1_cur,evt_s0_not_down,evt_trigger_cur,evt_vt03_online,fric1_rpm,fric2_rpm,fric_set,high_freq,rc_s0,rc_s1,seq,shoot_mode,tick_ms,trigger_cur,trigger_spd_set,vt03_toe
256,0,0,0,0,0,1,0,-3,0.0,1,2,2,92348,0,1847003,0,0.0,0
256,0,0,0,0,0,1,0,0,0.0,1,2,2,92349,0,1847023,0,0.0,0
256,0,0,0,0,0,1,0,0,0.0,1,2,2,92350,0,1847043,0,0.0,0
256,0,0,0,0,0,1,0,0,0.0,1,2,2,92351,0,1847063,0,0.0,0
256,0,0,0,0,0,1,0,0,0.0,1,2,2,92352,0,1847083,0,0.0,0
256,0,0,0,0,0,1,0,0,0.0,1,2,2,92353,0,1847103,0,0.0,0
256,0,0,0,0,0,1,0,0,0.0,1,2,2,92354,0,1847123,0,0.0,0
256,0,0,0,0,0,1,0,-3,0.0,1,2,2,92355,0,1847143,0,0.0,0
256,0,0,0,0,0,1,0,0,0.0,1,2,2,92356,0,1847163,0,0.0,0
256,0,0,0,0,0,1,0,-3,0.0,1,2,2,92357,0,1847183,0,0.0,0
256,0,0,0,0,0,1,0,0,0.0,1,2,2,92358,0,1847203,0,0.0,0
256,0,0,0,0,0,1,0,0,0.0,1,2,2,92359,0,1847223,0,0.0,0
256,0,0,0,0,0,1,0,0,0.0,1,2,2,92360,0,1847243,0,0.0,0
256,0,0,0,0,0,1,0,0,0.0,1,2,2,92361,0,1847263,0,0.0,0
256,0,0,0,0,0,1,0,0,0.0,1,2,2,92362,0,1847283,0,0.0,0
256,0,0,0,0,0,1,0,0,0.0,1,2,2,92363,0,1847303,0,0.0,0
256,0,0,0,0,0,1,0,2,0.0,1,2,2,92364,0,1847323,0,0.0,0
256,0,0,0,0,0,1,0,-3,0.0,1,2,2,92365,0,1847343,0,0.0,0
256,0,0,0,0,0,1,0,0,0.0,1,2,2,92366,0,1847363,0,0.0,0
256,0,0,0,0,0,1,0,-3,0.0,1,2,2,92367,0,1847383,0,0.0,0
256,0,0,0,0,0,1,0,0,0.0,1,2,2,92368,0,1847403,0,0.0,0
256,0,0,0,0,0,1,0,-3,0.0,1,2,2,92369,0,1847423,0,0.0,0
256,0,0,0,0,0,1,0,0,0.0,1,2,2,92370,0,1847443,0,0.0,0
256,0,0,0,0,0,1,0,-3,0.0,1,2,2,92371,0,1847463,0,0.0,0
256,0,0,0,0,0,1,0,0,0.0,1,2,2,92372,0,1847483,0,0.0,0
256,0,0,0,0,0,1,0,0,0.0,1,2,2,92373,0,1847503,0,0.0,0
256,0,0,0,0,0,1,0,0,0.0,1,2,2,92374,0,1847523,0,0.0,0
768,0,0,1,0,0,1,0,0,0.0,1,2,2,92375,0,1847543,0,0.0,0
768,0,0,1,0,0,1,0,0,0.0,1,2,2,92376,0,1847563,0,0.0,0
768,0,0,1,0,0,1,0,0,0.0,1,2,2,92377,0,1847583,0,0.0,0
768,0,0,1,0,0,1,0,0,0.0,1,2,2,92378,0,1847603,0,0.0,0
768,0,0,1,0,0,1,0,0,0.0,1,2,2,92379,0,1847623,0,0.0,0
768,0,0,1,0,0,1,0,0,0.0,1,2,2,92380,0,1847643,0,0.0,0
768,0,0,1,0,0,1,0,0,0.0,1,2,2,92381,0,1847663,0,0.0,0
768,0,0,1,0,0,1,0,-3,0.0,1,2,2,92382,0,1847683,0,0.0,0
256,0,0,0,0,0,1,0,0,0.0,1,2,2,92383,0,1847703,0,0.0,0
256,0,0,0,0,0,1,0,0,0.0,1,2,2,92384,0,1847723,0,0.0,0
256,0,0,0,0,0,1,0,0,0.0,1,2,2,92385,0,1847743,0,0.0,0
256,0,0,0,0,0,1,0,-5,0.0,1,2,2,92386,0,1847763,0,0.0,0
256,0,0,0,0,0,1,0,2,0.0,1,2,2,92387,0,1847783,0,0.0,0
256,0,0,0,0,0,1,0,0,0.0,1,2,2,92388,0,1847803,0,0.0,0
256,0,0,0,0,0,1,0,0,0.0,1,2,2,92389,0,1847823,0,0.0,0
256,0,0,0,0,0,1,0,-3,0.0,1,2,2,92390,0,1847843,0,0.0,0
256,0,0,0,0,0,1,0,0,0.0,1,2,2,92391,0,1847863,0,0.0,0
