evt_cmd_vt03_trigger,evt_s0_not_down,evt_trigger_cur,evt_vt03_online,fric1_rpm,fric2_rpm,fric_set,rc_s0,rc_s1,seq,tick_ms,trigger_cur,vt03_toe
0,1,0,1,9481,-9710,159900.0,3,2,142897,2857983,0,0
0,1,0,1,9471,-9673,159900.0,3,2,142898,2858003,0,0
0,1,0,1,9473,-9700,159900.0,3,2,142899,2858023,0,0
0,1,0,1,9490,-9664,159900.0,3,2,142900,2858043,0,0
0,1,0,1,9508,-9671,159900.0,3,2,142901,2858063,0,0
0,1,0,1,9502,-9708,159900.0,3,2,142902,2858083,0,0
0,1,0,1,9500,-9671,159900.0,3,2,142903,2858103,0,0
0,1,0,1,9481,-9685,159900.0,3,2,142904,2858123,0,0
0,1,0,1,9475,-9691,159900.0,3,2,142905,2858143,0,0
0,1,0,1,9471,-9677,159900.0,3,2,142906,2858163,0,0
0,1,0,1,9483,-9702,159900.0,3,2,142907,2858183,0,0
0,1,0,1,9498,-9650,159900.0,3,2,142908,2858203,0,0
0,1,0,1,9490,-9694,159900.0,3,2,142909,2858223,0,0
0,1,0,1,9485,-9685,159900.0,3,2,142910,2858243,0,0
0,1,0,1,9483,-9683,159900.0,3,2,142911,2858263,0,0
0,1,0,1,9477,-9698,159900.0,3,2,142912,2858283,0,0
0,1,0,1,9475,-9660,159900.0,3,2,142913,2858303,0,0
0,1,0,1,9483,-9710,159900.0,3,2,142914,2858323,0,0
0,1,0,1,9492,-9677,159900.0,3,2,142915,2858343,0,0
0,1,0,1,9502,-9679,159900.0,3,2,142916,2858363,0,0
0,1,0,1,9506,-9685,159900.0,3,2,142917,2858383,0,0
0,1,0,1,9487,-9660,159900.0,3,2,142918,2858403,0,0
0,1,0,1,9483,-9710,159900.0,3,2,142919,2858423,0,0
0,1,0,1,9469,-9683,159900.0,3,2,142920,2858443,0,0
0,1,0,1,9498,-9662,159900.0,3,2,142921,2858463,0,0
0,1,0,1,9519,-9714,159900.0,3,2,142922,2858483,0,0
0,1,0,1,9504,-9675,159900.0,3,2,142923,2858503,0,0
0,1,0,1,9483,-9696,159900.0,3,2,142924,2858523,0,0
0,1,0,1,9458,-9666,159900.0,3,2,142925,2858543,0,0
0,1,0,1,9456,-9666,159900.0,3,2,142926,2858563,0,0
0,1,0,1,9477,-9710,159900.0,3,2,142927,2858583,0,0
0,1,0,1,9504,-9666,159900.0,3,2,142928,2858603,0,0
0,1,0,1,9515,-9702,159900.0,3,2,142929,2858623,0,0
0,1,0,1,9502,-9673,159900.0,3,2,142930,2858643,0,0
0,1,0,1,9477,-9689,159900.0,3,2,142931,2858663,0,0
0,1,0,1,9458,-9704,159900.0,3,2,142932,2858683,0,0
0,1,0,1,9469,-9656,159900.0,3,2,142933,2858703,0,0
0,1,0,1,9483,-9689,159900.0,3,2,142934,2858723,0,0
0,1,0,1,9504,-9687,159900.0,3,2,142935,2858743,0,0
0,1,0,1,9515,-9677,159900.0,3,2,142936,2858763,0,0
