evt_cmd_vt03_trigger,evt_s0_not_down,evt_trigger_cur,evt_vt03_online,fric1_rpm,fric2_rpm,fric_set,rc_s0,rc_s1,seq,tick_ms,trigger_cur,trigger_ecd_fdb,trigger_ecd_set,trigger_spd_set,vt03_toe
0,1,0,1,9462,-9635,93400.0,3,2,146442,2928883,0,27960368,27960356,0.0,0
0,1,0,1,9479,-9687,93400.0,3,2,146443,2928903,0,27960368,27960356,0.0,0
0,1,0,1,9498,-9656,93400.0,3,2,146444,2928923,0,27960368,27960356,0.0,0
0,1,0,1,9506,-9685,93400.0,3,2,146445,2928943,0,27960368,27960356,0.0,0
0,1,0,1,9492,-9656,93400.0,3,2,146446,2928963,0,27960368,27960356,0.0,0
0,1,0,1,9483,-9664,93400.0,3,2,146447,2928983,0,27960368,27960356,0.0,0
0,1,0,1,9469,-9689,93400.0,3,2,146448,2929003,0,27960368,27960356,0.0,0
0,1,0,1,9462,-9668,93400.0,3,2,146449,2929023,0,27960368,27960356,0.0,0
0,1,0,1,9475,-9691,93400.0,3,2,146450,2929043,0,27960368,27960356,0.0,0
0,1,0,1,9477,-9639,93400.0,3,2,146451,2929063,0,27960368,27960356,0.0,0
0,1,0,1,9490,-9685,93400.0,3,2,146452,2929083,0,27960368,27960356,0.0,0
0,1,0,1,9483,-9668,93400.0,3,2,146453,2929103,0,27960368,27960356,0.0,0
0,1,0,1,9481,-9687,93400.0,3,2,146454,2929123,0,27960368,27960356,0.0,0
0,1,0,1,9487,-9671,93400.0,3,2,146455,2929143,0,27960368,27960356,0.0,0
0,1,0,1,9475,-9647,93400.0,3,2,146456,2929163,0,27960368,27960356,0.0,0
0,1,0,1,9471,-9696,93400.0,3,2,146457,2929183,0,27960368,27960356,0.0,0
0,1,0,1,9454,-9658,93400.0,3,2,146458,2929203,0,27960368,27960356,0.0,0
0,1,0,1,9469,-9681,93400.0,3,2,146459,2929223,0,27960368,27960356,0.0,0
0,1,0,1,9487,-9668,93400.0,3,2,146460,2929243,0,27960368,27960356,0.0,0
0,1,0,1,9506,-9671,93400.0,3,2,146461,2929263,0,27960368,27960356,0.0,0
0,1,0,1,9500,-9691,93400.0,3,2,146462,2929283,0,27960368,27960356,0.0,0
0,1,0,1,9460,-9647,93400.0,3,2,146463,2929303,0,27960368,27960356,0.0,0
0,1,0,1,9448,-9689,93400.0,3,2,146464,2929323,0,27960368,27960356,0.0,0
0,1,0,1,9460,-9647,93400.0,3,2,146465,2929343,0,27960368,27960356,0.0,0
0,1,0,1,9473,-9687,93400.0,3,2,146466,2929363,0,27960368,27960356,0.0,0
0,1,0,1,9490,-9658,93400.0,3,2,146467,2929383,0,27960368,27960356,0.0,0
0,1,0,1,9504,-9662,93400.0,3,2,146468,2929403,0,27960368,27960356,0.0,0
0,1,0,1,9494,-9681,93400.0,3,2,146469,2929423,0,27960368,27960356,0.0,0
0,1,0,1,9485,-9668,93400.0,3,2,146470,2929443,0,27960368,27960356,0.0,0
0,1,0,1,9471,-9704,93400.0,3,2,146471,2929463,0,27960368,27960356,0.0,0
0,1,0,1,9464,-9650,93400.0,3,2,146472,2929483,0,27960368,27960356,0.0,0
0,1,0,1,9464,-9673,93400.0,3,2,146473,2929503,0,27960368,27960356,0.0,0
0,1,0,1,9469,-9687,93400.0,3,2,146474,2929523,0,27960368,27960356,0.0,0
0,1,0,1,9471,-9666,93400.0,3,2,146475,2929543,0,27960368,27960356,0.0,0
0,1,0,1,9483,-9691,93400.0,3,2,146476,2929563,0,27960368,27960356,0.0,0
0,1,0,1,9487,-9643,93400.0,3,2,146477,2929583,0,27960368,27960356,0.0,0
0,1,0,1,9492,-9698,93400.0,3,2,146478,2929603,0,27960368,27960356,0.0,0
0,1,0,1,9481,-9660,93400.0,3,2,146479,2929623,0,27960368,27960356,0.0,0
0,1,0,1,9471,-9683,93400.0,3,2,146480,2929643,0,27960368,27960356,0.0,0
0,1,0,1,9448,-9658,93400.0,3,2,146481,2929663,0,27960368,27960356,0.0,0
0,1,0,1,9460,-9664,93400.0,3,2,146482,2929683,0,27960368,27960356,0.0,0
0,1,0,1,9481,-9702,93400.0,3,2,146483,2929703,0,27960368,27960356,0.0,0
0,1,0,1,9500,-9662,93400.0,3,2,146484,2929723,0,27960368,27960356,0.0,0
0,1,0,1,9506,-9696,93400.0,3,2,146485,2929743,0,27960368,27960356,0.0,0
0,1,0,1,9490,-9654,93400.0,3,2,146486,2929763,0,27960368,27960356,0.0,0
0,1,0,1,9469,-9679,93400.0,3,2,146487,2929783,0,27960368,27960356,0.0,0
0,1,0,1,9454,-9673,93400.0,3,2,146488,2929803,0,27960368,27960356,0.0,0
0,1,0,1,9462,-9641,93400.0,3,2,146489,2929823,0,27960368,27960356,0.0,0
0,1,0,1,9471,-9691,93400.0,3,2,146490,2929843,0,27960368,27960356,0.0,0
0,1,0,1,9490,-9660,93400.0,3,2,146491,2929863,0,27960368,27960356,0.0,0
0,1,0,1,9498,-9694,93400.0,3,2,146492,2929883,0,27960368,27960356,0.0,0
0,1,0,1,9490,-9660,93400.0,3,2,146493,2929903,0,27960368,27960356,0.0,0
0,1,0,1,9469,-9666,93400.0,3,2,146494,2929923,0,27960368,27960356,0.0,0
0,1,0,1,9467,-9694,93400.0,3,2,146495,2929943,0,27960368,27960356,0.0,0
0,1,0,1,9464,-9664,93400.0,3,2,146496,2929963,0,27960368,27960356,0.0,0
0,1,0,1,9471,-9689,93400.0,3,2,146497,2929983,0,27960368,27960356,0.0,0
0,1,0,1,9469,-9635,93400.0,3,2,146498,2930003,0,27960368,27960356,0.0,0
0,1,0,1,9477,-9685,93400.0,3,2,146499,2930023,0,27960368,27960356,0.0,0
0,1,0,1,9483,-9664,93400.0,3,2,146500,2930043,0,27960368,27960356,0.0,0
0,1,0,1,9492,-9685,93400.0,3,2,146501,2930063,0,27960368,27960356,0.0,0
0,1,0,1,9500,-9671,93400.0,3,2,146502,2930083,0,27960368,27960356,0.0,0
0,1,0,1,9479,-9656,93400.0,3,2,146503,2930103,0,27960368,27960356,0.0,0
0,1,0,1,9471,-9696,93400.0,3,2,146504,2930123,0,27960368,27960356,0.0,0
0,1,0,1,9450,-9654,93400.0,3,2,146505,2930143,0,27960368,27960356,0.0,0
0,1,0,1,9450,-9683,93400.0,3,2,146506,2930163,0,27960368,27960356,0.0,0
0,1,0,1,9473,-9671,93400.0,3,2,146507,2930183,0,27960368,27960356,0.0,0
0,1,0,1,9504,-9673,93400.0,3,2,146508,2930203,0,27960368,27960356,0.0,0
0,1,0,1,9500,-9689,93400.0,3,2,146509,2930223,0,27960368,27960356,0.0,0
0,1,0,1,9479,-9647,93400.0,3,2,146510,2930243,0,27960368,27960356,0.0,0
0,1,0,1,9464,-9685,93400.0,3,2,146511,2930263,0,27960368,27960356,0.0,0
0,1,0,1,9462,-9643,93400.0,3,2,146512,2930283,0,27960368,27960356,0.0,0
0,1,0,1,9467,-9691,93400.0,3,2,146513,2930303,0,27960368,27960356,0.0,0
0,1,0,1,9477,-9658,93400.0,3,2,146514,2930323,0,27960368,27960356,0.0,0
0,1,0,1,9494,-9671,93400.0,3,2,146515,2930343,0,27960368,27960356,0.0,0
0,1,0,1,9494,-9681,93400.0,3,2,146516,2930363,0,27960368,27960356,0.0,0
0,1,0,1,9492,-9664,93400.0,3,2,146517,2930383,0,27960368,27960356,0.0,0
0,1,0,1,9477,-9702,93400.0,3,2,146518,2930403,0,27960368,27960356,0.0,0
0,1,0,1,9469,-9645,93400.0,3,2,146519,2930423,0,27960368,27960356,0.0,0
0,1,0,1,9469,-9675,93400.0,3,2,146520,2930443,0,27960368,27960356,0.0,0
0,1,0,1,9469,-9683,93400.0,3,2,146521,2930463,0,27960368,27960356,0.0,0
0,1,0,1,9469,-9675,93400.0,3,2,146522,2930483,0,27960368,27960356,0.0,0
0,1,0,1,9487,-9687,93400.0,3,2,146523,2930503,0,27960368,27960356,0.0,0
0,1,0,1,9496,-9645,93400.0,3,2,146524,2930523,0,27960368,27960356,0.0,0
0,1,0,1,9508,-9700,93400.0,3,2,146525,2930543,0,27960368,27960356,0.0,0
0,1,0,1,9487,-9658,93400.0,3,2,146526,2930563,0,27960368,27960356,0.0,0
0,1,0,1,9471,-9685,93400.0,3,2,146527,2930583,0,27960368,27960356,0.0,0
0,1,0,1,9452,-9658,93400.0,3,2,146528,2930603,0,27960368,27960356,0.0,0
0,1,0,1,9452,-9664,93400.0,3,2,146529,2930623,0,27960368,27960356,0.0,0
0,1,0,1,9471,-9696,93400.0,3,2,146530,2930643,0,27960368,27960356,0.0,0
0,1,0,1,9496,-9662,93400.0,3,2,146531,2930663,0,27960368,27960356,0.0,0
0,1,0,1,9504,-9696,93400.0,3,2,146532,2930683,0,27960368,27960356,0.0,0
0,1,0,1,9498,-9647,93400.0,3,2,146533,2930703,0,27960368,27960356,0.0,0
0,1,1,1,9479,-9694,93400.0,3,2,146534,2930723,0,27960368,27960356,0.0,0
0,1,1,1,9464,-9675,93400.0,3,2,146535,2930743,0,27960368,27960356,0.0,0
0,1,1,1,9464,-9641,93400.0,3,2,146536,2930763,0,27960368,27960356,0.0,0
0,1,1,1,9467,-9689,93400.0,3,2,146537,2930783,0,27960368,27960356,0.0,0
0,1,1,1,9494,-9658,93400.0,3,2,146538,2930803,0,27960368,27960356,0.0,0
0,1,1,1,9487,-9704,93400.0,3,2,146539,2930823,0,27960368,27960356,0.0,0
0,1,1,1,9490,-9656,93400.0,3,2,146540,2930843,0,27960368,27960356,0.0,0
0,1,1,1,9477,-9675,93400.0,3,2,146541,2930863,0,27960368,27960356,0.0,0
0,1,1,1,9469,-9685,93400.0,3,2,146542,2930883,0,27960368,27960356,0.0,0
0,1,0,1,9471,-9673,93400.0,3,2,146543,2930903,0,27960368,27960356,0.0,0
0,1,0,1,9467,-9689,93400.0,3,2,146544,2930923,0,27960368,27960356,0.0,0
0,1,0,1,9469,-9641,93400.0,3,2,146545,2930943,0,27960368,27960356,0.0,0
0,1,0,1,9471,-9687,93400.0,3,2,146546,2930963,0,27960368,27960356,0.0,0
