evt_s0_not_down,evt_trigger_cur,evt_vt03_online,fric1_rpm,fric2_rpm,fric_set,rc_s0,rc_s1,seq,tick_ms,trigger_cur,trigger_spd_set,vt03_toe
1,0,1,9487,-9633,93400.0,3,2,150509,3010223,0,0.0,0
1,0,1,9452,-9685,93400.0,3,2,150510,3010243,0,0.0,0
1,0,1,9433,-9647,93400.0,3,2,150511,3010263,0,0.0,0
1,0,1,9429,-9679,93400.0,3,2,150512,3010283,0,0.0,0
1,0,1,9443,-9624,93400.0,3,2,150513,3010303,0,0.0,0
1,0,1,9456,-9671,93400.0,3,2,150514,3010323,0,0.0,0
1,0,1,9471,-9645,93400.0,3,2,150515,3010343,0,0.0,0
1,0,1,9479,-9652,93400.0,3,2,150516,3010363,0,0.0,0
1,0,1,9473,-9641,93400.0,3,2,150517,3010383,0,0.0,0
1,0,1,9471,-9643,93400.0,3,2,150518,3010403,0,0.0,0
1,0,1,9464,-9683,93400.0,3,2,150519,3010423,0,0.0,0
1,0,1,9462,-9650,93400.0,3,2,150520,3010443,0,0.0,0
1,0,1,9477,-9671,93400.0,3,2,150521,3010463,0,0.0,0
1,0,1,9462,-9633,93400.0,3,2,150522,3010483,0,0.0,0
1,0,1,9454,-9687,93400.0,3,2,150523,3010503,0,0.0,0
1,0,1,9433,-9650,93400.0,3,2,150524,3010523,0,0.0,0
1,0,1,9448,-9679,93400.0,3,2,150525,3010543,0,0.0,0
1,0,1,9460,-9627,93400.0,3,2,150526,3010563,0,0.0,0
1,0,1,9481,-9666,93400.0,3,2,150527,3010583,0,0.0,0
1,0,1,9487,-9643,93400.0,3,2,150528,3010603,0,0.0,0
1,0,1,9479,-9675,93400.0,3,2,150529,3010623,0,0.0,0
1,0,1,9477,-9639,93400.0,3,2,150530,3010643,0,0.0,0
1,0,1,9462,-9660,93400.0,3,2,150531,3010663,0,0.0,0
1,0,1,9456,-9658,93400.0,3,2,150532,3010683,0,0.0,0
1,0,1,9464,-9647,93400.0,3,2,150533,3010703,0,0.0,0
1,0,1,9456,-9675,93400.0,3,2,150534,3010723,0,0.0,0
1,0,1,9454,-9633,93400.0,3,2,150535,3010743,0,0.0,0
1,0,1,9433,-9685,93400.0,3,2,150536,3010763,0,0.0,0
1,0,1,9435,-9647,93400.0,3,2,150537,3010783,0,0.0,0
1,0,1,9448,-9679,93400.0,3,2,150538,3010803,0,0.0,0
1,0,1,9467,-9629,93400.0,3,2,150539,3010823,0,0.0,0
1,0,1,9490,-9668,93400.0,3,2,150540,3010843,0,0.0,0
1,0,1,9475,-9650,93400.0,3,2,150541,3010863,0,0.0,0
1,0,1,9473,-9671,93400.0,3,2,150542,3010883,0,0.0,0
1,0,1,9456,-9641,93400.0,3,2,150543,3010903,0,0.0,0
1,0,1,9452,-9656,93400.0,3,2,150544,3010923,0,0.0,0
1,0,1,9456,-9664,93400.0,3,2,150545,3010943,0,0.0,0
1,0,1,9454,-9660,93400.0,3,2,150546,3010963,0,0.0,0
1,0,1,9452,-9662,93400.0,3,2,150547,3010983,0,0.0,0
1,0,1,9437,-9633,93400.0,3,2,150548,3011003,0,0.0,0
1,0,1,9439,-9668,93400.0,3,2,150549,3011023,0,0.0,0
1,0,1,9456,-9643,93400.0,3,2,150550,3011043,0,0.0,0
1,0,1,9469,-9681,93400.0,3,2,150551,3011063,0,0.0,0
1,0,1,9487,-9629,93400.0,3,2,150552,3011083,0,0.0,0
1,0,1,9477,-9671,93400.0,3,2,150553,3011103,0,0.0,0
1,0,1,9473,-9654,93400.0,3,2,150554,3011123,0,0.0,0
1,0,1,9458,-9671,93400.0,3,2,150555,3011143,0,0.0,0
1,0,1,9450,-9647,93400.0,3,2,150556,3011163,0,0.0,0
1,0,1,9450,-9650,93400.0,3,2,150557,3011183,0,0.0,0
1,0,1,9452,-9673,93400.0,3,2,150558,3011203,0,0.0,0
1,0,1,9454,-9660,93400.0,3,2,150559,3011223,0,0.0,0
1,0,1,9437,-9671,93400.0,3,2,150560,3011243,0,0.0,0
1,0,1,9446,-9627,93400.0,3,2,150561,3011263,0,0.0,0
1,0,1,9460,-9677,93400.0,3,2,150562,3011283,0,0.0,0
1,0,1,9471,-9645,93400.0,3,2,150563,3011303,0,0.0,0
1,0,1,9485,-9675,93400.0,3,2,150564,3011323,0,0.0,0
1,0,1,9487,-9631,93400.0,3,2,150565,3011343,0,0.0,0
1,0,1,9469,-9662,93400.0,3,2,150566,3011363,0,0.0,0
1,0,1,9452,-9631,93400.0,3,2,150567,3011383,0,0.0,0
1,0,1,9450,-9664,93400.0,3,2,150568,3011403,0,0.0,0
1,0,1,9452,-9650,93400.0,3,2,150569,3011423,0,0.0,0
1,0,1,9452,-9650,93400.0,3,2,150570,3011443,0,0.0,0
1,0,1,9452,-9668,93400.0,3,2,150571,3011463,0,0.0,0
1,0,1,9439,-9658,93400.0,3,2,150572,3011483,0,0.0,0
1,0,1,9450,-9664,93400.0,3,2,150573,3011503,0,0.0,0
1,0,1,9462,-9629,93400.0,3,2,150574,3011523,0,0.0,0
1,0,1,9479,-9668,93400.0,3,2,150575,3011543,0,0.0,0
1,0,1,9487,-9645,93400.0,3,2,150576,3011563,0,0.0,0
1,0,1,9490,-9685,93400.0,3,2,150577,3011583,0,0.0,0
1,0,1,9471,-9629,93400.0,3,2,150578,3011603,0,0.0,0
1,0,1,9467,-9666,93400.0,3,2,150579,3011623,0,0.0,0
1,0,1,9452,-9652,93400.0,3,2,150580,3011643,0,0.0,0
1,0,1,9446,-9681,93400.0,3,2,150581,3011663,0,0.0,0
1,0,1,9452,-9641,93400.0,3,2,150582,3011683,0,0.0,0
1,0,1,9450,-9656,93400.0,3,2,150583,3011703,0,0.0,0
1,0,1,9446,-9660,93400.0,3,2,150584,3011723,0,0.0,0
1,0,1,9458,-9660,93400.0,3,2,150585,3011743,0,0.0,0
1,0,1,9471,-9658,93400.0,3,2,150586,3011763,0,0.0,0
1,0,1,9490,-9633,93400.0,3,2,150587,3011783,0,0.0,0
1,0,1,9487,-9671,93400.0,3,2,150588,3011803,0,0.0,0
1,0,1,9481,-9650,93400.0,3,2,150589,3011823,0,0.0,0
1,0,1,9467,-9687,93400.0,3,2,150590,3011843,0,0.0,0
1,0,1,9462,-9631,93400.0,3,2,150591,3011863,0,0.0,0
1,0,1,9448,-9673,93400.0,3,2,150592,3011883,0,0.0,0
1,0,1,9446,-9633,93400.0,3,2,150593,3011903,0,0.0,0
1,0,1,9454,-9683,93400.0,3,2,150594,3011923,0,0.0,0
1,0,1,9452,-9643,93400.0,3,2,150595,3011943,0,0.0,0
1,0,1,9460,-9675,93400.0,3,2,150596,3011963,0,0.0,0
1,0,1,9469,-9675,93400.0,3,2,150597,3011983,0,0.0,0
1,0,1,9479,-9656,93400.0,3,2,150598,3012003,0,0.0,0
1,0,1,9494,-9671,93400.0,3,2,150599,3012023,0,0.0,0
1,0,1,9483,-9622,93400.0,3,2,150600,3012043,0,0.0,0
1,0,1,9473,-9673,93400.0,3,2,150601,3012063,0,0.0,0
1,0,1,9452,-9645,93400.0,3,2,150602,3012083,0,0.0,0
1,0,1,9441,-9683,93400.0,3,2,150603,3012103,0,0.0,0
1,0,1,9448,-9631,93400.0,3,2,150604,3012123,0,0.0,0
1,0,1,9450,-9673,93400.0,3,2,150605,3012143,0,0.0,0
1,0,1,9452,-9631,93400.0,3,2,150606,3012163,0,0.0,0
1,0,1,9458,-9681,93400.0,3,2,150607,3012183,0,0.0,0
1,0,1,9471,-9641,93400.0,3,2,150608,3012203,0,0.0,0
1,0,1,9473,-9673,93400.0,3,2,150609,3012223,0,0.0,0
1,0,1,9475,-9647,93400.0,3,2,150610,3012243,0,0.0,0
1,0,1,9490,-9671,93400.0,3,2,150611,3012263,0,0.0,0
