evt_s0_not_down,evt_trigger_cur,evt_vt03_online,fric1_rpm,fric2_rpm,fric_set,rc_s0,rc_s1,seq,tick_ms,trigger_cur,trigger_ecd_fdb,trigger_ecd_set,trigger_spd_set,vt03_toe
1,0,1,0,0,0.0,3,2,154793,3095903,0,27960368,27960356,0.0,0
1,0,1,0,0,0.0,3,2,154794,3095923,0,27960368,27960356,0.0,0
1,0,1,0,0,0.0,3,2,154795,3095943,0,27960368,27960356,0.0,0
1,0,1,0,0,0.0,3,2,154796,3095963,0,27960368,27960356,0.0,0
1,0,1,-3,0,0.0,3,2,154797,3095983,0,27960368,27960356,0.0,0
1,0,1,0,0,0.0,3,2,154798,3096003,0,27960368,27960356,0.0,0
1,0,1,0,0,0.0,3,2,154799,3096023,0,27960368,27960356,0.0,0
1,0,1,0,0,0.0,3,2,154800,3096043,0,27960368,27960356,0.0,0
1,0,1,0,0,0.0,3,2,154801,3096063,0,27960368,27960356,0.0,0
1,0,1,0,0,0.0,3,2,154802,3096083,0,27960368,27960356,0.0,0
1,0,1,0,0,0.0,3,2,154803,3096103,0,27960368,27960356,0.0,0
1,0,1,-3,0,0.0,3,2,154804,3096123,0,27960368,27960356,0.0,0
1,0,1,-3,0,0.0,3,2,154805,3096143,0,27960368,27960356,0.0,0
1,0,1,0,0,0.0,3,2,154806,3096163,0,27960368,27960356,0.0,0
1,0,1,0,0,0.0,3,2,154807,3096183,0,27960368,27960356,0.0,0
1,0,1,0,0,0.0,3,2,154808,3096203,0,27960368,27960356,0.0,0
1,0,1,0,0,0.0,3,2,154809,3096223,0,27960368,27960356,0.0,0
1,0,1,0,0,0.0,3,2,154810,3096243,0,27960368,27960356,0.0,0
1,0,1,0,0,0.0,3,2,154811,3096263,0,27960368,27960356,0.0,0
1,0,1,0,0,0.0,3,2,154812,3096283,0,27960368,27960356,0.0,0
1,0,1,0,0,0.0,3,2,154813,3096303,0,27960368,27960356,0.0,0
1,0,1,0,0,0.0,3,2,154814,3096323,0,27960368,27960356,0.0,0
1,0,1,2,0,0.0,3,2,154815,3096343,0,27960368,27960356,0.0,0
1,0,1,0,0,0.0,3,2,154816,3096363,0,27960368,27960356,0.0,0
1,0,1,-3,0,0.0,3,2,154817,3096383,0,27960368,27960356,0.0,0
1,0,1,0,0,0.0,3,2,154818,3096403,0,27960368,27960356,0.0,0
1,0,1,0,0,0.0,3,2,154819,3096423,0,27960368,27960356,0.0,0
1,0,1,0,0,0.0,3,2,154820,3096443,0,27960368,27960356,0.0,0
1,0,1,0,0,0.0,3,2,154821,3096463,0,27960368,27960356,0.0,0
1,0,1,0,0,0.0,3,2,154822,3096483,0,27960368,27960356,0.0,0
1,0,1,0,0,0.0,3,2,154823,3096503,0,27960368,27960356,0.0,0
1,0,1,0,0,0.0,3,2,154824,3096523,0,27960368,27960356,0.0,0
1,0,1,-3,0,0.0,3,2,154825,3096543,0,27960368,27960356,0.0,0
1,0,1,0,0,0.0,3,2,154826,3096563,0,27960368,27960356,0.0,0
1,0,1,0,0,0.0,3,2,154827,3096583,0,27960368,27960356,0.0,0
1,0,1,96,-74,93400.0,3,2,154828,3096603,0,27960368,27960356,0.0,0
1,0,1,947,-877,93400.0,3,2,154829,3096623,0,27960368,27960356,0.0,0
1,0,1,1862,-1685,93400.0,3,2,154830,3096643,0,27960368,27960356,0.0,0
1,0,1,2676,-2623,93400.0,3,2,154831,3096663,0,27960368,27960356,0.0,0
1,0,1,3590,-3441,93400.0,3,2,154832,3096683,0,27960368,27960356,0.0,0
1,0,1,4415,-4282,93400.0,3,2,154833,3096703,0,27960368,27960356,0.0,0
1,0,1,5321,-5073,93400.0,3,2,154834,3096723,0,27960368,27960356,0.0,0
1,0,1,6127,-5948,93400.0,3,2,154835,3096743,0,27960368,27960356,0.0,0
1,0,1,7031,-6810,93400.0,3,2,154836,3096763,0,27960368,27960356,0.0,0
1,0,1,7765,-7570,93400.0,3,2,154837,3096783,0,27960368,27960356,0.0,0
1,0,1,8301,-8208,93400.0,3,2,154838,3096803,0,27960368,27960356,0.0,0
1,0,1,8648,-8649,93400.0,3,2,154839,3096823,0,27960368,27960356,0.0,0
1,0,1,8889,-8961,93400.0,3,2,154840,3096843,0,27960368,27960356,0.0,0
1,0,1,9042,-9179,93400.0,3,2,154841,3096863,0,27960368,27960356,0.0,0
1,0,1,9182,-9298,93400.0,3,2,154842,3096883,0,27960368,27960356,0.0,0
1,0,1,9245,-9405,93400.0,3,2,154843,3096903,0,27960368,27960356,0.0,0
1,0,1,9320,-9465,93400.0,3,2,154844,3096923,0,27960368,27960356,0.0,0
1,0,1,9333,-9497,93400.0,3,2,154845,3096943,0,27960368,27960356,0.0,0
1,0,1,9341,-9520,93400.0,3,2,154846,3096963,0,27960368,27960356,0.0,0
1,0,1,9372,-9591,93400.0,3,2,154847,3096983,0,27960368,27960356,0.0,0
1,0,1,9402,-9574,93400.0,3,2,154848,3097003,0,27960368,27960356,0.0,0
1,0,1,9412,-9587,93400.0,3,2,154849,3097023,0,27960368,27960356,0.0,0
1,0,1,9439,-9629,93400.0,3,2,154850,3097043,0,27960368,27960356,0.0,0
1,0,1,9441,-9610,93400.0,3,2,154851,3097063,0,27960368,27960356,0.0,0
1,0,1,9412,-9660,93400.0,3,2,154852,3097083,0,27960368,27960356,0.0,0
1,0,1,9414,-9608,93400.0,3,2,154853,3097103,0,27960368,27960356,0.0,0
1,0,1,9431,-9652,93400.0,3,2,154854,3097123,0,27960368,27960356,0.0,0
1,0,1,9437,-9614,93400.0,3,2,154855,3097143,0,27960368,27960356,0.0,0
