evt_cmd_shoot_toggle,evt_cmd_vt03_trigger,evt_fn1_cur,evt_s0_not_down,evt_trigger_cur,evt_vt03_online,fric1_rpm,fric2_rpm,fric_set,rc_s0,rc_s1,seq,tick_ms,trigger_cur,trigger_spd_set,vt03_toe
0,0,0,0,0,1,0,0,0.0,2,2,158599,3172023,0,0.0,0
0,0,0,0,0,1,0,0,0.0,2,2,158600,3172043,0,0.0,0
0,0,0,0,0,1,0,0,0.0,2,2,158601,3172063,0,0.0,0
0,0,0,0,0,1,0,0,0.0,2,2,158602,3172083,0,0.0,0
0,0,0,0,0,1,0,0,0.0,2,2,158603,3172103,0,0.0,0
0,0,0,0,0,1,0,0,0.0,2,2,158604,3172123,0,0.0,0
0,0,0,0,0,1,0,0,0.0,2,2,158605,3172143,0,0.0,0
0,0,0,0,0,1,0,0,0.0,2,2,158606,3172163,0,0.0,0
0,0,0,0,0,1,0,0,0.0,2,2,158607,3172183,0,0.0,0
0,0,0,0,0,1,0,0,0.0,2,2,158608,3172203,0,0.0,0
0,0,0,0,0,1,0,0,0.0,2,2,158609,3172223,0,0.0,0
0,0,0,0,0,1,0,0,0.0,2,2,158610,3172243,0,0.0,0
0,0,0,0,0,1,0,0,0.0,2,2,158611,3172263,0,0.0,0
0,0,0,0,0,1,0,0,0.0,2,2,158612,3172283,0,0.0,0
0,0,0,0,0,1,0,0,0.0,2,2,158613,3172303,0,0.0,0
0,0,0,0,0,1,0,0,0.0,2,2,158614,3172323,0,0.0,0
0,0,0,0,0,1,0,0,0.0,2,2,158615,3172343,0,0.0,0
0,0,0,0,0,1,0,0,0.0,2,2,158616,3172363,0,0.0,0
0,0,0,0,0,1,0,0,0.0,2,2,158617,3172383,0,0.0,0
0,0,0,0,0,1,0,0,0.0,2,2,158618,3172403,0,0.0,0
0,0,0,0,0,1,0,0,0.0,2,2,158619,3172423,0,0.0,0
0,0,0,0,0,1,0,0,0.0,2,2,158620,3172443,0,0.0,0
0,0,0,0,0,1,0,0,0.0,2,2,158621,3172463,0,0.0,0
0,0,0,0,0,1,0,0,0.0,2,2,158622,3172483,0,0.0,0
0,0,0,0,0,1,0,0,0.0,2,2,158623,3172503,0,0.0,0
0,0,0,0,0,1,0,0,0.0,2,2,158624,3172523,0,0.0,0
0,0,0,0,0,1,0,0,0.0,2,2,158625,3172543,0,0.0,0
0,0,0,0,0,1,0,0,0.0,2,2,158626,3172563,0,0.0,0
0,0,0,0,0,1,0,0,0.0,2,2,158627,3172583,0,0.0,0
0,0,0,0,0,1,0,0,0.0,2,2,158628,3172603,0,0.0,0
0,0,0,0,0,1,0,0,0.0,2,2,158629,3172623,0,0.0,0
0,0,0,0,0,1,0,0,0.0,2,2,158630,3172643,0,0.0,0
0,0,0,0,0,1,0,0,0.0,2,2,158631,3172663,0,0.0,0
0,0,0,0,0,1,0,0,0.0,2,2,158632,3172683,0,0.0,0
0,0,0,0,0,1,0,0,0.0,2,2,158633,3172703,0,0.0,0
0,0,0,0,0,1,0,0,0.0,2,2,158634,3172723,0,0.0,0
0,0,0,0,0,1,0,0,0.0,2,2,158635,3172743,0,0.0,0
0,0,0,0,0,1,0,0,0.0,2,2,158636,3172763,0,0.0,0
0,0,0,0,0,1,0,0,0.0,2,2,158637,3172783,0,0.0,0
0,0,0,0,0,1,0,0,0.0,2,2,158638,3172803,0,0.0,0
0,0,0,0,0,1,0,0,0.0,2,2,158639,3172823,0,0.0,0
0,0,0,0,0,1,0,0,0.0,2,2,158640,3172843,0,0.0,0
0,0,0,0,0,1,0,0,0.0,2,2,158641,3172863,0,0.0,0
0,0,0,0,0,1,0,0,0.0,2,2,158642,3172883,0,0.0,0
0,0,0,0,0,1,0,-3,0.0,2,2,158643,3172903,0,0.0,0
0,0,0,0,0,1,0,0,0.0,2,2,158644,3172923,0,0.0,0
0,0,0,0,0,1,0,0,0.0,2,2,158645,3172943,0,0.0,0
0,0,0,0,0,1,0,0,0.0,2,2,158646,3172963,0,0.0,0
0,0,0,0,0,1,0,0,0.0,2,2,158647,3172983,0,0.0,0
0,0,0,0,0,1,0,0,0.0,2,2,158648,3173003,0,0.0,0
0,0,0,0,0,1,0,0,0.0,2,2,158649,3173023,0,0.0,0
0,0,0,0,0,1,0,0,0.0,2,2,158650,3173043,0,0.0,0
0,0,0,0,0,1,0,0,0.0,2,2,158651,3173063,0,0.0,0
0,0,0,0,0,1,0,0,0.0,2,2,158652,3173083,0,0.0,0
0,0,0,0,0,1,0,0,0.0,2,2,158653,3173103,0,0.0,0
0,0,0,0,0,1,0,0,0.0,2,2,158654,3173123,0,0.0,0
0,0,0,0,0,1,0,0,0.0,2,2,158655,3173143,0,0.0,0
0,0,0,0,0,1,0,0,0.0,2,2,158656,3173163,0,0.0,0
0,0,0,0,0,1,0,0,0.0,2,2,158657,3173183,0,0.0,0
0,0,0,0,0,1,0,0,0.0,2,2,158658,3173203,0,0.0,0
0,0,0,0,0,1,0,0,0.0,2,2,158659,3173223,0,0.0,0
0,0,0,0,0,1,0,0,0.0,2,2,158660,3173243,0,0.0,0
0,0,0,0,0,1,0,0,0.0,2,2,158661,3173263,0,0.0,0
0,0,0,0,0,1,0,0,0.0,2,2,158662,3173283,0,0.0,0
0,0,0,0,0,1,0,0,0.0,2,2,158663,3173303,0,0.0,0
0,0,0,0,0,1,0,0,0.0,2,2,158664,3173323,0,0.0,0
0,0,0,0,0,1,0,0,0.0,2,2,158665,3173343,0,0.0,0
0,0,0,0,0,1,0,0,0.0,2,2,158666,3173363,0,0.0,0
0,0,0,0,0,1,0,0,0.0,2,2,158667,3173383,0,0.0,0
0,0,0,0,0,1,0,0,0.0,2,2,158668,3173403,0,0.0,0
0,0,0,0,0,1,0,0,0.0,2,2,158669,3173423,0,0.0,0
0,0,1,0,0,1,0,0,0.0,2,2,158670,3173443,0,0.0,0
0,0,1,0,0,1,0,0,0.0,2,2,158671,3173463,0,0.0,0
0,0,1,0,0,1,0,0,0.0,2,2,158672,3173483,0,0.0,0
0,0,1,0,0,1,0,0,0.0,2,2,158673,3173503,0,0.0,0
0,0,1,0,0,1,0,0,0.0,2,2,158674,3173523,0,0.0,0
0,0,1,0,0,1,0,0,0.0,2,2,158675,3173543,0,0.0,0
0,0,1,0,0,1,0,0,0.0,2,2,158676,3173563,0,0.0,0
0,0,1,0,0,1,0,0,0.0,2,2,158677,3173583,0,0.0,0
0,0,1,0,0,1,0,0,0.0,2,2,158678,3173603,0,0.0,0
0,0,1,0,0,1,0,0,0.0,2,2,158679,3173623,0,0.0,0
0,0,1,0,0,1,0,0,0.0,2,2,158680,3173643,0,0.0,0
0,0,1,0,0,1,0,0,0.0,2,2,158681,3173663,0,0.0,0
0,0,1,0,0,1,0,0,0.0,2,2,158682,3173683,0,0.0,0
