seq,tick_ms,rc_s0,shoot_mode,fric1_rpm,fric2_rpm,fric_set,vt03_toe,evt_vt03_online,evt_s0_not_down,evt_dial_pos,evt_dial_neg
195283,3905703,3,0,0,0,0.0,0,1,1,0,0
195284,3905723,3,0,0,-3,0.0,0,1,1,0,0
195285,3905743,3,0,0,-5,0.0,0,1,1,0,0
195286,3905763,3,0,0,2,0.0,0,1,1,0,0
195287,3905783,3,0,0,-3,0.0,0,1,1,0,0
195288,3905803,3,0,0,0,0.0,0,1,1,0,0
195289,3905823,3,0,-3,2,0.0,0,1,1,0,0
195290,3905843,3,0,0,0,0.0,0,1,1,0,0
195291,3905863,3,0,0,0,0.0,0,1,1,0,0
195292,3905883,3,0,0,0,0.0,0,1,1,0,0
195293,3905903,3,0,0,-3,0.0,0,1,1,0,0
195294,3905923,3,0,0,0,0.0,0,1,1,0,0
195295,3905943,3,0,0,0,0.0,0,1,1,0,0
195296,3905963,3,0,0,0,0.0,0,1,1,0,0
195297,3905983,3,0,2,0,0.0,0,1,1,0,0
195298,3906003,3,0,-3,0,0.0,0,1,1,0,0
195299,3906023,3,0,0,0,0.0,0,1,1,0,0
195300,3906043,3,0,0,2,0.0,0,1,1,0,0
195301,3906063,3,0,0,0,0.0,0,1,1,0,0
195302,3906083,3,0,0,0,0.0,0,1,1,0,0
195303,3906103,3,0,0,0,0.0,0,1,1,0,0
195304,3906123,3,0,0,0,0.0,0,1,1,0,0
195305,3906143,3,0,0,0,0.0,0,1,1,0,0
195306,3906163,3,0,0,-3,0.0,0,1,1,0,0
195307,3906183,3,0,0,0,0.0,0,1,1,0,0
195308,3906203,3,0,0,0,0.0,0,1,1,0,0
195309,3906223,3,0,-3,0,0.0,0,1,1,0,0
195310,3906243,3,0,0,-3,0.0,0,1,1,0,0
195311,3906263,3,0,0,0,0.0,0,1,1,0,0
195312,3906283,3,0,0,0,0.0,0,1,1,0,0
195313,3906303,3,0,-3,0,0.0,0,1,1,0,0
195314,3906323,3,0,-3,0,0.0,0,1,1,0,0
195315,3906343,3,0,0,0,0.0,0,1,1,0,0
195316,3906363,3,0,0,0,0.0,0,1,1,0,0
195317,3906383,3,0,0,0,0.0,0,1,1,0,0
195318,3906403,3,0,0,0,0.0,0,1,1,0,0
195319,3906423,3,0,0,0,0.0,0,1,1,0,0
195320,3906443,3,0,0,0,0.0,0,1,1,0,0
195321,3906463,3,0,0,0,0.0,0,1,1,0,0
195322,3906483,3,0,0,0,0.0,0,1,1,0,0
195323,3906503,3,0,0,0,0.0,0,1,1,0,0
195324,3906523,3,0,0,0,0.0,0,1,1,0,0
195325,3906543,3,0,0,0,0.0,0,1,1,0,0
195326,3906563,3,0,0,0,0.0,0,1,1,0,0
195327,3906583,3,0,0,0,0.0,0,1,1,0,0
195328,3906603,3,0,0,0,0.0,0,1,1,0,0
195329,3906623,3,0,0,0,0.0,0,1,1,0,0
195330,3906643,3,0,0,0,0.0,0,1,1,0,0
195331,3906663,3,0,0,0,0.0,0,1,1,0,0
195332,3906683,3,0,0,0,0.0,0,1,1,0,0
195333,3906703,3,0,0,0,0.0,0,1,1,0,0
195334,3906723,3,0,0,0,0.0,0,1,1,0,0
195335,3906743,3,0,-3,0,0.0,0,1,1,0,0
195336,3906763,3,0,0,-3,0.0,0,1,1,0,0
195337,3906783,3,0,0,0,0.0,0,1,1,0,0
195338,3906803,3,0,0,0,0.0,0,1,1,0,0
195339,3906823,3,0,0,0,0.0,0,1,1,0,0
195340,3906843,3,0,0,-3,0.0,0,1,1,0,0
195341,3906863,3,0,-3,0,0.0,0,1,1,0,0
195342,3906883,3,0,0,-3,0.0,0,1,1,0,0
195343,3906903,3,0,0,0,0.0,0,1,1,0,0
195344,3906923,3,0,0,-3,0.0,0,1,1,0,0
195345,3906943,3,0,0,0,0.0,0,1,1,0,0
195346,3906963,3,0,0,0,0.0,0,1,1,0,0
195347,3906983,3,0,0,0,0.0,0,1,1,0,0
195348,3907003,3,0,0,0,0.0,0,1,1,0,0
195349,3907023,3,0,0,0,0.0,0,1,1,0,0
195350,3907043,3,0,0,0,0.0,0,1,1,0,0
195351,3907063,3,0,0,0,0.0,0,1,1,0,0
195352,3907083,3,0,0,0,0.0,0,1,1,0,0
195353,3907103,3,0,0,0,0.0,0,1,1,0,0
195354,3907123,3,0,0,0,0.0,0,1,1,0,0
195355,3907143,3,0,0,-3,0.0,0,1,1,0,0
195356,3907163,3,0,0,0,0.0,0,1,1,0,0
195357,3907183,3,0,0,-3,0.0,0,1,1,0,0
195358,3907203,3,0,0,0,0.0,0,1,1,0,0
195359,3907223,3,0,0,-3,0.0,0,1,1,0,0
195360,3907243,3,0,0,0,0.0,0,1,1,0,0
195361,3907263,3,0,-3,-3,0.0,0,1,1,0,0
195362,3907283,3,0,0,0,0.0,0,1,1,0,0
195363,3907303,3,0,0,0,0.0,0,1,1,0,0
195364,3907323,3,0,0,0,0.0,0,1,1,0,0
195365,3907343,3,0,0,-3,0.0,0,1,1,0,0
195366,3907363,3,0,0,0,0.0,0,1,1,0,0
195367,3907383,3,0,0,0,0.0,0,1,1,0,0
195368,3907403,3,0,0,0,0.0,0,1,1,0,0
195369,3907423,3,0,0,0,0.0,0,1,1,0,0
195370,3907443,3,0,0,0,0.0,0,1,1,0,0
195371,3907463,3,0,0,0,0.0,0,1,1,0,0
195372,3907483,3,0,0,0,0.0,0,1,1,0,0
195373,3907503,3,0,0,0,0.0,0,1,1,0,0
195374,3907523,3,0,0,0,0.0,0,1,1,0,0
195375,3907543,3,0,0,0,0.0,0,1,1,0,0
195376,3907563,3,0,0,0,0.0,0,1,1,0,0
195377,3907583,3,0,0,-3,0.0,0,1,1,0,0
195378,3907603,3,0,0,0,0.0,0,1,1,0,0
195379,3907623,3,0,0,-3,0.0,0,1,1,0,0
195380,3907643,3,0,0,0,0.0,0,1,1,0,0
195381,3907663,3,0,0,-3,0.0,0,1,1,0,0
195382,3907683,3,0,0,0,0.0,0,1,1,0,0
195383,3907703,3,0,0,0,0.0,0,1,1,0,0
195384,3907723,3,0,0,-5,0.0,0,1,1,0,0
195385,3907743,3,0,0,0,0.0,0,1,1,0,0
195386,3907763,3,0,0,-5,0.0,0,1,1,0,0
195387,3907783,3,0,0,0,0.0,0,1,1,0,0
195388,3907803,3,0,0,0,0.0,0,1,1,0,0
195389,3907823,3,0,0,0,0.0,0,1,1,0,0
195390,3907843,3,0,0,0,0.0,0,1,1,0,0
