bullet_cnt,rc_s0,rc_s1,shoot_mode,trigger_cur,trigger_ecd_fdb,trigger_ecd_set,trigger_spd_set
34,3,2,2,0,2674089,2674089,0.0
34,3,2,2,0,2674089,2674089,0.0
34,3,2,2,0,2674089,2674089,0.0
34,3,2,2,0,2674089,2674089,0.0
34,3,2,2,0,2674089,2674089,0.0
34,3,2,2,0,2674089,2674089,0.0
34,3,2,2,0,2674089,2674089,0.0
34,3,2,2,0,2674089,2674089,0.0
34,3,2,2,0,2674089,2674089,0.0
34,3,2,2,0,2674089,2674089,0.0
34,3,2,2,0,2674089,2674089,0.0
34,3,2,2,0,2674089,2674089,0.0
34,3,2,2,0,2674089,2674089,0.0
34,3,2,2,0,2674089,2674089,0.0
34,3,2,2,0,2674089,2674089,0.0
34,3,2,2,0,2674089,2674089,0.0
34,3,2,2,0,2674089,2674089,0.0
34,3,2,2,0,2674089,2674089,0.0
34,3,2,2,0,2674089,2674089,0.0
34,3,2,2,0,2674089,2674089,0.0
34,3,2,2,0,2674089,2674089,0.0
34,3,2,2,0,2674089,2674089,0.0
34,3,2,2,0,2674089,2674089,0.0
34,3,2,2,0,2674089,2674089,0.0
34,3,2,2,0,2674089,2674089,0.0
34,3,2,2,0,2674089,2674089,0.0
34,3,2,2,0,2674089,2674089,0.0
34,3,2,2,0,2674089,2674089,0.0
34,3,2,2,0,2674089,2674089,0.0
34,3,2,2,0,2674089,2674089,0.0
34,3,2,2,0,2674089,2674089,0.0
34,3,2,2,0,2674089,2674089,0.0
34,3,2,2,0,2674089,2674089,0.0
34,3,2,2,0,2674089,2674089,0.0
34,3,2,2,0,2674089,2674089,0.0
34,3,2,2,0,2674089,2674089,0.0
34,3,2,2,0,2674089,2674089,0.0
34,3,2,2,0,2674089,2674089,0.0
34,3,2,2,0,2674089,2674089,0.0
34,3,2,2,0,2674089,2674089,0.0
34,3,2,2,0,2674089,2674089,0.0
34,3,2,2,0,2674089,2674089,0.0
34,3,2,2,0,2674089,2674089,0.0
34,3,2,2,0,2674089,2674089,0.0
34,3,2,2,0,2674089,2674089,0.0
34,3,2,2,0,2674089,2674089,0.0
34,3,2,2,0,2674089,2674089,0.0
34,3,2,2,0,2674089,2674089,0.0
34,3,2,2,0,2674089,2674089,0.0
34,3,2,2,0,2674089,2674089,0.0
34,3,2,2,0,2674089,2674089,0.0
34,3,2,2,0,2674089,2674089,0.0
34,3,2,2,0,2674089,2674089,0.0
34,3,2,2,0,2674089,2674089,0.0
34,3,2,2,0,2674089,2674089,0.0
34,3,2,2,0,2674089,2674089,0.0
34,3,2,2,0,2674089,2674089,0.0
34,3,2,2,0,2674089,2674089,0.0
34,3,2,2,0,2674089,2674089,0.0
34,3,2,2,0,2674089,2674089,0.0
34,3,2,2,0,2674089,2674089,0.0
34,3,2,2,0,2674089,2674089,0.0
34,3,2,2,0,2674089,2674089,0.0
34,3,2,2,0,2674089,2674089,0.0
34,3,2,2,0,2674089,2674089,0.0
34,3,2,2,0,2674089,2674089,0.0
34,3,2,2,0,2674089,2674089,0.0
34,3,2,2,0,2674089,2674089,0.0
34,3,2,2,0,2674089,2674089,0.0
34,3,2,2,0,2674089,2674089,0.0
34,3,2,2,0,2674089,2674089,0.0
34,3,2,2,0,2674089,2674089,0.0
34,3,2,2,0,2674089,2674089,0.0
34,3,2,5,1074,2674089,2674089,15.0
34,3,2,5,1962,2674150,2674089,15.0
34,3,2,5,2592,2675239,2674089,15.0
34,3,2,5,2773,2678963,2674089,15.0
34,3,2,5,2722,2685548,2674089,15.0
34,3,2,5,2533,2695329,2674089,15.0
35,3,2,5,2275,2707003,2674089,15.0
35,3,2,5,1967,2720421,2674089,15.0
35,3,2,5,1691,2735280,2674089,15.0
36,3,2,5,1437,2750894,2674089,15.0
36,3,2,5,1206,2766854,2674089,15.0
37,3,2,5,1033,2783215,2674089,15.0
37,3,2,5,931,2799377,2674089,15.0
