shoot_mode,trigger_cur,trigger_spd,trigger_spd_set
2,0,0.0,0.0
2,0,0.0,0.0
2,0,0.0,0.0
2,0,0.0,0.0
2,0,0.0,0.0
2,0,0.0,0.0
2,0,0.0,0.0
2,0,0.0,0.0
2,0,0.0,0.0
2,0,0.0,0.0
2,0,0.0,0.0
2,0,0.0,0.0
2,0,0.0,0.0
2,0,0.0,0.0
2,0,0.0,0.0
2,0,0.0,0.0
2,0,0.0,0.0
2,0,0.0,0.0
2,0,0.0,0.0
2,0,0.0,0.0
2,0,0.0,0.0
2,0,0.0,0.0
2,0,0.0,0.0
2,0,0.0,0.0
2,0,0.0,0.0
2,0,0.0,0.0
2,0,0.0,0.0
2,0,0.0,0.0
2,0,0.0,0.0
2,0,0.0,0.0
2,0,0.0,0.0
2,0,0.0,0.0
2,0,0.0,0.0
2,0,0.0,0.0
2,0,0.0,0.0
2,0,0.0,0.0
2,0,0.0,0.0
2,0,0.0,0.0
2,0,0.0,0.0
2,0,0.0,0.0
2,0,0.0,0.0
2,0,0.0,0.0
2,0,0.0,0.0
2,0,0.0,0.0
2,0,0.0,0.0
2,0,0.0,0.0
2,0,0.0,0.0
2,0,0.0,0.0
2,0,0.0,0.0
2,0,0.0,0.0
2,0,0.0,0.0
2,0,0.0,0.0
2,0,0.0,0.0
2,0,0.0,0.0
2,0,0.0,0.0
2,0,0.0,0.0
2,0,0.0,0.0
2,0,0.0,0.0
2,0,0.0,0.0
2,0,0.0,0.0
2,0,0.0,0.0
2,0,0.0,0.0
2,0,0.0,0.0
2,0,0.0,0.0
2,0,0.0,0.0
2,0,0.0,0.0
2,0,0.0,0.0
2,0,0.0,0.0
2,0,0.0,0.0
2,0,0.0,0.0
2,0,0.0,0.0
2,0,0.0,0.0
2,0,0.0,0.0
2,0,0.0,0.0
2,0,0.0,0.0
2,-1317,-0.002,-13.0
2,-2046,-0.218,-13.0
2,-2376,-1.915,-13.0
2,-2245,-4.52,-13.0
2,-1893,-6.771,-13.0
2,-1387,-8.555,-13.0
2,-862,-9.588,-13.0
2,-432,-9.794,-13.0
2,-128,-9.428,-13.0
2,7,-8.597,-13.0
2,-35,-7.468,-13.0
2,-246,-6.222,-13.0
2,-515,-5.337,-13.0
2,-757,-4.967,-13.0
2,-945,-4.968,-13.0
2,-1042,-5.307,-13.0
2,-1055,-5.813,-13.0
2,-978,-6.419,-13.0
2,-846,-6.95,-13.0
2,-694,-7.315,-13.0
2,-581,-7.37,-13.0
2,-498,-7.283,-13.0
2,-466,-7.035,-13.0
2,-476,-6.75,-13.0
2,-509,-6.497,-13.0
2,-568,-6.29,-13.0
2,-622,-6.177,-13.0
2,-660,-6.184,-13.0
2,-705,-6.155,-13.0
2,-710,-6.305,-13.0
2,-712,-6.385,-13.0
2,-687,-6.519,-13.0
2,-663,-6.606,-13.0
2,-624,-6.711,-13.0
2,-589,-6.74,-13.0
2,-551,-6.761,-13.0
2,-514,-6.78,-13.0
2,-529,-6.601,-13.0
2,-523,-6.583,-13.0
2,-516,-6.561,-13.0
2,-507,-6.561,-13.0
