bullet_cnt,fric1_rpm,shoot_mode,trigger_cur,trigger_ecd_fdb,trigger_ecd_set,trigger_spd,trigger_spd_set
2,4879,2,0,254215,254215,0.0,0.0
2,4909,2,0,254215,254215,0.0,0.0
2,4850,2,0,254215,254215,0.0,0.0
2,4919,2,0,254215,254215,0.0,0.0
2,4869,2,0,254215,254215,0.0,0.0
2,4884,2,0,254215,254215,0.0,0.0
2,4913,2,0,254215,254215,0.0,0.0
2,4850,2,0,254215,254215,0.0,0.0
2,4903,2,0,254215,254215,0.0,0.0
2,4863,2,0,254215,254215,0.0,0.0
2,4875,2,0,254215,254215,0.0,0.0
2,4921,2,0,254215,254215,0.0,0.0
2,4867,2,0,254215,254215,0.0,0.0
2,4907,2,0,254215,254215,0.0,0.0
2,4869,2,0,254215,254215,0.0,0.0
2,4859,2,0,254215,254215,0.0,0.0
2,4900,2,0,254215,254215,0.0,0.0
2,4867,2,0,254215,254215,0.0,0.0
2,4852,2,0,254215,254215,0.0,0.0
2,4903,2,0,254215,254215,0.0,0.0
2,4867,2,0,254215,254215,0.0,0.0
2,4877,2,0,254215,254215,0.0,0.0
2,4921,2,0,254215,254215,0.0,0.0
2,4867,2,0,254215,254215,0.0,0.0
2,4909,2,0,254215,254215,0.0,0.0
2,4869,2,0,254215,254215,0.0,0.0
2,4859,2,0,254215,254215,0.0,0.0
2,4900,2,0,254215,254215,0.0,0.0
2,4869,2,0,254215,254215,0.0,0.0
2,4900,2,0,254215,254215,0.0,0.0
2,4882,2,0,254215,254215,0.0,0.0
2,4873,2,0,254215,254215,0.0,0.0
2,4903,2,0,254215,254215,0.0,0.0
2,4871,2,0,254215,254215,0.0,0.0
2,4907,2,0,254215,254215,0.0,0.0
2,4911,2,0,254215,254215,0.0,0.0
2,4869,2,0,254215,254215,0.0,0.0
2,4861,2,0,254215,254215,0.0,0.0
2,4892,2,0,254215,254215,0.0,0.0
2,4863,2,0,254215,254215,0.0,0.0
2,4894,2,0,254215,254215,0.0,0.0
2,4884,2,0,254215,254215,0.0,0.0
2,4871,2,0,254215,254215,0.0,0.0
2,4909,2,0,254215,254215,0.0,0.0
2,4871,2,0,254215,254215,0.0,0.0
2,4907,2,0,254215,254215,0.0,0.0
2,4873,2,0,254215,254215,0.0,0.0
2,4892,2,0,254215,254215,0.0,0.0
2,4903,2,0,254215,254215,0.0,0.0
2,4882,4,10000,255184,291079,1.057,15858.0
2,4905,4,10000,260746,291079,6.057,13633.2
2,4764,4,10000,276257,291079,17.342,7428.8
3,4840,6,-5566,299612,299612,24.654,0.0
3,4731,2,0,309242,309242,19.452,0.0
3,4861,2,0,325879,325879,16.486,0.0
3,4718,2,0,339091,339091,14.068,0.0
3,4863,2,0,350986,350986,12.547,0.0
3,4850,2,0,358834,358834,8.096,0.0
3,4850,2,0,358734,358734,-0.388,0.0
3,4900,2,0,358170,358170,-0.667,0.0
3,4863,2,0,358018,358018,-0.119,0.0
3,4894,2,0,358019,358019,0.008,0.0
3,4884,2,0,358019,358019,0.0,0.0
3,4869,2,0,358019,358019,0.0,0.0
3,4911,2,0,358016,358016,-0.005,0.0
3,4873,2,0,358005,358005,-0.013,0.0
3,4903,2,0,357961,357961,-0.055,0.0
3,4873,2,0,357930,357930,-0.03,0.0
3,4890,2,0,357900,357900,-0.031,0.0
3,4850,2,0,357843,357843,-0.057,0.0
3,4907,2,0,357844,357844,0.002,0.0
3,4859,2,0,357844,357844,0.0,0.0
3,4892,2,0,357844,357844,0.0,0.0
3,4890,2,0,357844,357844,0.0,0.0
