fric1_rpm,fric_set,rc_s0,rc_s1,shoot_mode,trigger_cur
0,4900.0,3,3,1,0
0,4900.0,3,3,1,0
0,4900.0,3,3,1,0
0,4900.0,3,3,1,0
0,4900.0,3,3,1,0
0,4900.0,3,3,1,0
0,4900.0,3,3,1,0
0,4900.0,3,3,1,0
0,4900.0,3,3,1,0
0,4900.0,3,3,1,0
0,4900.0,3,3,1,0
0,4900.0,3,3,1,0
0,4900.0,3,3,1,0
0,4900.0,3,3,1,0
0,4900.0,3,3,1,0
0,4900.0,3,3,1,0
0,4900.0,3,3,1,0
0,4900.0,3,3,1,0
0,4900.0,3,3,1,0
0,4900.0,3,3,1,0
0,4900.0,3,3,1,0
0,4900.0,3,3,1,0
0,4900.0,3,3,1,0
0,4900.0,3,3,1,0
0,4900.0,3,3,1,0
0,4900.0,3,3,1,0
0,4900.0,3,3,1,0
0,4900.0,3,3,1,0
0,0.0,3,3,0,0
-38,0.0,3,3,0,0
-11,0.0,3,3,0,0
-3,0.0,3,3,0,0
0,0.0,3,3,0,0
2,0.0,3,3,0,0
-3,0.0,3,3,0,0
-3,0.0,3,3,0,0
0,0.0,3,3,0,0
-3,0.0,3,3,0,0
0,0.0,3,3,0,0
0,0.0,3,3,0,0
0,0.0,3,3,0,0
-7,0.0,3,3,0,0
0,0.0,3,3,0,0
0,0.0,3,3,0,0
0,0.0,3,3,0,0
0,0.0,3,3,0,0
0,0.0,3,3,0,0
-3,0.0,3,3,0,0
0,0.0,3,3,0,0
0,0.0,3,3,0,0
0,0.0,3,3,0,0
-5,0.0,3,3,0,0
0,0.0,3,3,0,0
0,0.0,3,3,0,0
-3,0.0,3,3,0,0
0,0.0,3,3,0,0
0,0.0,3,3,0,0
0,0.0,3,3,0,0
0,0.0,3,3,0,0
0,0.0,3,3,0,0
0,0.0,3,3,0,0
0,0.0,3,3,0,0
0,0.0,3,3,0,0
-3,0.0,3,3,0,0
0,0.0,3,3,0,0
0,0.0,3,3,0,0
-3,0.0,3,3,0,0
142,4900.0,3,3,1,0
-65,4900.0,3,3,1,0
29,4900.0,3,3,1,0
-7,4900.0,3,3,1,0
2,4900.0,3,3,1,0
2,4900.0,3,3,1,0
0,4900.0,3,3,1,0
2,4900.0,3,3,1,0
-3,4900.0,3,3,1,0
2,4900.0,3,3,1,0
0,4900.0,3,3,1,0
0,4900.0,3,3,1,0
2,4900.0,3,3,1,0
0,4900.0,3,3,1,0
2,4900.0,3,3,1,0
0,4900.0,3,3,1,0
0,4900.0,3,3,1,0
2,4900.0,3,3,1,0
0,4900.0,3,3,1,0
0,4900.0,3,3,1,0
0,4900.0,3,3,1,0
0,4900.0,3,3,1,0
0,4900.0,3,3,1,0
0,4900.0,3,3,1,0
0,4900.0,3,3,1,0
2,4900.0,3,3,1,0
0,4900.0,3,3,1,0
0,4900.0,3,3,1,0
0,4900.0,3,3,1,0
0,4900.0,3,3,1,0
0,4900.0,3,3,1,0
0,4900.0,3,3,1,0
0,4900.0,3,3,1,0
2,4900.0,3,3,1,0
0,4900.0,3,3,1,0
0,4900.0,3,3,1,0
0,4900.0,3,3,1,0
0,4900.0,3,3,1,0
-78,0.0,3,3,0,0
18,0.0,3,3,0,0
25,0.0,3,3,0,0
6,0.0,3,3,0,0
0,0.0,3,3,0,0
0,0.0,3,3,0,0
0,0.0,3,3,0,0
0,0.0,3,3,0,0
0,0.0,3,3,0,0
0,0.0,3,3,0,0
0,0.0,3,3,0,0
0,0.0,3,3,0,0
0,0.0,3,3,0,0
0,0.0,3,3,0,0
0,0.0,3,3,0,0
-3,0.0,3,3,0,0
-3,0.0,3,3,0,0
-3,0.0,3,3,0,0
0,0.0,3,3,0,0
0,0.0,3,3,0,0
0,0.0,3,3,0,0
0,0.0,3,3,0,0
0,0.0,3,3,0,0
-3,0.0,3,3,0,0
0,0.0,3,3,0,0
0,0.0,3,3,0,0
0,0.0,3,3,0,0
-5,0.0,3,3,0,0
-3,0.0,3,3,0,0
0,0.0,3,3,0,0
0,0.0,3,3,0,0
0,0.0,3,3,0,0
0,0.0,3,3,0,0
0,0.0,3,3,0,0
0,0.0,3,3,0,0
0,0.0,3,3,0,0
-3,0.0,3,3,0,0
0,0.0,3,3,0,0
0,0.0,3,3,0,0
0,0.0,3,3,0,0
-5,0.0,3,3,0,0
0,0.0,3,3,0,0
0,0.0,3,3,0,0
0,0.0,3,3,0,0
0,0.0,3,3,0,0
0,0.0,3,3,0,0
0,0.0,3,3,0,0
12,4900.0,3,3,1,0
20,4900.0,3,3,1,0
0,4900.0,3,3,1,0
-5,4900.0,3,3,1,0
6,4900.0,3,3,1,0
-3,4900.0,3,3,1,0
2,4900.0,3,3,1,0
2,4900.0,3,3,1,0
2,4900.0,3,3,1,0
2,4900.0,3,3,1,0
