bullet_cnt,fric1_rpm,fric2_rpm,local_heat,shoot_mode,trigger_cur,trigger_ecd_fdb,trigger_ecd_set,trigger_spd
97,4848,-4891,0.0,2,0,3417693,3417693,0.0
97,4907,-4847,0.0,2,0,3417693,3417693,0.0
97,4861,-4910,0.0,2,0,3417693,3417693,0.0
97,4877,-4899,0.0,2,0,3417693,3417693,0.0
97,4913,-4891,0.0,2,0,3417693,3417693,0.0
97,4865,-4912,0.0,2,0,3417693,3417693,0.0
97,4911,-4849,0.0,2,0,3417693,3417693,0.0
97,4869,-4897,0.0,2,0,3417693,3417693,0.0
97,4867,-4906,0.0,2,0,3417693,3417693,0.0
97,4892,-4872,0.0,2,0,3417693,3417693,0.0
97,4873,-4922,0.0,2,0,3417693,3417693,0.0
97,4903,-4885,0.0,2,0,3417693,3417693,0.0
97,4882,-4847,0.0,2,0,3417693,3417693,0.0
97,4861,-4887,0.0,2,0,3417693,3417693,0.0
97,4877,-4860,0.0,2,0,3417693,3417693,0.0
97,4915,-4868,0.0,2,0,3417693,3417693,0.0
97,4867,-4908,0.0,2,0,3417693,3417693,0.0
97,4915,-4864,0.0,2,0,3417693,3417693,0.0
97,4871,-4889,0.0,2,0,3417693,3417693,0.0
97,4871,-4906,0.0,2,0,3417693,3417693,0.0
97,4892,-4853,0.0,2,0,3417693,3417693,0.0
97,4873,-4922,0.0,2,0,3417693,3417693,0.0
97,4900,-4880,0.0,2,0,3417693,3417693,0.0
97,4882,-4899,0.0,2,0,3417693,3417693,0.0
97,4882,-4916,0.0,2,0,3417693,3417693,0.0
97,4892,-4849,0.0,2,0,3417693,3417693,0.0
97,4873,-4912,0.0,2,0,3417693,3417693,0.0
97,4909,-4893,0.0,2,0,3417693,3417693,0.0
97,4869,-4885,0.0,2,0,3417693,3417693,0.0
97,4867,-4924,0.0,2,0,3417693,3417693,0.0
97,4867,-4843,0.0,2,0,3417693,3417693,0.0
97,4890,-4845,0.0,2,0,3417693,3417693,0.0
97,4867,-4904,0.0,2,0,3417693,3417693,0.0
97,4898,-4904,0.0,2,0,3417693,3417693,0.0
97,4879,-4883,0.0,2,0,3417693,3417693,0.0
97,4875,-4908,0.0,2,0,3417693,3417693,0.0
97,4900,-4851,0.0,2,0,3417693,3417693,0.0
97,4873,-4891,0.0,2,0,3417693,3417693,0.0
97,4907,-4908,0.0,2,0,3417693,3417693,0.0
97,4869,-4862,0.0,2,0,3417693,3417693,0.0
97,4898,-4924,0.0,2,0,3417693,3417693,0.0
97,4898,-4866,0.0,4,10000,3421329,3454557,4.261
97,4877,-4901,0.0,4,10000,3436173,3454557,16.498
98,4909,-4918,9.976,6,10000,3453627,3454557,26.563
98,4723,-4686,9.735,6,-10000,3479395,3454557,27.281
98,4819,-4809,9.495,6,-10000,3489982,3454557,10.338
98,4861,-4866,9.255,6,-10000,3483748,3454557,-7.383
98,4867,-4876,9.015,6,-10000,3465846,3454557,-19.833
98,4926,-4924,8.775,6,10000,3442050,3454557,-25.92
98,4869,-4851,8.535,6,10000,3426566,3454557,-16.041
98,4879,-4904,8.295,2,0,3426463,3426463,0.773
98,4894,-4906,8.055,2,0,3431389,3431389,5.102
98,4856,-4872,7.815,2,0,3441833,3441833,2.241
98,4926,-4920,7.575,2,0,3442172,3442172,0.214
98,4871,-4866,7.335,2,0,3442141,3442141,-0.054
98,4888,-4887,7.095,2,0,3442129,3442129,-0.01
98,4898,-4916,6.855,2,0,3442125,3442125,-0.004
98,4846,-4855,6.615,2,0,3442114,3442114,-0.013
98,4905,-4910,6.375,2,0,3442096,3442096,-0.024
98,4859,-4868,6.135,2,0,3442082,3442082,-0.014
98,4879,-4883,5.895,2,0,3442078,3442078,-0.006
98,4909,-4908,5.655,2,0,3442069,3442069,-0.011
98,4894,-4857,5.415,2,0,3442067,3442067,-0.002
98,4856,-4891,5.175,2,0,3442060,3442060,-0.01
98,4926,-4878,4.935,2,0,3442052,3442052,-0.011
98,4867,-4883,4.695,2,0,3442026,3442026,-0.032
98,4886,-4889,4.455,2,0,3441907,3441907,-0.138
98,4903,-4933,4.215,2,0,3441707,3441707,-0.232
98,4846,-4845,3.975,2,0,3441624,3441624,-0.074
98,4903,-4910,3.735,2,0,3441624,3441624,0.004
98,4859,-4885,3.495,2,0,3441624,3441624,0.0
98,4877,-4883,3.255,2,0,3441624,3441624,0.0
98,4911,-4918,3.015,2,0,3441624,3441624,0.0
98,4865,-4849,2.775,2,0,3441624,3441624,0.0
98,4913,-4889,2.535,2,0,3441624,3441624,0.0
98,4867,-4893,2.295,4,10000,3441635,3478488,0.001
98,4869,-4878,2.055,4,10000,3446990,3478488,6.331
98,4892,-4910,1.815,4,10000,3462396,3478488,17.117
99,4637,-4673,11.575,6,-10000,3485781,3478488,25.536
99,4817,-4801,11.335,6,-10000,3507565,3478488,21.274
99,4777,-4772,11.095,6,-10000,3511639,3478488,2.9
99,4840,-4841,10.855,2,0,3507186,3507186,-5.065
99,4854,-4860,10.615,2,0,3503490,3503490,-3.884
99,4909,-4857,10.375,2,0,3500482,3500482,-3.184
99,4882,-4880,10.135,2,0,3498285,3498285,-2.289
99,4875,-4853,9.895,2,0,3496675,3496675,-1.68
99,4909,-4893,9.655,2,0,3495578,3495578,-1.08
99,4844,-4893,9.415,2,0,3495117,3495117,-0.443
99,4903,-4862,9.175,2,0,3494970,3494970,-0.148
99,4871,-4885,8.935,2,0,3494971,3494971,0.003
99,4879,-4845,8.695,2,0,3494972,3494972,0.0
99,4921,-4895,8.455,2,0,3494972,3494972,0.0
99,4854,-4906,8.215,2,0,3494973,3494973,0.0
99,4894,-4868,7.975,2,0,3494978,3494978,0.001
99,4911,-4910,7.735,2,0,3494981,3494981,0.0
99,4888,-4855,7.495,2,0,3494984,3494984,0.001
99,4879,-4887,7.255,2,0,3494985,3494985,0.0
99,4911,-4908,7.015,2,0,3494985,3494985,0.0
99,4844,-4853,6.775,2,0,3494991,3494991,0.004
99,4900,-4855,6.535,2,0,3494991,3494991,0.0
99,4873,-4878,6.295,2,0,3494991,3494991,0.0
99,4882,-4868,6.055,2,0,3494991,3494991,0.0
99,4923,-4868,5.815,2,0,3494995,3494995,0.004
99,4854,-4887,5.575,2,0,3494995,3494995,0.0
99,4892,-4855,5.335,2,0,3494995,3494995,0.0
99,4873,-4897,5.095,2,0,3494995,3494995,0.0
99,4869,-4885,4.855,2,0,3494995,3494995,0.0
99,4930,-4872,4.615,2,0,3494995,3494995,0.0
99,4867,-4887,4.375,2,0,3494995,3494995,0.0
99,4900,-4845,4.135,4,10000,3495009,3531859,0.001
99,4875,-4901,3.895,4,10000,3501960,3531859,7.992
99,4867,-4904,3.655,4,10000,3519487,3531859,18.895
100,4882,-4878,13.415,6,-10000,3544041,3531859,27.268
100,4775,-4730,13.175,6,-10000,3561657,3531859,18.077
100,4854,-4849,12.935,6,-10000,3563725,3531859,1.163
100,4875,-4912,12.695,6,-10000,3551799,3531859,-12.966
100,4856,-4889,12.455,6,10000,3529097,3531859,-24.661
100,4917,-4847,12.215,6,10000,3506484,3531859,-23.776
100,4867,-4918,11.975,6,10000,3500023,3531859,-5.826
100,4892,-4889,11.735,2,0,3503942,3503942,4.955
100,4882,-4895,11.495,2,0,3506052,3506052,2.144
100,4884,-4912,11.255,2,0,3506173,3506173,-0.01
100,4907,-4847,11.015,2,0,3506122,3506122,-0.058
100,4882,-4901,10.775,2,0,3506119,3506119,-0.003
100,4896,-4904,10.535,2,0,3506115,3506115,-0.004
100,4873,-4876,10.295,2,0,3506109,3506109,-0.009
100,4871,-4920,10.055,2,0,3506089,3506089,-0.026
100,4865,-4853,9.815,2,0,3506029,3506029,-0.077
100,4915,-4901,9.575,2,0,3506026,3506026,-0.004
100,4873,-4910,9.335,2,0,3506023,3506023,-0.003
100,4888,-4862,9.095,2,0,3506018,3506018,-0.006
100,4882,-4918,8.855,2,0,3505999,3505999,-0.026
100,4882,-4874,8.615,2,0,3505928,3505928,-0.09
100,4907,-4860,8.375,2,0,3505929,3505929,0.0
100,4884,-4885,8.135,2,0,3505929,3505929,0.0
100,4898,-4908,7.895,2,0,3505929,3505929,0.0
100,4875,-4853,7.655,2,0,3505929,3505929,0.0
100,4869,-4922,7.415,4,10000,3507399,3542793,1.574
100,4903,-4880,7.175,4,10000,3517517,3542793,11.264
100,4867,-4897,6.935,4,10000,3537642,3542793,21.927
