bullet_cnt,fric1_rpm,local_heat,shoot_mode,trigger_cur,trigger_ecd_fdb,trigger_ecd_set,trigger_spd
5,4850,0.0,2,0,219382,219382,0.0
5,4907,0.0,2,0,219382,219382,0.0
5,4856,0.0,2,0,219382,219382,0.0
5,4884,0.0,2,0,219382,219382,0.0
5,4903,0.0,2,0,219382,219382,0.0
5,4867,0.0,2,0,219382,219382,0.0
5,4913,0.0,2,0,219382,219382,0.0
5,4867,0.0,2,0,219382,219382,0.0
5,4877,0.0,2,0,219382,219382,0.0
5,4890,0.0,2,0,219382,219382,0.0
5,4877,0.0,2,0,219382,219382,0.0
5,4905,0.0,2,0,219382,219382,0.0
5,4882,0.0,2,0,219382,219382,0.0
5,4886,0.0,2,0,219382,219382,0.0
5,4886,0.0,2,0,219382,219382,0.0
5,4905,0.0,2,0,219382,219382,0.0
5,4867,0.0,2,0,219382,219382,0.0
5,4911,0.0,2,0,219382,219382,0.0
5,4865,0.0,2,0,219382,219382,0.0
5,4873,0.0,2,0,219382,219382,0.0
5,4892,0.0,2,0,219382,219382,0.0
5,4875,0.0,2,0,219382,219382,0.0
5,4900,0.0,2,0,219382,219382,0.0
5,4879,0.0,2,0,219382,219382,0.0
5,4884,0.0,2,0,219382,219382,0.0
5,4890,0.0,2,0,219382,219382,0.0
5,4875,0.0,2,0,219382,219382,0.0
5,4909,0.0,2,0,219382,219382,0.0
5,4867,0.0,2,0,219382,219382,0.0
5,4907,0.0,2,0,219382,219382,0.0
5,4888,0.0,2,0,219382,219382,0.0
5,4879,0.0,2,0,219382,219382,0.0
5,4875,0.0,2,0,219382,219382,0.0
5,4900,0.0,2,0,219382,219382,0.0
5,4879,0.0,2,0,219382,219382,0.0
5,4879,0.0,2,0,219382,219382,0.0
5,4896,0.0,2,0,219382,219382,0.0
5,4875,0.0,2,0,219382,219382,0.0
5,4909,0.0,2,0,219382,219382,0.0
5,4869,0.0,4,10000,223072,256246,4.445
5,4896,0.0,4,10000,237881,256246,16.619
6,4647,9.903,6,-10000,262112,256246,25.079
6,4842,9.663,6,-10000,282822,256246,21.844
6,4681,9.423,6,-10000,284792,256246,1.148
