evt_cmd_shoot_toggle,evt_fn1_cur,fric1_rpm,fric2_rpm,fric_set,high_freq,shoot_mode
0,0,0,-3,0.0,0,0
0,0,0,0,0.0,0,0
0,0,0,0,0.0,0,0
0,0,0,0,0.0,0,0
0,0,0,0,0.0,0,0
0,0,0,0,0.0,0,0
0,0,0,0,0.0,0,0
0,0,0,0,0.0,0,0
0,0,0,0,0.0,0,0
0,0,0,0,0.0,0,0
0,0,0,0,0.0,0,0
0,0,0,0,0.0,0,0
0,0,0,0,0.0,0,0
0,0,0,0,0.0,0,0
0,0,0,0,0.0,0,0
0,0,0,0,0.0,0,0
0,0,0,0,0.0,0,0
0,0,0,0,0.0,0,0
0,0,0,0,0.0,0,0
0,0,0,0,0.0,0,0
0,0,-3,0,0.0,0,0
0,1,0,0,0.0,0,0
0,1,0,0,0.0,0,0
0,1,0,0,0.0,0,0
0,1,0,-3,0.0,0,0
0,1,0,0,0.0,0,0
0,1,0,0,0.0,0,0
0,1,-3,0,0.0,0,0
0,1,0,0,0.0,0,0
0,1,0,2,0.0,0,0
0,0,615,-612,4900.0,0,1
0,0,1437,-1392,4900.0,0,1
0,0,2333,-2240,4900.0,0,1
0,0,3216,-3052,4900.0,0,1
0,0,4126,-3905,4900.0,0,1
0,0,4660,-4552,4900.0,0,1
0,0,4802,-4805,4900.0,0,2
0,0,4882,-4841,4900.0,0,2
0,0,4856,-4872,4900.0,0,2
0,0,4903,-4847,4900.0,0,2
0,0,4871,-4891,4900.0,0,2
0,0,4852,-4897,4900.0,0,2
0,0,4905,-4862,4900.0,0,2
0,0,4865,-4887,4900.0,0,2
0,0,4894,-4847,4900.0,0,2
0,0,4886,-4893,4900.0,0,2
0,0,4867,-4906,4900.0,0,2
0,0,4911,-4864,4900.0,0,2
0,0,4873,-4910,4900.0,0,2
0,0,4867,-4857,4900.0,0,2
0,0,4903,-4891,4900.0,0,2
0,0,4871,-4883,4900.0,0,2
0,0,4848,-4901,4900.0,0,2
0,0,4907,-4857,4900.0,0,2
0,0,4859,-4889,4900.0,0,2
0,0,4892,-4870,4900.0,0,2
0,0,4886,-4870,4900.0,0,2
0,0,4865,-4887,4900.0,0,2
0,0,4913,-4853,4900.0,0,2
0,0,4871,-4899,4900.0,0,2
0,0,4896,-4883,4900.0,0,2
0,0,4879,-4872,4900.0,0,2
0,0,4886,-4889,4900.0,0,2
0,0,4907,-4845,4900.0,0,2
0,0,4909,-4904,4900.0,0,2
0,0,4900,-4889,4900.0,0,2
0,0,4865,-4904,4900.0,0,2
0,0,4892,-4849,4900.0,0,2
0,0,4861,-4878,4900.0,0,2
0,0,4913,-4853,4900.0,0,2
0,0,4871,-4889,4900.0,0,2
0,0,4890,-4901,4900.0,0,2
