evt_dial_neg,evt_dial_pos,fric1_rpm,fric_set,shoot_mode
0,0,4911,4900.0,2
0,0,4888,4900.0,2
0,0,4877,4900.0,2
0,0,4913,4900.0,2
0,0,4844,4900.0,2
0,0,4903,4900.0,2
0,0,4871,4900.0,2
0,0,4879,4900.0,2
0,0,4923,4900.0,2
0,0,4856,4900.0,2
0,0,4869,4900.0,2
0,0,4913,4900.0,2
0,0,4884,4900.0,2
0,0,4875,4900.0,2
0,0,4911,4900.0,2
0,0,4846,4900.0,2
0,0,4900,4900.0,2
0,0,4871,4900.0,2
0,0,4882,4900.0,2
0,0,4923,4900.0,2
0,0,4852,4900.0,2
0,0,4894,4900.0,2
0,0,4871,4900.0,2
0,0,4873,4900.0,2
0,0,4932,4900.0,2
0,0,4913,4900.0,2
0,0,4838,4900.0,2
0,0,4903,4900.0,2
0,0,4871,4900.0,2
0,0,4879,4900.0,2
0,0,4926,4900.0,2
0,0,4852,4900.0,2
0,0,4898,4900.0,2
0,0,4871,4900.0,2
0,0,4869,4900.0,2
0,0,4930,4900.0,2
0,0,4867,4900.0,2
0,0,4905,4900.0,2
0,0,4875,4900.0,2
0,0,4871,4900.0,2
0,0,4882,4900.0,2
0,0,4923,4900.0,2
0,0,4852,4900.0,2
0,0,4896,4900.0,2
0,0,4871,4900.0,2
0,0,4869,4900.0,2
0,0,4930,4900.0,2
0,0,4867,4900.0,2
0,0,4903,4900.0,2
0,0,4873,4900.0,2
0,0,4852,4900.0,2
0,0,4905,4900.0,2
0,0,4861,4900.0,2
0,0,4854,4900.0,2
0,0,4898,4900.0,2
0,0,4871,4900.0,2
0,1,4911,5000.0,2
0,1,4969,5000.0,2
0,1,4995,5000.0,2
0,1,4942,5000.0,2
0,1,5026,5000.0,2
0,1,5016,5100.0,2
0,1,5026,5100.0,2
0,1,5066,5100.0,2
0,1,5080,5100.0,2
0,1,5112,5100.0,2
0,1,5133,5200.0,2
0,1,5152,5200.0,2
0,1,5158,5200.0,2
0,1,5168,5200.0,2
0,1,5200,5200.0,2
0,1,5260,5300.0,2
0,1,5262,5300.0,2
0,1,5231,5300.0,2
0,1,5300,5300.0,2
0,1,5308,5300.0,2
0,1,5265,5400.0,2
0,1,5388,5400.0,2
0,1,5346,5400.0,2
0,1,5436,5400.0,2
0,1,5363,5400.0,2
0,1,5419,5500.0,2
0,1,5419,5500.0,2
0,1,5474,5500.0,2
0,1,5505,5500.0,2
0,1,5503,5500.0,2
0,1,5480,5600.0,2
0,1,5520,5600.0,2
0,1,5541,5600.0,2
0,1,5539,5600.0,2
0,1,5570,5600.0,2
0,1,5595,5700.0,2
0,1,5664,5700.0,2
0,1,5714,5700.0,2
0,1,5689,5700.0,2
0,1,5694,5700.0,2
0,1,5650,5800.0,2
0,1,5756,5800.0,2
0,1,5758,5800.0,2
0,1,5773,5800.0,2
0,1,5781,5800.0,2
0,1,5800,5900.0,2
0,1,5842,5900.0,2
0,1,5894,5900.0,2
0,1,5899,5900.0,2
0,1,5867,5900.0,2
0,1,5901,6000.0,2
0,1,5976,6000.0,2
0,1,5995,6000.0,2
0,1,5980,6000.0,2
0,1,5980,6000.0,2
0,1,5974,6100.0,2
0,1,6045,6100.0,2
0,1,6087,6100.0,2
0,1,6099,6100.0,2
0,1,6097,6100.0,2
0,1,6085,6200.0,2
0,1,6139,6200.0,2
0,1,6177,6200.0,2
0,1,6173,6200.0,2
0,1,6181,6200.0,2
0,1,6177,6300.0,2
0,1,6242,6300.0,2
0,1,6275,6300.0,2
0,1,6286,6300.0,2
0,1,6286,6300.0,2
0,1,6290,6300.0,2
0,1,6355,6400.0,2
0,1,6369,6400.0,2
0,1,6372,6400.0,2
0,1,6372,6400.0,2
0,1,6369,6400.0,2
0,1,6441,6500.0,2
0,1,6485,6500.0,2
0,1,6489,6500.0,2
0,1,6491,6500.0,2
0,1,6474,6500.0,2
0,1,6531,6600.0,2
0,1,6562,6600.0,2
0,1,6585,6600.0,2
0,1,6587,6600.0,2
0,1,6566,6600.0,2
0,1,6627,6700.0,2
0,1,6658,6700.0,2
0,1,6696,6700.0,2
0,1,6671,6700.0,2
0,1,6685,6700.0,2
0,1,6731,6800.0,2
0,1,6750,6800.0,2
0,1,6784,6800.0,2
0,1,6790,6800.0,2
0,1,6801,6800.0,2
0,1,6824,6900.0,2
0,1,6842,6900.0,2
0,1,6876,6900.0,2
0,1,6884,6900.0,2
0,1,6876,6900.0,2
0,1,6926,7000.0,2
0,1,6989,7000.0,2
0,1,6955,7000.0,2
0,1,6960,7000.0,2
0,1,7016,7000.0,2
0,1,7001,7100.0,2
0,1,7045,7100.0,2
0,1,7100,7100.0,2
0,1,7047,7100.0,2
0,1,7114,7100.0,2
0,1,7112,7200.0,2
0,1,7154,7200.0,2
0,1,7215,7200.0,2
0,1,7175,7200.0,2
0,1,7171,7200.0,2
0,1,7209,7300.0,2
0,1,7261,7300.0,2
0,1,7292,7300.0,2
0,1,7288,7300.0,2
0,1,7301,7300.0,2
0,1,7328,7400.0,2
0,1,7378,7400.0,2
0,1,7351,7400.0,2
0,1,7366,7400.0,2
0,1,7399,7400.0,2
0,1,7407,7500.0,2
0,1,7449,7500.0,2
0,1,7474,7500.0,2
0,1,7487,7500.0,2
0,1,7470,7500.0,2
0,1,7512,7600.0,2
0,1,7552,7600.0,2
0,1,7564,7600.0,2
0,1,7579,7600.0,2
0,1,7602,7600.0,2
0,1,7587,7700.0,2
0,1,7658,7700.0,2
0,1,7709,7700.0,2
0,1,7694,7700.0,2
0,1,7700,7700.0,2
0,1,7688,7800.0,2
0,1,7769,7800.0,2
0,1,7795,7800.0,2
0,1,7788,7800.0,2
0,1,7780,7800.0,2
0,1,7757,7900.0,2
0,1,7864,7900.0,2
0,1,7908,7900.0,2
0,1,7861,7900.0,2
0,1,7901,7900.0,2
0,1,7897,8000.0,2
0,1,7920,8000.0,2
0,1,7993,8000.0,2
0,1,7993,8000.0,2
0,1,7954,8000.0,2
0,1,8010,8000.0,2
0,1,7981,8000.0,2
0,1,7966,8000.0,2
0,1,8000,8000.0,2
0,1,7966,8000.0,2
0,1,7981,8000.0,2
0,1,8004,8000.0,2
0,1,7981,8000.0,2
0,1,7995,8000.0,2
0,1,7995,8000.0,2
0,1,7991,8000.0,2
0,1,7993,8000.0,2
0,1,7981,8000.0,2
0,1,7997,8000.0,2
0,1,7983,8000.0,2
0,1,7974,8000.0,2
0,1,7997,8000.0,2
0,0,7970,8000.0,2
0,0,7981,8000.0,2
0,0,8012,8000.0,2
0,0,7962,8000.0,2
0,0,7985,8000.0,2
0,0,8000,8000.0,2
0,0,7956,8000.0,2
0,0,7993,8000.0,2
0,0,7979,8000.0,2
0,0,7968,8000.0,2
0,0,8004,8000.0,2
0,0,7966,8000.0,2
0,0,7989,8000.0,2
0,0,8004,8000.0,2
0,0,7970,8000.0,2
0,0,8000,8000.0,2
0,0,7966,8000.0,2
0,0,7979,8000.0,2
0,0,7983,8000.0,2
0,0,7949,8000.0,2
