evt_cmd_reverse_trigger,evt_fn2_cur,shoot_mode,trigger_cur,trigger_spd
0,0,2,0,0.0
0,0,2,0,0.0
0,0,2,0,0.0
0,0,2,0,0.0
0,0,2,0,0.0
0,0,2,0,0.0
0,0,2,0,0.0
0,0,2,0,0.0
0,0,2,0,0.0
0,0,2,0,0.0
0,0,2,0,0.0
0,0,2,0,0.0
0,0,2,0,0.0
0,0,2,0,0.0
0,0,2,0,0.0
0,0,2,0,0.0
0,0,2,0,0.0
0,0,2,0,0.0
0,0,2,0,0.0
0,0,2,0,0.0
0,0,2,0,0.0
0,0,2,0,0.0
0,0,2,0,0.0
0,0,2,0,0.0
0,0,2,0,0.0
0,0,2,0,0.0
0,0,2,0,0.0
0,0,2,0,0.0
0,0,2,0,0.0
0,0,2,0,0.0
0,0,2,0,0.0
0,0,2,0,0.0
0,0,2,0,0.0
0,0,2,0,0.0
0,0,2,0,0.0
0,0,2,0,0.0
0,0,2,0,0.0
0,0,2,0,0.0
0,0,2,0,0.0
0,0,2,0,0.0
0,0,2,0,0.0
0,0,2,0,0.0
0,0,2,0,0.0
0,0,2,0,0.0
0,0,2,0,0.0
0,0,2,0,0.0
0,0,2,0,0.0
0,0,2,0,0.0
0,0,2,0,0.0
0,1,2,0,0.0
0,1,2,0,0.0
0,1,2,0,0.0
0,1,2,0,0.0
0,1,2,0,0.0
0,1,2,0,0.0
0,1,2,0,0.0
0,1,2,0,0.0
0,1,2,0,0.0
0,1,2,0,0.0
0,1,2,0,0.0
0,1,2,0,0.0
0,1,2,0,0.0
0,1,2,0,0.0
0,1,2,0,0.0
1,1,2,-2775,0.0
1,1,2,-3555,0.0
1,1,2,-4335,0.0
1,1,2,-5115,0.0
1,1,2,-5895,0.0
1,1,2,-6675,0.0
1,1,2,-7455,0.0
1,1,2,-7600,0.0
1,1,2,-7600,0.0
1,1,2,-7600,0.0
1,1,2,-7600,0.0
1,1,2,-7600,0.0
1,1,2,-7600,0.0
1,1,2,-7600,0.0
1,1,2,-7600,0.0
1,1,2,-7600,0.0
1,1,2,-7600,0.0
1,1,2,-7600,0.0
1,1,2,-7600,0.0
1,1,2,-7600,0.0
1,1,2,-7600,0.0
1,1,2,-7600,0.0
1,1,2,-7600,0.0
1,1,2,-7600,0.0
1,1,2,-7600,0.0
1,1,2,-7600,0.0
1,1,2,-7600,0.0
1,1,2,-7600,0.0
1,1,2,-7600,0.0
1,1,2,-7600,0.0
1,1,2,-7600,0.0
0,0,2,-5000,0.0
0,0,2,-5000,0.0
0,0,2,-5000,0.0
0,0,2,-5000,0.0
0,0,2,-5000,0.0
0,0,2,-5000,0.0
0,0,2,-5000,0.0
0,0,2,-5000,0.0
0,0,2,-5000,0.0
0,0,2,-5000,0.0
0,0,2,-5000,0.0
0,0,2,-5000,0.0
0,0,2,-5000,0.0
0,0,2,-5000,0.0
0,0,2,-5000,0.0
0,0,2,-5000,0.0
