fric1_rpm,fric_set,high_freq,key_v,shoot_mode
4892,4900.0,0,0,2
4877,4900.0,0,0,2
4907,4900.0,0,0,2
4882,4900.0,0,0,2
4886,4900.0,0,0,2
4888,4900.0,0,0,2
4869,4900.0,0,0,2
4907,4900.0,0,0,2
4869,4900.0,0,0,2
4905,4900.0,0,0,2
4890,4900.0,0,0,2
4892,4900.0,0,0,2
4877,4900.0,0,0,2
4905,4900.0,0,0,2
4882,4900.0,0,0,2
4884,4900.0,0,0,2
4892,4900.0,0,0,2
4873,4900.0,0,0,2
4909,4900.0,0,0,2
4867,4900.0,0,0,2
4905,4900.0,0,0,2
4890,4900.0,0,0,2
4875,4900.0,0,0,2
4911,4900.0,0,0,2
4844,4900.0,0,0,2
4892,4900.0,0,0,2
4882,4900.0,0,0,2
4894,4900.0,0,0,2
4873,4900.0,0,0,2
4905,4900.0,0,0,2
4869,4900.0,0,0,2
4907,4900.0,0,0,2
4892,4900.0,0,0,2
4877,4900.0,0,0,2
4915,4900.0,0,0,2
4844,4900.0,0,0,2
4892,4900.0,0,0,2
4873,4900.0,0,0,2
4877,4900.0,0,0,2
4928,4900.0,0,0,2
4859,4900.0,0,0,2
4869,4900.0,0,0,2
4905,4900.0,0,0,2
4892,4900.0,0,0,2
4877,4900.0,0,0,2
4913,4900.0,0,0,2
4844,4900.0,0,0,2
4892,4900.0,0,0,2
4875,4900.0,0,0,2
4879,4900.0,0,0,2
4926,4900.0,0,0,2
4861,4900.0,0,0,2
4890,4900.0,0,0,2
4879,4900.0,0,0,2
4869,4900.0,0,0,2
4934,4900.0,0,0,2
4913,4900.0,0,0,2
4844,4900.0,0,0,2
4892,4900.0,0,0,2
4877,4900.0,0,0,2
4877,4900.0,0,0,2
4928,4900.0,0,0,2
4861,4900.0,0,0,2
4892,4900.0,0,0,2
4879,4900.0,0,0,2
4867,4900.0,0,0,2
4932,4900.0,0,0,2
4871,4900.0,0,0,2
4898,4900.0,0,0,2
4884,4900.0,0,0,2
4848,4900.0,0,0,2
4877,4900.0,0,0,2
4926,4900.0,0,0,2
4859,4900.0,0,0,2
4888,4900.0,0,0,2
4882,4900.0,0,0,2
4865,4900.0,0,0,2
4934,4900.0,0,0,2
4869,4900.0,0,0,2
4896,4900.0,0,0,2
4884,4900.0,0,0,2
4846,4900.0,0,0,2
4909,4900.0,0,0,2
4859,4900.0,0,0,2
4884,4900.0,0,0,2
4894,4900.0,0,0,2
4863,4900.0,0,0,2
4863,4900.0,0,0,2
4936,4900.0,0,0,2
4871,4900.0,0,0,2
4894,4900.0,0,0,2
4886,4900.0,0,0,2
4844,4900.0,0,0,2
4909,4900.0,0,0,2
4859,4900.0,0,0,2
4886,4900.0,0,0,2
4894,4900.0,0,0,2
4863,4900.0,0,0,2
4915,4900.0,0,0,2
4871,4900.0,0,0,2
4892,4900.0,0,0,2
4894,4900.0,0,0,2
4886,4900.0,0,0,2
4844,4900.0,0,0,2
4907,4900.0,0,0,2
4859,4900.0,0,0,2
4884,4900.0,0,0,2
4894,4900.0,0,0,2
4865,4900.0,0,0,2
4917,4900.0,0,0,2
4869,4900.0,0,0,2
4888,4900.0,0,0,2
4884,4900.0,0,0,2
4884,4900.0,0,0,2
4907,4900.0,0,0,2
4882,4900.0,0,0,2
4896,4900.0,0,0,2
4875,4900.0,0,0,2
4896,4900.0,0,0,2
4865,4900.0,0,0,2
4919,4900.0,0,0,2
4873,4900.0,0,0,2
4892,4900.0,0,0,2
4882,4900.0,0,0,2
4884,4900.0,0,0,2
4909,4900.0,0,0,2
4882,4900.0,0,0,2
4900,4900.0,0,0,2
4871,4900.0,0,0,2
4873,4900.0,0,0,2
4900,4900.0,0,0,2
4869,4900.0,0,0,2
4869,4900.0,0,0,2
4890,4900.0,0,0,2
4884,4900.0,0,0,2
4879,4900.0,1,8192,2
4907,4900.0,1,8192,2
4884,4900.0,1,8192,2
4896,4900.0,1,8192,2
4871,4900.0,1,8192,2
4871,4900.0,1,0,2
4900,4900.0,1,0,2
4867,4900.0,1,0,2
4915,4900.0,1,0,2
4882,4900.0,1,0,2
4877,4900.0,1,0,2
4911,4900.0,1,0,2
4846,4900.0,1,0,2
4909,4900.0,1,0,2
4898,4900.0,1,0,2
4875,4900.0,1,0,2
4869,4900.0,1,0,2
4905,4900.0,1,0,2
4867,4900.0,1,0,2
4911,4900.0,1,0,2
4884,4900.0,1,0,2
4875,4900.0,1,0,2
4911,4900.0,1,0,2
4844,4900.0,1,0,2
4907,4900.0,1,0,2
4871,4900.0,1,0,2
4879,4900.0,1,0,2
4919,4900.0,1,0,2
4852,4900.0,1,0,2
4898,4900.0,1,0,2
4871,4900.0,1,0,2
4884,4900.0,1,0,2
4877,4900.0,1,0,2
4911,4900.0,1,0,2
4848,4900.0,1,0,2
4909,4900.0,1,0,2
4873,4900.0,1,0,2
4882,4900.0,1,0,2
4919,4900.0,1,0,2
4852,4900.0,1,0,2
4896,4900.0,0,8192,2
4869,4900.0,0,8192,2
4871,4900.0,0,8192,2
4926,4900.0,0,8192,2
4867,4900.0,0,8192,2
4907,4900.0,0,8192,2
4909,4900.0,0,0,2
4871,4900.0,0,0,2
4884,4900.0,0,0,2
4921,4900.0,0,0,2
4852,4900.0,0,0,2
4898,4900.0,0,0,2
4869,4900.0,0,0,2
4871,4900.0,0,0,2
4926,4900.0,0,0,2
4867,4900.0,0,0,2
4907,4900.0,0,0,2
4871,4900.0,0,0,2
4854,4900.0,0,0,2
4905,4900.0,0,0,2
4863,4900.0,0,0,2
4896,4900.0,0,0,2
4898,4900.0,0,0,2
4871,4900.0,0,0,2
4867,4900.0,0,0,2
4928,4900.0,0,0,2
4867,4900.0,0,0,2
4903,4900.0,0,0,2
4877,4900.0,0,0,2
4850,4900.0,0,0,2
4905,4900.0,0,0,2
4863,4900.0,0,0,2
4894,4900.0,0,0,2
4884,4900.0,1,8192,2
4867,4900.0,1,8192,2
4911,4900.0,1,8192,2
4871,4900.0,1,8192,2
4905,4900.0,1,8192,2
4903,4900.0,1,8192,2
4875,4900.0,1,0,2
4848,4900.0,1,0,2
4907,4900.0,1,0,2
4865,4900.0,1,0,2
4894,4900.0,1,0,2
4888,4900.0,1,0,2
4867,4900.0,1,0,2
4911,4900.0,1,0,2
4871,4900.0,1,0,2
4903,4900.0,1,0,2
4873,4900.0,1,0,2
4892,4900.0,1,0,2
4903,4900.0,1,0,2
4882,4900.0,1,0,2
4909,4900.0,1,0,2
4894,4900.0,1,0,2
4886,4900.0,1,0,2
4867,4900.0,1,0,2
4915,4900.0,1,0,2
4873,4900.0,1,0,2
4903,4900.0,1,0,2
4875,4900.0,1,0,2
4890,4900.0,1,0,2
4907,4900.0,1,0,2
4882,4900.0,1,0,2
4903,4900.0,1,0,2
4856,4900.0,1,0,2
4873,4900.0,1,0,2
4892,4900.0,1,0,2
4869,4900.0,1,0,2
4919,4900.0,1,0,2
4903,4900.0,1,0,2
4875,4900.0,1,0,2
4886,4900.0,1,0,2
4907,4900.0,1,0,2
4882,4900.0,1,0,2
4905,4900.0,1,0,2
4865,4900.0,1,0,2
4871,4900.0,1,0,2
4894,4900.0,0,8192,2
4869,4900.0,0,8192,2
4919,4900.0,0,8192,2
4875,4900.0,0,8192,2
4877,4900.0,0,8192,2
4905,4900.0,0,8192,2
4909,4900.0,0,8192,2
4882,4900.0,0,0,2
4905,4900.0,0,0,2
4863,4900.0,0,0,2
4871,4900.0,0,0,2
4894,4900.0,0,0,2
4867,4900.0,0,0,2
4919,4900.0,0,0,2
4875,4900.0,0,0,2
4877,4900.0,0,0,2
4907,4900.0,0,0,2
4907,4900.0,0,0,2
4915,4900.0,0,0,2
4871,4900.0,0,0,2
4884,4900.0,0,0,2
4873,4900.0,0,0,2
4898,4900.0,0,0,2
4867,4900.0,0,0,2
4917,4900.0,0,0,2
4879,4900.0,0,0,2
4875,4900.0,0,0,2
4905,4900.0,0,0,2
4848,4900.0,0,0,2
4915,4900.0,0,0,2
4871,4900.0,0,0,2
4882,4900.0,0,0,2
4915,4900.0,0,0,2
4848,4900.0,0,0,2
4903,4900.0,0,0,2
4867,4900.0,0,0,2
4879,4900.0,0,0,2
4877,4900.0,0,0,2
4907,4900.0,0,0,2
4850,4900.0,0,0,2
4917,4900.0,0,0,2
4871,4900.0,0,0,2
4884,4900.0,0,0,2
4911,4900.0,0,0,2
4846,4900.0,0,0,2
4900,4900.0,0,0,2
4865,4900.0,0,0,2
4873,4900.0,0,0,2
4875,4900.0,0,0,2
4905,4900.0,0,0,2
4911,4900.0,0,0,2
4915,4900.0,0,0,2
4873,4900.0,0,0,2
4879,4900.0,0,0,2
4913,4900.0,0,0,2
4850,4900.0,0,0,2
4900,4900.0,0,0,2
4865,4900.0,0,0,2
4873,4900.0,0,0,2
4921,4900.0,0,0,2
4865,4900.0,0,0,2
4907,4900.0,0,0,2
4871,4900.0,0,0,2
4859,4900.0,0,0,2
4900,4900.0,0,0,2
4917,4900.0,0,0,2
4848,4900.0,0,0,2
4900,4900.0,0,0,2
4869,4900.0,0,0,2
4875,4900.0,0,0,2
4921,4900.0,0,0,2
4865,4900.0,0,0,2
4909,4900.0,0,0,2
4871,4900.0,0,0,2
4861,4900.0,0,0,2
4898,4900.0,0,0,2
4867,4900.0,0,0,2
4898,4900.0,0,0,2
4884,4900.0,0,0,2
4871,4900.0,0,0,2
4873,4900.0,0,0,2
4921,4900.0,0,0,2
4865,4900.0,0,0,2
4907,4900.0,0,0,2
4873,4900.0,0,0,2
4859,4900.0,0,0,2
4900,4900.0,0,0,2
4867,4900.0,0,0,2
4896,4900.0,0,0,2
4886,4900.0,0,0,2
4873,4900.0,0,0,2
4907,4900.0,0,0,2
4873,4900.0,0,0,2
4907,4900.0,0,0,2
4907,4900.0,0,0,2
4871,4900.0,0,0,2
4859,4900.0,0,0,2
4896,4900.0,0,0,2
4861,4900.0,0,0,2
4892,4900.0,0,0,2
4884,4900.0,1,8192,2
4869,4900.0,1,8192,2
4909,4900.0,1,8192,2
4871,4900.0,1,8192,2
4907,4900.0,1,8192,2
4873,4900.0,1,8192,2
4892,4900.0,1,8192,2
4905,4900.0,1,0,2
4879,4900.0,1,0,2
4865,4900.0,1,0,2
4894,4900.0,1,0,2
4884,4900.0,1,0,2
4869,4900.0,1,0,2
4911,4900.0,1,0,2
4873,4900.0,1,0,2
4905,4900.0,1,0,2
4875,4900.0,1,0,2
4890,4900.0,1,0,2
4903,4900.0,1,0,2
4882,4900.0,1,0,2
4909,4900.0,1,0,2
4854,4900.0,1,0,2
4875,4900.0,1,0,2
4888,4900.0,1,0,2
4871,4900.0,1,0,2
4926,4900.0,1,0,2
4907,4900.0,1,0,2
4873,4900.0,1,0,2
4892,4900.0,1,0,2
4905,4900.0,1,0,2
4882,4900.0,1,0,2
4909,4900.0,1,0,2
4854,4900.0,1,0,2
4875,4900.0,1,0,2
4888,4900.0,1,0,2
4871,4900.0,1,0,2
4921,4900.0,1,0,2
4873,4900.0,1,0,2
4877,4900.0,1,0,2
4898,4900.0,1,0,2
4905,4900.0,1,0,2
4882,4900.0,1,0,2
4909,4900.0,1,0,2
4854,4900.0,1,0,2
4875,4900.0,1,0,2
4890,4900.0,1,0,2
