fric1_rpm,fric_set,key_v,shoot_mode
4886,4900.0,0,2
4844,4900.0,0,2
4911,4900.0,0,2
4861,4900.0,0,2
4888,4900.0,0,2
4886,4900.0,0,2
4882,4900.0,0,2
4865,4900.0,0,2
4936,4900.0,0,2
4869,4900.0,0,2
4896,4900.0,0,2
4884,4900.0,0,2
4846,4900.0,0,2
4907,4900.0,0,2
4859,4900.0,0,2
4886,4900.0,0,2
4892,4900.0,0,2
4865,4900.0,0,2
4917,4900.0,0,2
4871,4900.0,0,2
4892,4900.0,0,2
4882,4900.0,0,2
4886,4900.0,0,2
4846,4900.0,0,2
4909,4900.0,0,2
4859,4900.0,0,2
4890,4900.0,0,2
4890,4900.0,0,2
4865,4900.0,0,2
4915,4900.0,0,2
4871,4900.0,0,2
4894,4900.0,0,2
4882,4900.0,0,2
4884,4900.0,0,2
4909,4900.0,0,2
4882,4900.0,0,2
4903,4900.0,0,2
4869,4900.0,0,2
4873,4900.0,0,2
4865,4900.0,0,2
4917,4900.0,0,2
4873,4900.0,0,2
4898,4900.0,0,2
4879,4900.0,0,2
4886,4900.0,0,2
4909,4900.0,0,2
4882,4900.0,0,2
4903,4900.0,0,2
4867,4900.0,0,2
4873,4900.0,0,2
4896,4900.0,0,2
4869,4900.0,0,2
4919,4900.0,0,2
4877,4900.0,0,2
4875,4900.0,0,2
4886,4900.0,0,2
4913,4900.0,0,2
4882,4900.0,0,2
4900,4900.0,0,2
4867,4900.0,0,2
4873,4900.0,0,2
4898,4900.0,0,2
4869,4900.0,0,2
4917,4900.0,0,2
4877,4900.0,0,2
4877,4900.0,0,2
4907,4900.0,0,2
4848,4900.0,0,2
4879,4900.0,0,2
4869,4900.0,0,2
4882,4900.0,0,2
4871,4900.0,0,2
4898,4900.0,0,2
4865,4900.0,0,2
4917,4900.0,0,2
4882,4900.0,0,2
4875,4900.0,0,2
4907,4900.0,0,2
4846,4900.0,16,2
4913,4900.0,16,2
4871,4900.0,16,2
4882,4900.0,16,2
4917,4900.0,16,2
4850,4900.0,16,2
4898,4900.0,16,2
4865,4900.0,16,2
4875,4900.0,16,2
4877,4900.0,16,2
4907,4900.0,16,2
4850,4900.0,16,2
4915,4900.0,16,2
4871,4900.0,16,2
4884,5000.0,528,2
4959,5000.0,528,2
4949,5000.0,528,2
4967,5000.0,528,2
5030,5000.0,528,2
4944,5000.0,528,2
4984,5000.0,528,2
5024,5000.0,528,2
4949,5000.0,528,2
4995,5000.0,528,2
5007,5000.0,528,2
5007,5000.0,528,2
4980,5000.0,528,2
4969,5000.0,528,2
5009,5000.0,528,2
4972,5000.0,528,2
4988,5000.0,528,2
4995,5000.0,528,2
4963,5000.0,528,2
5016,5000.0,528,2
4967,5000.0,528,2
4967,5000.0,528,2
5030,5000.0,528,2
4946,5000.0,528,2
4980,5000.0,528,2
5028,5000.0,528,2
4944,5000.0,528,2
4990,5000.0,528,2
4967,5000.0,528,2
5001,5000.0,528,2
4984,5000.0,528,2
4967,5000.0,528,2
5009,5000.0,528,2
4974,5000.0,528,2
4978,5000.0,16,2
5001,5000.0,16,2
4967,5000.0,16,2
5005,5000.0,16,2
4978,5000.0,16,2
4967,5000.0,16,2
5053,5100.0,528,2
5072,5100.0,528,2
5072,5100.0,528,2
5070,5100.0,528,2
5108,5100.0,528,2
5095,5100.0,528,2
5093,5100.0,528,2
5076,5100.0,528,2
5047,5100.0,528,2
5068,5100.0,528,2
5082,5100.0,528,2
5097,5100.0,528,2
5110,5100.0,528,2
5103,5100.0,16,2
5074,5100.0,16,2
5055,5100.0,16,2
5074,5100.0,16,2
5072,5100.0,16,2
5099,5200.0,528,2
5172,5200.0,528,2
5175,5200.0,528,2
5204,5200.0,528,2
5218,5200.0,528,2
5206,5200.0,16,2
5187,5200.0,16,2
5170,5200.0,16,2
5143,5200.0,16,2
5175,5200.0,16,2
5168,5200.0,16,2
5225,5300.0,528,2
5296,5300.0,528,2
5265,5300.0,528,2
5269,5300.0,528,2
5304,5300.0,16,2
5262,5300.0,16,2
5285,5300.0,16,2
5336,5300.0,16,2
5267,5300.0,16,2
5269,5300.0,16,2
5273,5400.0,528,2
5403,5400.0,528,2
5342,5400.0,528,2
