fric1_rpm,fric_set,i1,i2,i3,i4,key_v,pitch_cur,shoot_mode,yaw_cur
0,0.0,384,208,71,19,0,-2334,0,381
0,0.0,147,65,177,125,0,-2324,0,407
0,0.0,291,339,420,450,0,-2313,0,416
0,0.0,172,52,264,244,0,-2302,0,407
0,0.0,266,364,189,194,0,-2287,0,397
0,0.0,303,-3,71,75,0,-2271,0,415
0,0.0,315,183,264,219,0,-2255,0,426
0,0.0,291,183,433,256,0,-2282,0,417
0,0.0,147,339,277,125,0,-2217,0,427
0,0.0,253,158,58,244,0,-2196,0,446
0,0.0,265,127,83,100,0,-2174,0,423
0,0.0,253,65,189,337,0,-2153,0,433
0,0.0,240,314,432,175,0,-2132,0,442
0,0.0,265,208,158,219,0,-2156,0,451
0,0.0,278,171,395,113,0,-2087,0,459
0,0.0,265,196,83,175,0,-2063,0,422
0,0.0,184,327,227,63,0,-2042,0,427
0,0.0,184,171,71,281,0,-2022,0,453
0,0.0,134,27,176,375,0,-2046,0,450
0,0.0,409,139,357,194,0,-1979,0,460
0,0.0,184,14,227,163,0,-1957,0,453
0,0.0,303,283,189,194,0,-1981,0,461
0,0.0,159,270,83,269,0,-1959,0,456
0,0.0,215,389,251,257,0,-1934,0,468
0,0.0,278,27,301,375,0,-1871,0,474
0,0.0,359,195,252,269,0,-1848,0,485
0,0.0,315,195,158,282,0,-1831,0,476
0,0.0,159,196,177,219,0,-1851,0,471
0,0.0,228,195,33,363,0,-1783,0,491
0,0.0,252,196,71,126,0,-1808,0,451
0,0.0,228,208,177,151,0,-1786,0,476
0,0.0,215,270,407,257,0,-1765,0,498
0,0.0,302,220,177,388,0,-1743,0,480
0,0.0,383,64,177,207,0,-1724,0,497
0,0.0,277,52,120,219,0,-1705,0,499
0,0.0,340,270,251,76,0,-1685,0,502
0,0.0,171,364,383,281,0,-1663,0,528
0,0.0,109,158,252,194,0,-1642,0,525
0,0.0,196,52,177,231,0,-1624,0,516
0,0.0,302,15,71,219,0,-1606,0,522
0,0.0,227,389,302,207,0,-1586,0,519
0,0.0,215,221,239,244,0,-1566,0,506
0,0.0,265,271,383,294,0,-1546,0,519
0,0.0,240,127,227,450,0,-1527,0,540
0,0.0,196,171,333,51,0,-1507,0,521
0,0.0,159,302,383,125,0,-1491,0,542
0,0.0,227,158,190,231,0,-1470,0,549
0,0.0,363,256,38,398,0,-1497,0,535
0,0.0,290,77,202,350,0,-1430,0,516
0,0.0,277,302,333,244,0,-1460,0,547
0,0.0,265,158,371,363,0,-1438,0,569
0,0.0,252,246,34,194,0,-1422,0,556
0,0.0,183,90,84,257,0,-1359,0,565
0,0.0,183,258,240,219,0,-1390,0,547
0,0.0,239,127,421,88,0,-1371,0,576
-3,0.0,289,246,228,257,0,-1356,0,595
0,0.0,327,127,59,194,0,-1339,0,569
0,0.0,215,209,215,363,0,-1323,0,585
0,0.0,339,271,371,363,0,-1307,0,560
0,0.0,207,194,157,242,0,-1292,0,569
0,0.0,238,325,395,267,0,-1277,0,578
0,0.0,288,88,357,-6,0,-1262,0,603
0,0.0,290,115,122,175,0,-1247,0,574
0,0.0,184,40,35,256,0,-1231,0,582
0,0.0,290,327,122,281,0,-1216,0,584
0,0.0,277,115,334,387,0,-1201,0,566
0,0.0,315,327,322,269,0,-1186,0,605
0,0.0,277,103,290,269,0,-1171,0,612
0,0.0,277,259,85,256,0,-1153,0,576
0,0.0,240,209,109,350,0,-1182,0,595
0,0.0,302,140,-9,100,0,-1120,0,601
0,0.0,240,103,277,194,0,-1106,0,645
-3,0.0,215,315,396,256,0,-1093,0,724
