fric1_rpm,fric2_rpm,shoot_mode,trigger_cur
4909,-4843,2,7000
4852,-4851,2,7000
4879,-4918,2,7000
4884,-4885,2,7000
4909,-4899,2,7000
4873,-4916,2,7000
4907,-4851,2,7000
4871,-4912,2,7000
4890,-4895,2,7000
4903,-4889,2,7000
4882,-4927,2,7000
4909,-4843,2,7000
4852,-4906,2,7000
4875,-4897,2,7000
4888,-4878,2,7000
4871,-4924,2,7000
4926,-4857,2,7000
4871,-4889,2,7000
4879,-4895,2,7000
4892,-4910,2,7000
4900,-4872,2,7000
4882,-4927,2,7000
4905,-4860,2,7000
4854,-4901,2,7000
4875,-4914,2,7000
4892,-4862,2,7000
4873,-4922,2,7000
4921,-4876,2,7000
4875,-4891,2,7000
4879,-4927,2,7000
4903,-4845,2,7000
4854,-4910,2,7000
4879,-4874,2,7000
4905,-4885,2,7000
4861,-4916,2,7000
4877,-4920,2,7000
4892,-4851,2,7000
4871,-4912,2,7000
4921,-4893,2,7000
4871,-4887,2,7000
4879,-4924,2,7000
4898,-4843,2,7000
4852,-4904,2,7000
4882,-4899,2,7000
4905,-4876,2,7000
4888,-4918,2,7000
4875,-4860,2,7000
4890,-4889,2,7000
4871,-4910,2,7000
4926,-4866,2,7000
4869,-4910,2,7000
4879,-4860,2,7000
4898,-4883,2,7000
4854,-4901,2,7000
4923,-4918,2,7000
4873,-4864,2,7000
4888,-4920,2,7000
4905,-4878,2,7000
4844,-4889,2,7000
4903,-4924,2,7000
4861,-4843,2,7000
4873,-4912,2,7000
4882,-4876,2,7000
4900,-4885,2,7000
4852,-4918,2,7000
4921,-4851,2,7000
4869,-4893,2,7000
4886,-4887,2,7000
4907,-4885,2,7000
4846,-4887,2,7000
4905,-4927,2,7000
4859,-4843,2,7000
4875,-4906,2,7000
4915,-4897,2,7000
4865,-4880,2,7000
4848,-4920,2,7000
4926,-4857,2,7000
4873,-4887,2,7000
4888,-4908,4,10000
4905,-4864,4,10000
4848,-4910,4,10000
4905,-4862,4,10000
4861,-4880,4,10000
4877,-4897,5,8000
4909,-4860,5,8000
4865,-4893,2,7000
4911,-4872,2,7000
4869,-4878,2,7000
4871,-4891,2,7000
4884,-4929,2,7000
4905,-4843,2,7000
4844,-4910,2,7000
4905,-4880,2,7000
4861,-4883,2,7000
4877,-4916,2,7000
4915,-4851,2,7000
4865,-4893,2,7000
4911,-4887,2,7000
4871,-4883,2,7000
4867,-4912,2,7000
4886,-4843,2,7000
4909,-4880,4,10000
4903,-4868,4,10000
4905,-4880,4,10000
4861,-4899,4,10000
4875,-4920,4,10000
4915,-4857,2,7000
4867,-4891,2,7000
4911,-4912,2,7000
4869,-4868,2,7000
4867,-4912,2,7000
4896,-4860,2,7000
4871,-4883,2,7000
4905,-4895,2,7000
4886,-4860,2,7000
4886,-4889,2,7000
4896,-4872,2,7000
4875,-4885,2,7000
4867,-4908,2,7000
4913,-4845,2,7000
4865,-4843,2,7000
4869,-4912,2,7000
4890,-4887,2,7000
4871,-4887,2,7000
4898,-4920,2,7000
4882,-4851,4,10000
4875,-4893,4,10000
4896,-4891,4,10000
4873,-4880,4,10000
4909,-4914,4,10000
4869,-4847,5,8000
4898,-4883,5,8000
4894,-4870,5,8000
4877,-4880,2,7000
4869,-4904,2,7000
4896,-4860,2,7000
4879,-4891,2,7000
4869,-4889,2,7000
4907,-4908,4,10000
4877,-4866,4,10000
4909,-4912,4,10000
4873,-4860,4,10000
4896,-4883,4,10000
4900,-4893,5,8000
4882,-4864,5,8000
4911,-4895,5,8000
4850,-4870,2,7000
4882,-4887,2,7000
4871,-4897,2,7000
4907,-4849,2,7000
4871,-4845,2,7000
4905,-4855,2,7000
4871,-4887,2,7000
4894,-4901,2,7000
4900,-4918,2,7000
4882,-4849,2,7000
4909,-4891,2,7000
4852,-4887,2,7000
4877,-4885,2,7000
4884,-4914,2,7000
4871,-4847,2,7000
4926,-4880,2,7000
4869,-4870,2,7000
4877,-4885,2,7000
4894,-4910,2,7000
4900,-4862,2,7000
4877,-4893,2,7000
4898,-4855,2,7000
4869,-4885,2,7000
4873,-4901,2,7000
4903,-4855,2,7000
4871,-4845,2,7000
4923,-4876,2,7000
4882,-4878,2,7000
4877,-4864,2,7000
4903,-4893,2,7000
4852,-4868,2,7000
4921,-4887,4,10000
4905,-4897,4,10000
4859,-4851,4,10000
4873,-4880,4,10000
4894,-4855,4,10000
4873,-4889,5,8000
4923,-4904,5,8000
4871,-4857,5,8000
4879,-4887,5,1235
4898,-4851,2,6572
4854,-4887,2,7000
4923,-4883,2,7000
4869,-4916,2,7000
4888,-4841,2,7000
4905,-4874,2,7000
4846,-4878,2,7000
4907,-4876,2,7000
4923,-4901,2,7000
4871,-4860,2,7000
4879,-4889,2,7000
4903,-4880,2,7000
4856,-4864,2,7000
4932,-4883,2,7000
4869,-4853,2,7000
4888,-4897,2,7000
4898,-4889,2,7000
4846,-4870,5,8000
4907,-4857,5,8000
4856,-4893,5,8000
4882,-4872,2,7000
4905,-4889,2,7000
4869,-4906,2,7000
4863,-4843,2,7000
4936,-4878,2,7000
4873,-4857,2,7000
4894,-4883,2,7000
4888,-4904,2,7000
4842,-4857,2,7000
4905,-4891,4,10000
4854,-4862,4,10000
4877,-4885,4,10000
4898,-4901,4,10000
4863,-4862,4,10000
4913,-4910,5,8000
4867,-4864,5,8000
4875,-4874,5,8000
4892,-4878,5,8000
4900,-4904,5,8000
4905,-4857,5,8000
4905,-4883,2,7000
4856,-4883,4,10000
4879,-4862,4,10000
4907,-4880,4,10000
4865,-4853,4,10000
4913,-4895,4,10000
4869,-4893,4,10000
4871,-4866,4,10000
4892,-4887,4,10000
4875,-4845,4,10000
4905,-4897,4,10000
4882,-4906,4,10000
4886,-4910,4,10000
4888,-4845,4,10000
4911,-4880,4,10000
4865,-4893,4,10000
4915,-4885,4,10000
4871,-4904,5,8000
4873,-4853,5,8000
4892,-4887,2,7000
4873,-4864,2,7000
4907,-4876,4,10000
4884,-4893,4,10000
4886,-4855,4,10000
4888,-4904,4,10000
4873,-4878,4,2000
4905,-4878,5,8000
4869,-4891,5,8000
4907,-4897,5,8000
4875,-4910,2,7000
4892,-4887,2,7000
4873,-4891,2,7000
4900,-4855,2,7000
4884,-4880,2,7000
4882,-4853,2,7000
4892,-4893,2,7000
4873,-4899,2,7000
4907,-4864,2,7000
4865,-4885,2,7000
4903,-4847,2,7000
4890,-4897,2,7000
4875,-4910,2,7000
4909,-4878,2,7000
4844,-4914,2,7000
4879,-4853,2,7000
4875,-4895,2,7000
4905,-4885,2,7000
4875,-4904,2,7000
4911,-4851,2,7000
4871,-4883,2,7000
4900,-4860,2,7000
4894,-4876,2,7000
4879,-4895,2,7000
4911,-4857,2,7000
4846,-4906,2,7000
4884,-4872,4,10000
4879,-4880,4,10000
4875,-4891,4,10000
4875,-4843,4,10000
4911,-4910,4,10000
4869,-4897,5,8000
4907,-4891,5,8000
4896,-4914,5,8000
4877,-4878,5,8000
4913,-4853,2,7000
4844,-4893,2,7000
4890,-4901,2,7000
4875,-4860,2,7000
4877,-4887,2,7000
4926,-4849,2,7000
4863,-4889,2,7000
4888,-4904,2,7000
4882,-4864,2,7000
4865,-4910,2,7000
4879,-4862,2,7000
4913,-4885,4,10000
4846,-4901,4,10000
4892,-4849,4,10000
4875,-4922,4,10000
4877,-4887,4,10000
4928,-4872,5,8000
4861,-4870,5,8000
4888,-4885,5,8000
4884,-4853,2,7000
4863,-4897,2,7000
4934,-4887,2,7000
4869,-4872,2,7000
4896,-4887,2,7000
4884,-4845,2,7000
4877,-4899,2,7000
4877,-4904,2,7000
4932,-4878,2,7000
4863,-4908,2,7000
4890,-4851,2,7000
4879,-4857,2,7000
4871,-4885,2,7000
4934,-4904,2,7000
4869,-4855,4,10000
4896,-4887,4,10000
4877,-4860,4,10000
4844,-4887,4,10000
4907,-4901,4,10000
4856,-4860,5,8000
4865,-4906,5,8000
4888,-4866,5,8000
4884,-4883,2,7000
4863,-4899,2,7000
4936,-4845,2,7000
4871,-4914,2,7000
4898,-4889,4,10000
4879,-4895,4,10000
4846,-4912,4,10000
4907,-4851,4,10000
4856,-4857,4,10000
4884,-4901,5,8000
4892,-4891,5,8000
4865,-4870,5,8000
4915,-4887,5,8000
4871,-4845,5,1235
4869,-4901,2,5672
4892,-4906,2,6272
4888,-4883,2,6872
4846,-4910,2,7000
4909,-4853,2,7000
4859,-4895,2,7000
4884,-4908,6,7000
4896,-4866,6,7000
4865,-4924,6,7000
4913,-4864,6,7000
4871,-4853,2,7000
4888,-4920,5,8000
4886,-4899,5,8000
4879,-4857,5,8000
4907,-4906,2,7000
4884,-4868,2,7000
4859,-4885,2,7000
4882,-4897,2,7000
4900,-4847,2,7000
4863,-4918,2,7000
4915,-4891,2,7000
4869,-4899,2,7000
4879,-4916,2,7000
4888,-4851,2,7000
4877,-4853,2,7000
4905,-4895,2,7000
4879,-4891,2,7000
4884,-4874,2,7000
4888,-4893,2,7000
4873,-4845,2,7000
4905,-4912,2,7000
4913,-4899,2,7000
4867,-4887,2,7000
4873,-4912,2,7000
4894,-4849,2,7000
4875,-4899,4,10000
4905,-4908,4,10000
4884,-4870,4,10000
4888,-4922,4,10000
4890,-4860,4,10000
4875,-4897,4,10000
4907,-4887,4,10000
4867,-4904,4,10000
4909,-4862,4,10000
4879,-4906,4,10000
4892,-4862,4,10000
4877,-4880,4,10000
4905,-4897,4,10000
4879,-4845,5,8000
4886,-4916,5,8000
4888,-4893,5,8000
4875,-4897,5,8000
4909,-4914,5,8000
