key_v,vx_set,vy_set,wz_set
0,0.0,0.0,1.582
0,0.0,0.0,1.582
0,0.0,0.0,1.582
0,0.0,0.0,1.582
0,0.0,0.0,1.582
0,0.0,0.0,1.582
0,0.0,0.0,1.576
0,0.0,0.0,1.576
0,0.0,0.0,1.582
0,0.0,0.0,1.582
0,0.0,0.0,1.582
0,0.0,0.0,1.576
0,0.0,0.0,1.576
0,0.0,0.0,1.576
0,0.0,0.0,1.576
0,0.0,0.0,1.582
0,0.0,0.0,1.582
0,0.0,0.0,1.582
0,0.0,0.0,1.576
0,0.0,0.0,1.582
0,0.0,0.0,1.582
0,0.0,0.0,1.582
0,0.0,0.0,1.582
0,0.0,0.0,1.582
0,0.0,0.0,1.582
0,0.0,0.0,1.576
0,0.0,0.0,1.576
0,0.0,0.0,1.582
0,0.0,0.0,1.582
0,0.0,0.0,1.582
0,0.0,0.0,1.582
0,0.0,0.0,1.582
0,0.0,0.0,1.576
0,0.0,0.0,1.582
0,0.0,0.0,1.576
0,0.0,0.0,1.582
0,0.0,0.0,1.582
0,0.0,0.0,1.582
0,0.0,0.0,1.582
0,0.0,0.0,1.582
0,0.0,0.0,1.582
0,0.0,0.0,1.576
0,0.0,0.0,1.582
0,0.0,0.0,1.582
0,0.0,0.0,1.576
0,0.0,0.0,1.582
0,0.0,0.0,1.582
0,0.0,0.0,1.576
0,0.0,0.0,1.576
0,0.0,0.0,1.576
0,0.0,0.0,1.582
0,0.0,0.0,1.582
0,0.0,0.0,1.582
0,0.0,0.0,1.582
0,0.0,0.0,1.576
0,0.0,0.0,1.582
0,0.0,0.0,1.582
0,0.0,0.0,1.576
0,0.0,0.0,1.582
0,0.0,0.0,1.582
0,0.0,0.0,1.576
0,0.0,0.0,1.582
0,0.0,0.0,1.582
0,0.0,0.0,1.582
0,0.0,0.0,1.582
0,0.0,0.0,1.582
0,0.0,0.0,1.582
0,0.0,0.0,1.582
0,0.0,0.0,1.582
0,0.0,0.0,1.589
0,0.0,0.0,1.589
0,0.0,0.0,1.601
0,0.0,0.0,1.613
0,0.0,0.0,1.619
0,0.0,0.0,1.625
0,0.0,0.0,1.638
0,0.0,0.0,1.656
0,0.0,0.0,1.674
0,0.0,0.0,1.693
0,0.0,0.0,1.711
0,0.0,0.0,1.73
0,0.0,0.0,1.742
0,0.0,0.0,1.754
0,0.0,0.0,1.773
0,0.0,0.0,1.785
0,0.0,0.0,1.803
16,0.0,0.0,1.816
16,0.0,0.0,1.828
16,0.0,0.0,1.84
16,0.0,0.0,1.859
16,0.0,0.0,1.889
16,0.0,0.0,1.963
16,0.0,0.0,2.079
0,0.0,0.0,2.257
0,0.0,0.0,2.484
0,0.0,0.0,2.773
0,0.0,0.0,3.0
0,0.0,0.0,3.0
0,0.0,0.0,3.0
0,0.0,0.0,3.0
0,0.0,0.0,3.0
0,0.0,0.0,3.0
0,0.0,0.0,3.0
0,0.0,0.0,3.0
0,0.0,0.0,3.0
0,0.0,0.0,3.0
0,0.0,0.0,3.0
0,0.0,0.0,3.0
0,0.0,0.0,3.0
0,0.0,0.0,3.0
0,0.0,0.0,3.0
0,0.0,0.0,3.0
0,0.0,0.0,3.0
0,0.0,0.0,3.0
0,0.0,0.0,3.0
0,0.0,0.0,3.0
0,0.0,0.0,3.0
0,0.0,0.0,3.0
0,0.0,0.0,3.0
0,0.0,0.0,3.0
0,0.0,0.0,3.0
16,0.0,0.0,3.0
16,0.0,0.0,2.877
16,0.0,0.0,2.589
16,0.0,0.0,2.319
0,0.0,0.0,2.086
0,0.0,0.0,1.895
0,0.0,0.0,1.766
0,0.0,0.0,1.699
0,0.0,0.0,1.687
0,0.0,0.0,1.687
0,0.0,0.0,1.687
0,0.0,0.0,1.681
0,0.0,0.0,1.681
0,0.0,0.0,1.681
0,0.0,0.0,1.681
0,0.0,0.0,1.674
0,0.0,0.0,1.674
0,0.0,0.0,1.674
0,0.0,0.0,1.674
0,0.0,0.0,1.668
0,0.0,0.0,1.668
0,0.0,0.0,1.662
0,0.0,0.0,1.656
0,0.0,0.0,1.65
16,0.0,0.0,1.644
16,0.0,0.0,1.644
16,0.0,0.0,1.638
16,0.0,0.0,1.632
16,0.0,0.0,1.632
16,0.0,0.0,1.625
16,0.0,0.0,1.625
16,0.0,0.0,1.619
16,0.0,0.0,1.619
16,0.0,0.0,1.613
16,0.0,0.0,1.613
16,0.0,0.0,1.607
16,0.0,0.0,1.595
0,0.0,0.0,1.595
0,0.0,0.0,1.589
0,0.0,0.0,1.589
0,0.0,0.0,1.582
0,0.0,0.0,1.582
0,0.0,0.0,1.576
0,0.0,0.0,1.576
0,0.0,0.0,1.576
0,0.0,0.0,1.576
0,0.0,0.0,1.576
0,0.0,0.0,1.576
0,0.0,0.0,1.582
0,0.0,0.0,1.589
0,0.0,0.0,1.595
0,0.0,0.0,1.613
0,0.0,0.0,1.638
0,0.0,0.0,1.687
0,0.0,0.0,1.779
16,0.0,0.0,1.932
16,0.0,0.0,2.141
16,0.0,0.0,2.405
16,0.0,0.0,2.711
0,0.0,0.0,3.0
0,0.0,0.0,3.0
0,0.0,0.0,3.0
0,0.0,0.0,3.0
0,0.0,0.0,3.0
0,0.0,0.0,3.0
0,0.0,0.0,3.0
0,0.0,0.0,3.0
0,0.0,0.0,3.0
0,0.0,0.0,3.0
0,0.0,0.0,3.0
0,0.0,0.0,3.0
0,0.0,0.0,3.0
0,0.0,0.0,3.0
0,0.0,0.0,3.0
0,0.0,0.0,3.0
0,0.0,0.0,3.0
0,0.0,0.0,3.0
0,0.0,0.0,3.0
0,0.0,0.0,3.0
0,0.0,0.0,3.0
0,0.0,0.0,3.0
0,0.0,0.0,3.0
0,0.0,0.0,3.0
0,0.0,0.0,3.0
0,0.0,0.0,3.0
0,0.0,0.0,3.0
0,0.0,0.0,3.0
16,0.0,0.0,3.0
0,0.0,0.0,3.0
0,0.0,0.0,3.0
0,0.0,0.0,3.0
0,0.0,0.0,3.0
0,0.0,0.0,3.0
0,0.0,0.0,3.0
0,0.0,0.0,3.0
0,0.0,0.0,3.0
0,0.0,0.0,3.0
0,0.0,0.0,3.0
0,0.0,0.0,3.0
0,0.0,0.0,3.0
0,0.0,0.0,3.0
0,0.0,0.0,3.0
0,0.0,0.0,3.0
0,0.0,0.0,3.0
0,0.0,0.0,3.0
0,0.0,0.0,3.0
0,0.0,0.0,3.0
0,0.0,0.0,3.0
0,0.0,0.0,3.0
0,0.0,0.0,3.0
0,0.0,0.0,3.0
0,0.0,0.0,3.0
0,0.0,0.0,3.0
0,0.0,0.0,3.0
0,0.0,0.0,3.0
0,0.0,0.0,3.0
0,0.0,0.0,3.0
0,0.0,0.0,3.0
0,0.0,0.0,3.0
0,0.0,0.0,3.0
0,0.0,0.0,3.0
0,0.0,0.0,3.0
0,0.0,0.0,3.0
0,0.0,0.0,3.0
0,0.0,0.0,3.0
0,0.0,0.0,3.0
0,0.0,0.0,3.0
0,0.0,0.0,3.0
0,0.0,0.0,3.0
0,0.0,0.0,3.0
0,0.0,0.0,3.0
