shoot_mode,trigger_spd,trigger_spd_set,trigger_ecd_fdb,trigger_ecd_set,bullet_cnt,trigger_cur,trigger_sw,reverse_flag,local_heat,referee_heat
2,33.419,8000.0,-34732,0,0,8000,0,0,0.0,0
2,44.584,-2813.117,6210,0,0,-8000,0,0,0.0,0
2,46.376,-8000.0,49619,0,0,-8000,0,0,0.0,0
2,30.166,-8000.0,79294,0,0,-8000,0,0,0.0,0
2,10.547,-8000.0,91287,0,0,-8000,0,0,0.0,0
2,-3.391,-8000.0,89156,0,0,-8000,0,0,0.0,0
2,-15.145,-8000.0,75651,0,0,-8000,0,0,0.0,0
2,-26.908,-8000.0,51039,0,0,-8000,0,0,0.0,0
2,-38.96,-6755.957,15602,0,0,-8000,0,0,0.0,0
2,-48.958,8000.0,-29542,0,0,8000,0,0,0.0,0
2,-39.912,8000.0,-67736,0,0,8000,0,0,0.0,0
2,-18.15,8000.0,-86397,0,0,8000,0,0,0.0,0
2,-2.706,8000.0,-89968,0,0,8000,0,0,0.0,0
2,9.184,8000.0,-82296,0,0,8000,0,0,0.0,0
2,20.508,8000.0,-64007,0,0,8000,0,0,0.0,0
2,31.641,8000.0,-35163,0,0,8000,0,0,0.0,0
2,43.126,-2736.26,5992,0,0,-8000,0,0,0.0,0
2,44.412,-8000.0,47621,0,0,-8000,0,0,0.0,0
2,28.35,-8000.0,75370,0,0,-8000,0,0,0.0,0
2,9.663,-8000.0,77627,0,0,-8000,0,0,0.0,0
2,-4.03,-8000.0,74706,0,0,-8000,0,0,0.0,0
2,-15.813,-8000.0,60212,0,0,-8000,0,0,0.0,0
2,-27.801,-8000.0,44369,0,0,-8000,0,0,0.0,0
2,-40.226,-6149.838,14085,0,0,-8000,0,0,0.0,0
2,-49.282,8000.0,-30947,0,0,8000,0,0,0.0,0
2,-39.511,8000.0,-68447,0,0,8000,0,0,0.0,0
2,-17.414,8000.0,-85914,0,0,8000,0,0,0.0,0
2,-1.76,8000.0,-88852,0,0,8000,0,0,0.0,0
2,9.839,8000.0,-80686,0,0,8000,0,0,0.0,0
2,21.078,8000.0,-52645,0,0,8000,0,0,0.0,0
2,32.336,8000.0,-31079,0,0,8000,0,0,0.0,0
2,43.797,-4040.423,8742,0,0,-8000,0,0,0.0,0
2,42.335,-8000.0,49684,0,0,-8000,0,0,0.0,0
2,25.23,-8000.0,73926,0,0,-8000,0,0,0.0,0
2,7.85,-8000.0,82478,0,0,-8000,0,0,0.0,0
2,-5.533,-8000.0,69694,0,0,-8000,0,0,0.0,0
2,-17.564,-8000.0,53937,0,0,-8000,0,0,0.0,0
2,-29.35,-8000.0,26852,0,0,-8000,0,0,0.0,0
2,-41.474,3781.551,-11578,0,0,8000,0,0,0.0,0
2,-39.774,8000.0,-48574,0,0,8000,0,0,0.0,0
2,-21.031,8000.0,-69430,0,0,8000,0,0,0.0,0
2,-4.979,8000.0,-75037,0,0,8000,0,0,0.0,0
2,7.084,8000.0,-69050,0,0,8000,0,0,0.0,0
2,18.226,8000.0,-60756,0,0,8000,0,0,0.0,0
2,29.676,5459.951,-15774,0,0,8000,0,0,0.0,0
2,36.675,-8000.0,26750,0,0,-8000,0,0,0.0,0
2,23.839,-8000.0,50385,0,0,-8000,0,0,0.0,0
2,8.674,-8000.0,59103,0,0,-8000,0,0,0.0,0
2,-4.464,-8000.0,55465,0,0,-8000,0,0,0.0,0
2,-16.298,-8000.0,40650,0,0,-8000,0,0,0.0,0
2,-28.523,-3391.22,4988,0,0,-8000,0,0,0.0,0
2,-36.638,7553.308,-20788,0,0,8000,0,0,0.0,0
2,-23.111,8000.0,-43697,0,0,8000,0,0,0.0,0
2,-7.173,8000.0,-51583,0,0,8000,0,0,0.0,0
2,5.427,8000.0,-47581,0,0,8000,0,0,0.0,0
2,16.521,8000.0,-32695,0,0,8000,0,0,0.0,0
2,27.58,2653.268,-7546,0,0,8000,0,0,0.0,0
2,34.521,-8000.0,24524,0,0,-8000,0,0,0.0,0
2,22.325,-8000.0,54622,0,0,-8000,0,0,0.0,0
2,6.694,-8000.0,62302,0,0,-8000,0,0,0.0,0
2,-6.448,-8000.0,57023,0,0,-8000,0,0,0.0,0
2,-18.169,-8000.0,40420,0,0,-8000,0,0,0.0,0
2,-29.934,-5650.644,12858,0,0,-8000,0,0,0.0,0
2,-40.396,8000.0,-23790,0,0,8000,0,0,0.0,0
2,-30.565,8000.0,-53109,0,0,8000,0,0,0.0,0
2,-12.69,8000.0,-66105,0,0,8000,0,0,0.0,0
2,1.224,8000.0,-65641,0,0,8000,0,0,0.0,0
2,12.864,8000.0,-54899,0,0,8000,0,0,0.0,0
2,23.921,8000.0,-31886,0,0,8000,0,0,0.0,0
2,35.68,-415.562,757,0,0,-8000,0,0,0.0,0
2,38.004,-8000.0,36036,0,0,-8000,0,0,0.0,0
2,23.375,-8000.0,58638,0,0,-8000,0,0,0.0,0
2,7.266,-8000.0,66157,0,0,-8000,0,0,0.0,0
2,-6.022,-8000.0,61342,0,0,-8000,0,0,0.0,0
2,-18.322,-8000.0,36116,0,0,-8000,0,0,0.0,0
2,-30.372,-4171.914,8285,0,0,-8000,0,0,0.0,0
2,-38.895,8000.0,-27763,0,0,8000,0,0,0.0,0
2,-26.293,8000.0,-53477,0,0,8000,0,0,0.0,0
2,-9.522,8000.0,-63423,0,0,8000,0,0,0.0,0
2,3.386,8000.0,-61177,0,0,8000,0,0,0.0,0
2,14.65,8000.0,-48223,0,0,8000,0,0,0.0,0
2,25.968,5266.85,-15232,0,0,8000,0,0,0.0,0
