i1,i2,i3,i4,model_input,model_max,model_power,rc_ch0,rc_ch1,ref_chassis_power
204,-38,170,257,-40.0,120.0,16.54,0,0,6000
-44,323,276,127,-40.0,120.0,16.56,0,0,6000
385,179,220,152,-40.0,120.0,16.65,0,0,6000
99,130,182,-110,-40.0,120.0,16.44,0,0,6000
118,-82,182,451,-40.0,120.0,16.55,0,0,6000
24,192,-10,189,-40.0,120.0,16.48,0,0,6000
142,236,288,114,-40.0,120.0,16.61,0,0,6000
299,117,-141,114,-40.0,120.0,16.54,0,0,6000
261,236,288,189,-40.0,120.0,16.54,0,0,6000
218,-50,51,370,-40.0,120.0,16.54,0,0,6000
49,224,132,245,-40.0,120.0,16.54,0,0,6000
142,274,351,308,-40.0,120.0,16.69,0,0,6000
348,118,-35,139,-40.0,120.0,16.53,0,0,6000
230,168,-23,-28,-40.0,120.0,16.46,0,0,6000
143,12,313,370,-40.0,120.0,16.61,0,0,6000
74,105,-67,102,-40.0,120.0,16.42,0,0,6000
62,249,238,202,-40.0,120.0,16.59,0,0,6000
361,118,95,-41,-40.0,120.0,16.52,0,0,6000
193,193,132,152,-40.0,120.0,16.57,0,0,6000
243,-12,263,389,-40.0,120.0,16.62,0,0,6000
49,-62,-10,59,-40.0,120.0,16.35,0,0,6000
74,193,326,190,-40.0,120.0,16.47,0,0,6000
243,105,-23,-109,-40.0,120.0,16.47,0,0,6000
230,-37,382,258,-40.0,120.0,16.47,0,0,6000
37,62,120,152,-40.0,120.0,16.47,0,0,6000
118,249,157,114,-40.0,120.0,16.56,0,0,6000
324,143,108,-172,-40.0,120.0,16.46,0,0,6000
262,156,145,388,-40.0,120.0,16.65,0,0,6000
181,156,382,307,-40.0,120.0,16.67,0,0,6000
62,0,-79,58,-40.0,120.0,16.36,0,0,6000
49,193,276,176,-40.0,120.0,16.58,0,0,6000
0,193,338,-72,-40.0,120.0,16.48,0,0,6000
230,299,-47,226,-40.0,120.0,16.57,0,0,6000
155,249,195,269,-40.0,120.0,16.63,0,0,6000
118,49,264,226,-40.0,120.0,16.57,0,0,6000
-12,324,1,332,-40.0,120.0,16.54,0,0,6000
243,224,351,-29,-40.0,120.0,16.6,0,0,6000
312,206,-22,226,-40.0,120.0,16.58,0,0,6000
123,13,346,306,-40.0,120.0,16.6,0,19,6000
-206,-113,202,420,-40.0,120.0,16.52,0,51,6000
-333,-433,741,659,-40.0,120.0,17.14,0,93,6000
-906,-441,932,687,-40.0,120.0,17.66,0,174,6000
-1487,-1079,1186,799,-40.0,120.0,17.66,0,234,6000
-1869,-1071,1696,1294,-40.0,120.0,17.66,0,293,6000
-2039,-1329,1844,1425,-40.0,120.0,17.66,0,350,6000
-2000,-1589,2182,1509,-40.0,120.0,42.05,0,404,6000
-2087,-1524,2172,1929,-40.0,120.0,51.55,0,472,6000
-2332,-1524,2220,1953,-40.0,120.0,61.07,0,509,6000
-2388,-1557,2323,1624,-40.0,120.0,63.73,0,547,6000
-1228,-670,1391,860,-40.0,120.0,63.73,0,578,6000
-722,-6,877,366,-40.0,120.0,63.73,0,621,6000
-701,51,617,450,-40.0,120.0,35.95,0,650,6000
-572,-77,761,36,-40.0,120.0,34.61,0,660,6000
-544,-62,706,213,-40.0,120.0,35.01,0,660,6000
-508,-117,669,374,-40.0,120.0,35.68,0,660,6000
-549,-152,539,364,-40.0,120.0,36.99,0,660,6000
-447,-129,691,315,-40.0,120.0,36.99,0,660,6000
-603,-148,627,334,-40.0,120.0,36.99,0,660,6000
-530,-166,551,444,-40.0,120.0,35.69,0,660,6000
-498,-205,531,313,-40.0,120.0,34.79,0,660,6000
-475,-222,518,236,-40.0,120.0,34.2,0,660,6000
-540,-263,506,432,-40.0,120.0,35.83,0,660,6000
-348,-136,600,304,-40.0,120.0,33.92,0,660,6000
-463,-239,669,469,-40.0,120.0,36.75,0,660,6000
-329,-217,503,215,-40.0,120.0,32.85,0,660,6000
-493,-190,465,549,-40.0,120.0,35.42,0,660,6000
-497,-360,518,487,-40.0,120.0,36.36,0,660,6000
-471,-198,452,288,-40.0,120.0,33.87,0,660,6000
-493,-145,534,477,-40.0,120.0,35.32,0,660,6000
-441,-408,587,427,-40.0,120.0,35.32,0,660,6000
-469,-293,513,479,-40.0,120.0,35.32,0,660,6000
-339,-260,456,327,-40.0,120.0,33.34,0,660,6000
-494,-329,571,451,-40.0,120.0,36.52,0,660,6000
-480,-181,518,458,-40.0,120.0,35.33,0,660,6000
-477,-77,525,572,-40.0,120.0,35.55,0,660,6000
-375,-310,527,454,-40.0,120.0,35.13,0,654,6000
-453,-294,547,281,-40.0,120.0,34.97,0,609,6000
-423,-304,484,528,-40.0,120.0,35.46,0,570,6000
-363,-457,428,618,-40.0,120.0,35.6,0,526,6000
-404,-309,279,544,-40.0,120.0,33.59,0,486,6000
-307,-411,336,503,-40.0,120.0,33.54,0,433,6000
-358,-378,335,649,-40.0,120.0,34.54,0,399,6000
-315,-401,347,434,-40.0,120.0,33.25,0,367,6000
-257,-520,305,578,-40.0,120.0,33.78,0,336,6000
-203,-404,343,605,-40.0,120.0,33.29,0,300,6000
-230,-301,331,557,-40.0,120.0,32.62,0,242,6000
-191,-407,333,562,-40.0,120.0,32.92,0,202,6000
-233,-469,305,643,-40.0,120.0,33.84,0,164,6000
227,24,-213,-43,-40.0,120.0,19.29,0,132,6000
1169,796,-1112,-685,-40.0,120.0,2.5,0,99,6000
1058,985,-1054,-731,-40.0,120.0,1.93,0,49,6000
1102,848,-957,-739,-40.0,120.0,3.11,0,22,6000
14138,8679,-11436,-9383,-40.0,120.0,0.0,0,4,6000
659,626,-693,-628,-40.0,120.0,15.9,0,0,6000
-133,204,407,441,-40.0,120.0,16.45,0,0,6000
165,205,-117,23,-40.0,120.0,16.45,0,0,6000
242,187,337,-115,-40.0,120.0,16.45,0,0,6000
180,181,141,244,-40.0,120.0,16.45,0,0,6000
