i1,i2,i3,i4,model_input,model_max,model_power,ref_chassis_power,ref_toe
108,581,661,722,-40.0,120.0,32.0,6000,0
263,412,430,698,-40.0,120.0,30.58,6000,0
38,542,597,672,-40.0,120.0,30.86,6000,0
69,486,402,866,-40.0,120.0,31.03,6000,1
81,353,1093,984,-40.0,120.0,31.03,6000,1
368,396,918,1116,-40.0,120.0,31.03,6000,1
250,302,1154,1116,-40.0,120.0,31.03,6000,1
-73,170,1036,1066,-40.0,120.0,32.6,6000,0
301,93,1047,1324,-40.0,120.0,35.54,6000,0
96,335,1179,1013,-40.0,120.0,34.84,6000,0
171,377,998,907,-40.0,120.0,33.99,6000,0
214,213,1072,834,-40.0,120.0,33.29,6000,0
610,317,695,929,-40.0,120.0,34.44,6000,0
984,299,8,1009,-40.0,120.0,33.46,6000,0
1832,-92,-679,1445,-40.0,120.0,36.03,6000,0
3098,-163,-1839,1760,-40.0,120.0,44.99,6000,0
3730,-1170,-2604,2708,-40.0,120.0,53.42,6000,0
3756,-2013,-3251,3644,-40.0,120.0,63.95,6000,0
4083,-2847,-3078,4924,-40.0,120.0,80.26,6000,0
3405,-3211,-2955,6846,-40.0,120.0,96.4,6000,0
3286,-3531,-2595,6928,-40.0,120.0,97.75,6000,1
2102,-3800,-1461,6575,-40.0,120.0,97.75,6000,1
1113,-4444,14,8594,-40.0,120.0,97.75,6000,1
-844,-5241,1593,7017,-40.0,120.0,97.75,6000,1
1138,-4809,2272,5336,-40.0,120.0,163.52,6000,0
-16000,-6221,4271,4209,-40.0,120.0,154.63,6000,0
1804,-6071,5378,3096,-40.0,120.0,170.27,6000,0
643,-4956,6785,2159,-40.0,120.0,163.97,6000,0
-3087,-3588,7217,1640,-40.0,120.0,146.08,6000,0
-4204,-3726,8349,944,-40.0,120.0,143.88,6000,1
-5204,-1298,7655,148,-40.0,120.0,143.88,6000,1
-5336,-263,8218,5,-40.0,120.0,143.88,6000,1
-4863,450,7533,-528,-40.0,120.0,143.88,6000,1
-3986,523,6129,-136,-36.0,120.0,240.11,5800,0
-4513,1051,5364,513,-36.0,120.0,250.22,5800,0
-3158,1300,5354,441,-36.0,120.0,188.6,5800,0
-2356,1452,4239,183,-36.0,120.0,179.52,5800,1
-819,1387,2709,-157,-36.0,120.0,179.52,5800,1
971,1568,1148,116,-36.0,120.0,179.52,5800,1
1444,1439,-509,-161,-40.0,120.0,30.05,6000,0
2038,1682,-1259,-716,-40.0,120.0,32.73,6000,0
3204,1810,-2133,-1211,-40.0,120.0,41.73,6000,0
3726,2466,-2594,-2494,-40.0,120.0,60.46,6000,0
3835,3598,-2457,-3438,-40.0,120.0,88.61,6000,0
3129,4187,-2147,-4277,-40.0,120.0,109.73,6000,0
2308,4304,-1260,-4809,-40.0,120.0,124.41,6000,0
2993,3570,413,-3672,-40.0,120.0,135.61,6000,0
3216,2287,-1538,-2832,-40.0,120.0,95.61,6000,0
2709,1925,-981,-1127,-40.0,120.0,85.93,6000,1
1506,182,631,1039,-40.0,120.0,85.93,6000,1
235,-1720,1889,2256,-40.0,120.0,85.93,6000,1
