i1,i2,i3,i4,model_input,model_max,model_power,ref_chassis_power
1651,92,656,-730,-40.0,120.0,16.77,6000
1641,82,658,-728,-40.0,120.0,16.78,6000
1656,-58,661,-725,-40.0,120.0,16.77,6000
1659,99,664,-722,-40.0,120.0,16.78,6000
1662,89,667,-701,-40.0,120.0,16.78,6000
1371,-188,376,-992,-40.0,120.0,16.7,6000
1667,107,672,-714,-40.0,120.0,16.78,6000
1670,110,674,-712,-40.0,120.0,16.78,6000
1366,-193,383,-1003,-40.0,120.0,16.7,6000
1381,-215,386,-981,-40.0,120.0,16.7,6000
1659,73,676,-710,-40.0,120.0,16.78,6000
1374,-188,379,-995,-40.0,120.0,16.7,6000
1957,333,962,-392,-40.0,120.0,16.96,6000
1806,-22,1132,-220,-40.0,120.0,16.89,6000
1288,-112,1616,197,-40.0,120.0,16.88,6000
21,-1338,1850,842,-40.0,120.0,16.87,6000
-932,-2224,3311,1069,-40.0,120.0,16.87,6000
-1701,-3932,4536,2201,-40.0,120.0,16.87,6000
-4152,-5630,5833,4041,-40.0,120.0,46.03,6000
-5606,-7037,7884,4059,-40.0,120.0,78.52,6000
-6912,-7493,8011,4045,-40.0,120.0,120.12,6000
-4992,-5975,6902,3653,-40.0,120.0,177.11,6000
-4454,-5428,7020,2081,-40.0,120.0,158.47,6000
-3543,-5061,7771,1897,-40.0,120.0,146.96,6000
-3833,-4613,6480,2140,-38.0,120.0,133.06,5900
-4366,-4422,6117,1591,-38.0,120.0,124.02,5900
-3651,-4423,7059,1207,-38.0,120.0,124.43,5900
-3902,-4486,6655,1211,-38.0,120.0,128.85,5900
-4110,-3179,6455,1865,-38.0,120.0,131.25,5900
-3644,-2776,5619,1398,-38.0,120.0,131.25,5900
-3754,-2057,5085,1418,-38.0,120.0,131.25,5900
-4283,-1539,5847,2049,-36.0,120.0,118.88,5800
-3967,-1140,5407,1674,-36.0,120.0,111.36,5800
-3836,-926,5481,2009,-36.0,120.0,112.33,5800
-3965,-1216,5810,1370,-36.0,120.0,110.2,5800
-3577,-1326,5171,1182,-36.0,120.0,110.2,5800
-3478,-1358,5582,1204,-36.0,120.0,110.2,5800
-3345,-1580,4815,966,-40.0,120.0,102.99,6000
-2826,-1344,4081,1170,-40.0,120.0,93.52,6000
-2530,-1495,3830,1044,-40.0,120.0,89.34,6000
-2395,-1669,3410,1010,-40.0,120.0,83.86,6000
-1951,-1667,3091,1061,-40.0,120.0,83.86,6000
-1792,-2107,2291,693,-40.0,120.0,83.86,6000
-1315,-1958,2026,1007,-40.0,120.0,83.86,6000
-1235,-2609,1270,1259,-40.0,120.0,62.87,6000
-372,-2868,565,1614,-40.0,120.0,53.46,6000
160,-2596,204,2389,-40.0,120.0,49.65,6000
550,-2694,74,2415,-40.0,120.0,45.65,6000
594,-2559,-242,2455,-40.0,120.0,45.65,6000
722,-2003,-230,2480,-40.0,120.0,45.65,6000
474,-2177,-220,2502,-40.0,120.0,44.59,6000
164,-2435,-394,2102,-40.0,120.0,44.99,6000
189,-2577,-279,1837,-40.0,120.0,45.45,6000
282,-2716,-374,2209,-40.0,120.0,47.36,6000
-90,-2831,-808,1878,-40.0,120.0,46.39,6000
583,-2030,-382,2605,-40.0,120.0,44.59,6000
